Chrom	Start	End	Name	Score	Strand	Conc	Conc_NEUROD1_Foxg1KD	Conc_NEUROD1_Control	Fold	p.value	FDR	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr7	110677114	110677426	DiffBind	0	.	4.98	3.48	5.71	-2.23	0.000373	0.0114	Distal Intergenic	7	110627669	110629819	2151	1	ENSMUST00000033054	49446	ENSMUSG00000030790	ENSMUSG00000030790
chr7	128384049	128384528	DiffBind	0	.	5.78	4.96	6.31	-1.35	0.00194	0.033	Intron (ENSMUST00000033133/ENSMUSG00000030844, intron 4 of 4)	7	128374001	128376337	2337	2	ENSMUST00000129144	-7713	ENSMUSG00000030844	ENSMUSG00000030844
chr7	132074312	132074938	DiffBind	0	.	5.72	4.66	6.32	-1.65	0.00019	0.00751	Intron (ENSMUST00000124096/ENSMUSG00000030849, intron 2 of 6)	7	132054632	132059863	5232	2	ENSMUST00000150405	-14450	ENSMUSG00000030862	ENSMUSG00000030862
chr7	121832423	121833068	DiffBind	0	.	5.85	4.73	6.48	-1.75	3.61e-05	0.00242	Distal Intergenic	7	121865111	121918515	53405	1	ENSMUST00000033161	-32043	ENSMUSG00000030873	ENSMUSG00000030873
chr7	120988049	120988543	DiffBind	0	.	6.19	4.59	6.93	-2.34	2.95e-07	8.41e-05	Intron (ENSMUST00000033166/ENSMUSG00000030877, intron 2 of 7)	7	120991823	121014787	22965	1	ENSMUST00000133939	-3280	ENSMUSG00000030877	ENSMUSG00000030877
chr7	120956745	120957507	DiffBind	0	.	6.04	4.81	6.7	-1.89	0.000255	0.00911	Exon (ENSMUST00000140247/ENSMUSG00000030878, exon 1 of 5)	7	120957036	120981790	24755	2	ENSMUST00000140247	24283	ENSMUSG00000030878	ENSMUSG00000030878
chr7	120953535	120954001	DiffBind	0	.	5.64	3.64	6.45	-2.81	3.66e-05	0.00245	Distal Intergenic	7	120957036	120981790	24755	2	ENSMUST00000140247	27789	ENSMUSG00000030878	ENSMUSG00000030878
chr7	120768908	120769376	DiffBind	0	.	5.76	4.63	6.39	-1.76	0.00027	0.00941	Intron (ENSMUST00000168600/ENSMUSG00000030889, intron 8 of 22)	7	120782393	120790246	7854	1	ENSMUST00000165055	-13017	ENSMUSG00000030889	ENSMUSG00000030889
chr7	120773446	120773875	DiffBind	0	.	5.66	4.6	6.26	-1.67	0.000348	0.011	Intron (ENSMUST00000168600/ENSMUSG00000030889, intron 11 of 22)	7	120782393	120790246	7854	1	ENSMUST00000165055	-8518	ENSMUSG00000030889	ENSMUSG00000030889
chr7	132362892	132363542	DiffBind	0	.	5.76	4.8	6.33	-1.53	0.000346	0.011	Intron (ENSMUST00000124096/ENSMUSG00000030849, intron 2 of 6)	7	132235780	132317228	81449	2	ENSMUST00000080215	-45665	ENSMUSG00000030930	ENSMUSG00000030930
chr7	132407868	132408354	DiffBind	0	.	6.4	5.82	6.81	-0.99	0.00375	0.0497	Intron (ENSMUST00000124096/ENSMUSG00000030849, intron 2 of 6)	7	132235780	132317228	81449	2	ENSMUST00000080215	-90641	ENSMUSG00000030930	ENSMUSG00000030930
chr7	132503435	132503864	DiffBind	0	.	5.1	4.05	5.7	-1.65	0.00164	0.0297	Intron (ENSMUST00000124096/ENSMUSG00000030849, intron 2 of 6)	7	132557475	132576398	18924	2	ENSMUST00000084500	72534	ENSMUSG00000030934	ENSMUSG00000030934
chr7	132758799	132760656	DiffBind	0	.	7.78	8.1	7.37	0.73	0.0029	0.0421	Exon (ENSMUST00000097999/ENSMUSG00000030956, exon 2 of 5)	7	132713365	132776916	63552	2	ENSMUST00000106168	16260	ENSMUSG00000030956	ENSMUSG00000030956
chr7	132812009	132812591	DiffBind	0	.	6.89	6.17	7.36	-1.2	0.000109	0.00515	Promoter (<=1kb)	7	132759268	132813095	53828	2	ENSMUST00000106165	504	ENSMUSG00000030956	ENSMUSG00000030956
chr7	132730343	132731007	DiffBind	0	.	5.55	6.37	3.46	2.91	1.78e-08	1.04e-05	Intron (ENSMUST00000124096/ENSMUSG00000030849, intron 2 of 6)	7	132713365	132776916	63552	2	ENSMUST00000106168	45909	ENSMUSG00000030956	ENSMUSG00000030956
chr7	132950583	132950936	DiffBind	0	.	4.75	2.8	5.55	-2.76	0.00173	0.0306	Promoter (<=1kb)	7	132949584	132983996	34413	1	ENSMUST00000033265	1000	ENSMUSG00000030967	ENSMUSG00000030967
chr7	133477135	133478049	DiffBind	0	.	6.7	6.02	7.15	-1.13	0.00258	0.0394	Distal Intergenic	7	133587024	133602115	15092	2	ENSMUST00000033275	124066	ENSMUSG00000030976	ENSMUSG00000030976
chr7	133537248	133537955	DiffBind	0	.	6.23	6.74	5.44	1.3	0.000634	0.0162	Distal Intergenic	7	133587024	133602115	15092	2	ENSMUST00000033275	64160	ENSMUSG00000030976	ENSMUSG00000030976
chr7	135720044	135720505	DiffBind	0	.	5.75	4.97	6.26	-1.29	0.00259	0.0394	Distal Intergenic	7	135689788	135716379	26592	2	ENSMUST00000033310	-3666	ENSMUSG00000031004	ENSMUSG00000031004
chr7	109679244	109679607	DiffBind	0	.	5.42	4.32	6.04	-1.72	0.00121	0.0244	Distal Intergenic	7	109703690	109712189	8500	1	ENSMUST00000033335	-24083	ENSMUSG00000031023	ENSMUSG00000031023
chr7	109595705	109596055	DiffBind	0	.	4.79	3.53	5.45	-1.92	0.00263	0.0398	Intron (ENSMUST00000079282/ENSMUSG00000031024, intron 1 of 19)	7	109523920	109616568	92649	2	ENSMUST00000077909	20513	ENSMUSG00000031024	ENSMUSG00000031024
chr7	137613909	137614321	DiffBind	0	.	5.72	4.45	6.39	-1.94	0.000443	0.0128	Distal Intergenic	7	137437648	137468594	30947	1	ENSMUST00000064404	176262	ENSMUSG00000031068	ENSMUSG00000031068
chr7	137583485	137584108	DiffBind	0	.	6.71	5.85	7.24	-1.4	0.00013	0.00579	Distal Intergenic	7	137437648	137468594	30947	1	ENSMUST00000064404	145838	ENSMUSG00000031068	ENSMUSG00000031068
chr8	13028394	13028890	DiffBind	0	.	6.49	5.8	6.96	-1.16	0.000759	0.0183	Promoter (2-3kb)	8	13026034	13035809	9776	1	ENSMUST00000033820	2361	ENSMUSG00000031443	ENSMUSG00000031443
chr8	15155972	15156370	DiffBind	0	.	5.16	3.87	5.83	-1.95	0.00371	0.0492	Distal Intergenic	8	15119007	15131160	12154	1	ENSMUST00000140033	36966	ENSMUSG00000031461	ENSMUSG00000031461
chr8	36867241	36867764	DiffBind	0	.	5.65	4.44	6.3	-1.86	0.00104	0.0222	Intron (ENSMUST00000163663/ENSMUSG00000031523, intron 2 of 17)	8	36849126	36952357	103232	2	ENSMUST00000036104	84593	ENSMUSG00000031523	ENSMUSG00000031523
chr8	23191479	23192023	DiffBind	0	.	5.91	4.51	6.61	-2.09	8.82e-07	0.000175	Exon (ENSMUST00000167004/ENSMUSG00000031545, exon 12 of 13)	8	23172946	23208453	35508	2	ENSMUST00000167004	16430	ENSMUSG00000031545	ENSMUSG00000031545
chr8	24626626	24627424	DiffBind	0	.	7.44	6.66	7.94	-1.29	0.000191	0.00754	Promoter (<=1kb)	8	24602250	24628254	26005	2	ENSMUST00000138232	830	ENSMUSG00000031552	ENSMUSG00000031552
chr8	49327022	49327510	DiffBind	0	.	6.05	5.24	6.57	-1.32	0.00114	0.0235	Distal Intergenic	8	49370886	49377214	6329	1	ENSMUST00000143556	-43376	ENSMUSG00000031559	ENSMUSG00000031559
chr8	49759266	49759867	DiffBind	0	.	5.06	3.79	5.73	-1.94	0.00106	0.0224	Distal Intergenic	8	49485481	49521095	35615	1	ENSMUST00000126285	273786	ENSMUSG00000031559	ENSMUSG00000031559
chr8	48236660	48237433	DiffBind	0	.	6.08	6.75	4.77	1.98	9.4e-07	0.000183	Exon (ENSMUST00000129821/ENSMUSG00000031561, exon 3 of 24)	8	48275915	48300099	24185	2	ENSMUST00000145344	62666	ENSMUSG00000031561	ENSMUSG00000031561
chr8	48707856	48708315	DiffBind	0	.	5.58	4.52	6.19	-1.66	0.00243	0.0379	Distal Intergenic	8	48227682	48674690	447009	2	ENSMUST00000033965	-33167	ENSMUSG00000031561	ENSMUSG00000031561
chr8	48313687	48314100	DiffBind	0	.	5.16	4.08	5.78	-1.7	0.00134	0.026	Intron (ENSMUST00000129821/ENSMUSG00000031561, intron 7 of 23)	8	48275915	48300099	24185	2	ENSMUST00000145344	-13589	ENSMUSG00000031561	ENSMUSG00000031561
chr8	25904369	25904823	DiffBind	0	.	5.47	3.78	6.23	-2.45	1.35e-05	0.00119	Intron (ENSMUST00000098858/ENSMUSG00000031576, intron 18 of 26)	8	25911680	25937933	26254	1	ENSMUST00000120653	-6857	ENSMUSG00000031576	ENSMUSG00000031576
chr8	41274655	41275243	DiffBind	0	.	5.53	4.38	6.17	-1.78	0.000203	0.00783	Exon (ENSMUST00000045218/ENSMUSG00000031592, exon 10 of 38)	8	41239759	41334086	94328	1	ENSMUST00000045218	34897	ENSMUSG00000031592	ENSMUSG00000031592
chr8	41175158	41175496	DiffBind	0	.	4.79	3.62	5.43	-1.81	0.00199	0.0336	Distal Intergenic	8	41197576	41215153	17578	2	ENSMUST00000134510	39657	ENSMUSG00000031594	ENSMUSG00000031594
chr8	41176327	41176803	DiffBind	0	.	6.69	6.02	7.14	-1.12	0.0026	0.0395	Distal Intergenic	8	41197576	41215153	17578	2	ENSMUST00000134510	38350	ENSMUSG00000031594	ENSMUSG00000031594
chr8	40235150	40235476	DiffBind	0	.	5.3	4.29	5.9	-1.61	0.00122	0.0245	Distal Intergenic	8	40279166	40286953	7788	2	ENSMUST00000034014	51477	ENSMUSG00000031603	ENSMUSG00000031603
chr8	64842015	64842410	DiffBind	0	.	5.83	4.51	6.51	-2	2.54e-05	0.00185	Intron (ENSMUST00000034017/ENSMUSG00000031605, intron 1 of 14)	8	64739863	64849818	109956	2	ENSMUST00000034017	7408	ENSMUSG00000031605	ENSMUSG00000031605
chr8	56254926	56255429	DiffBind	0	.	6.23	5.28	6.8	-1.52	0.000581	0.0154	Distal Intergenic	8	56294552	56321046	26495	1	ENSMUST00000034026	-39123	ENSMUSG00000031613	ENSMUSG00000031613
chr8	56366140	56366736	DiffBind	0	.	5.74	4.43	6.41	-1.98	0.000137	0.00601	Distal Intergenic	8	56294552	56321046	26495	1	ENSMUST00000034026	71589	ENSMUSG00000031613	ENSMUSG00000031613
chr8	45486324	45486680	DiffBind	0	.	5.43	4.41	6.02	-1.62	0.00105	0.0223	Distal Intergenic	8	45507788	45804892	297105	1	ENSMUST00000098788	-21108	ENSMUSG00000031626	ENSMUSG00000031626
chr8	45689681	45690272	DiffBind	0	.	5.6	4.06	6.33	-2.27	2.13e-06	0.000327	Promoter (1-2kb)	8	45688337	45759101	70765	1	ENSMUST00000139103	1345	ENSMUSG00000031626	ENSMUSG00000031626
chr8	46566847	46567444	DiffBind	0	.	6.38	5.65	6.86	-1.21	0.000701	0.0173	Intron (ENSMUST00000135432/ENSMUSG00000031629, intron 7 of 13)	8	46561728	46572830	11103	1	ENSMUST00000122838	5120	ENSMUSG00000031629	ENSMUSG00000031629
chr8	62364525	62364877	DiffBind	0	.	4.82	3.5	5.5	-2	0.000918	0.0206	Distal Intergenic	8	62057521	62123118	65598	2	ENSMUST00000034054	-241408	ENSMUSG00000031635	ENSMUSG00000031635
chr8	62194729	62195393	DiffBind	0	.	6.62	5.46	7.25	-1.79	6.06e-08	2.65e-05	Distal Intergenic	8	62057521	62123118	65598	2	ENSMUST00000034054	-71612	ENSMUSG00000031635	ENSMUSG00000031635
chr8	79253738	79254474	DiffBind	0	.	6.97	6.21	7.47	-1.25	0.000664	0.0167	Distal Intergenic	8	79210430	79248583	38154	2	ENSMUST00000034109	-5156	ENSMUSG00000031682	ENSMUSG00000031682
chr8	78805868	78806602	DiffBind	0	.	7.27	6.11	7.9	-1.79	2.51e-06	0.000369	Exon (ENSMUST00000130325/ENSMUSG00000031683, exon 1 of 5)	8	78808037	78810210	2174	2	ENSMUST00000126174	3608	ENSMUSG00000031683	ENSMUSG00000031683
chr8	85304728	85305294	DiffBind	0	.	6.72	5.82	7.27	-1.45	0.000829	0.0193	Exon (ENSMUST00000034132/ENSMUSG00000031697, exon 5 of 7)	8	85299632	85308278	8647	1	ENSMUST00000170141	5097	ENSMUSG00000031697	ENSMUSG00000031697
chr8	93705810	93706301	DiffBind	0	.	5.88	6.48	4.83	1.65	0.000413	0.0122	Distal Intergenic	8	93809966	93950403	140438	1	ENSMUST00000137202	-103665	ENSMUSG00000031748	ENSMUSG00000031748
chr8	112663973	112664498	DiffBind	0	.	7.08	6.52	7.49	-0.97	0.000635	0.0162	Intron (ENSMUST00000125976/ENSMUSG00000031772, intron 2 of 20)	8	112731399	112733519	2121	1	ENSMUST00000127636	-66901	ENSMUSG00000031772	ENSMUSG00000031772
chr8	112524718	112525102	DiffBind	0	.	5.24	3.21	6.05	-2.84	6.11e-06	0.00067	Distal Intergenic	8	112570043	112859516	289474	1	ENSMUST00000125976	-44941	ENSMUSG00000031772	ENSMUSG00000031772
chr8	112674433	112674933	DiffBind	0	.	5.57	4.1	6.28	-2.18	1.63e-05	0.00137	Intron (ENSMUST00000125976/ENSMUSG00000031772, intron 3 of 20)	8	112731399	112733519	2121	1	ENSMUST00000127636	-56466	ENSMUSG00000031772	ENSMUSG00000031772
chr8	94666560	94667407	DiffBind	0	.	4.71	5.42	3.26	2.16	0.00347	0.0471	Promoter (<=1kb)	8	94666755	94674417	7663	1	ENSMUST00000034228	0	ENSMUSG00000031776	ENSMUSG00000031776
chr8	120523450	120524172	DiffBind	0	.	7.08	6.58	7.45	-0.87	0.00134	0.026	Intron (ENSMUST00000127664/ENSMUSG00000092329, intron 1 of 15)	8	120535857	120579480	43624	1	ENSMUST00000120493	-11685	ENSMUSG00000031822	ENSMUSG00000031822
chr8	70798262	70798686	DiffBind	0	.	6.27	5.41	6.8	-1.39	0.000224	0.00837	Distal Intergenic	8	70778117	70792433	14317	2	ENSMUST00000166004	-5830	ENSMUSG00000031833	ENSMUSG00000031833
chr8	125702719	125703658	DiffBind	0	.	7.54	8.01	6.84	1.17	2.34e-06	0.000353	Distal Intergenic	8	125729963	125745299	15337	1	ENSMUST00000146055	-26305	ENSMUSG00000031851	ENSMUSG00000031851
chr8	103938876	103939299	DiffBind	0	.	4.84	3.53	5.51	-1.98	0.00202	0.0339	Distal Intergenic	8	104101625	104144502	42878	1	ENSMUST00000034339	-162326	ENSMUSG00000031871	ENSMUSG00000031871
chr8	104144743	104145195	DiffBind	0	.	5.12	3.91	5.77	-1.86	0.000547	0.0147	Distal Intergenic	8	104170513	104219092	48580	1	ENSMUST00000093245	-25318	ENSMUSG00000031872	ENSMUSG00000031872
chr8	104542158	104542809	DiffBind	0	.	6.52	5.64	7.07	-1.43	2.99e-05	0.0021	Promoter (<=1kb)	8	104541309	104550337	9029	1	ENSMUST00000162761	850	ENSMUSG00000031883	ENSMUSG00000031883
chr8	106865785	106866187	DiffBind	0	.	5.02	3.64	5.71	-2.07	0.00094	0.0209	Distal Intergenic	8	106870242	106882902	12661	1	ENSMUST00000034385	-4055	ENSMUSG00000031910	ENSMUSG00000031910
chr9	13597599	13598276	DiffBind	0	.	6.36	5.43	6.93	-1.49	2.32e-05	0.00174	Distal Intergenic	9	13619990	13709388	89399	1	ENSMUST00000159294	-21714	ENSMUSG00000031925	ENSMUSG00000031925
chr8	111832204	111832603	DiffBind	0	.	5.9	4.69	6.55	-1.87	2.87e-05	0.00203	Intron (ENSMUST00000034432/ENSMUSG00000031954, intron 4 of 6)	8	111768473	111854310	85838	2	ENSMUST00000034432	21707	ENSMUSG00000031954	ENSMUSG00000031954
chr9	23305060	23305494	DiffBind	0	.	5.29	3.63	6.04	-2.41	0.000157	0.00663	Intron (ENSMUST00000071982/ENSMUSG00000031963, intron 6 of 14)	9	23223076	23485202	262127	1	ENSMUST00000071982	81985	ENSMUSG00000031963	ENSMUSG00000031963
chr9	26962288	26962671	DiffBind	0	.	5.34	4.37	5.92	-1.55	0.00259	0.0394	Distal Intergenic	9	26975376	26977955	2580	2	ENSMUST00000151075	15284	ENSMUSG00000031969	ENSMUSG00000031969
chr8	124108090	124108807	DiffBind	0	.	6.87	6.1	7.38	-1.28	0.000918	0.0206	Intron (ENSMUST00000127664/ENSMUSG00000092329, intron 1 of 15)	8	124023394	124048505	25112	1	ENSMUST00000034457	84697	ENSMUSG00000031976	ENSMUSG00000031976
chr9	27155456	27155834	DiffBind	0	.	4.91	3.78	5.54	-1.75	0.00181	0.0316	Promoter (<=1kb)	9	27097385	27155421	58037	2	ENSMUST00000034472	-36	ENSMUSG00000031990	ENSMUSG00000031990
chr9	27541621	27542256	DiffBind	0	.	6.46	5.53	7.03	-1.5	5.5e-05	0.00322	Distal Intergenic	9	27396821	27401710	4890	1	ENSMUST00000034473	144801	ENSMUSG00000031991	ENSMUSG00000031991
chr9	30485193	30485746	DiffBind	0	.	6.46	5.65	6.97	-1.32	0.000405	0.012	Distal Intergenic	9	30427329	30466726	39398	1	ENSMUST00000164099	57865	ENSMUSG00000031993	ENSMUSG00000031993
chr9	30649587	30650140	DiffBind	0	.	6.59	5.95	7.04	-1.09	0.00144	0.0271	Distal Intergenic	9	30427329	30466726	39398	1	ENSMUST00000164099	222259	ENSMUSG00000031993	ENSMUSG00000031993
chr9	30964563	30965147	DiffBind	0	.	6.76	6.17	7.18	-1.01	0.000902	0.0203	Distal Intergenic	9	30943458	30963838	20381	1	ENSMUST00000163037	21106	ENSMUSG00000031994	ENSMUSG00000031994
chr9	14307973	14308486	DiffBind	0	.	6.41	5.47	6.98	-1.5	0.000443	0.0128	Exon (ENSMUST00000034507/ENSMUSG00000032009, exon 3 of 10)	9	14276301	14326138	49838	1	ENSMUST00000034507	31673	ENSMUSG00000032009	ENSMUSG00000032009
chr9	43661034	43662148	DiffBind	0	.	6.54	7.15	5.45	1.7	0.000201	0.0078	Distal Intergenic	9	43744576	43807454	62879	1	ENSMUST00000034510	-82428	ENSMUSG00000032012	ENSMUSG00000032012
chr9	42917829	42918301	DiffBind	0	.	5.86	4.59	6.52	-1.93	3.65e-06	0.000472	Intron (ENSMUST00000114865/ENSMUSG00000032017, intron 1 of 20)	9	42518135	42944493	426359	2	ENSMUST00000114865	26192	ENSMUSG00000032017	ENSMUSG00000032017
chr9	43015279	43015754	DiffBind	0	.	5.97	5.24	6.45	-1.21	0.00343	0.0469	Intron (ENSMUST00000165665/ENSMUSG00000059495, intron 11 of 40)	9	42518135	42944493	426359	2	ENSMUST00000114865	-70787	ENSMUSG00000032017	ENSMUSG00000032017
chr9	41238551	41239614	DiffBind	0	.	6.17	6.73	5.27	1.46	0.000666	0.0167	Distal Intergenic	9	41159846	41161697	1852	2	ENSMUST00000132996	-76855	ENSMUSG00000032020	ENSMUSG00000032020
chr9	34574234	34575029	DiffBind	0	.	7.61	7.13	7.96	-0.83	0.000659	0.0166	Intron (ENSMUST00000115148/ENSMUSG00000032036, intron 2 of 16)	9	34486126	35035280	549155	1	ENSMUST00000115148	88109	ENSMUSG00000032036	ENSMUSG00000032036
chr9	34843174	34843893	DiffBind	0	.	6.33	6.86	5.47	1.39	0.00016	0.00671	Intron (ENSMUST00000115148/ENSMUSG00000032036, intron 2 of 16)	9	34904913	35036716	131804	1	ENSMUST00000045091	-61020	ENSMUSG00000032036	ENSMUSG00000032036
chr9	34749752	34750268	DiffBind	0	.	5.82	4.11	6.58	-2.46	6.64e-08	2.72e-05	Intron (ENSMUST00000115148/ENSMUSG00000032036, intron 2 of 16)	9	34904913	35036716	131804	1	ENSMUST00000045091	-154645	ENSMUSG00000032036	ENSMUSG00000032036
chr9	34538506	34539475	DiffBind	0	.	7.34	6.85	7.71	-0.85	0.00247	0.0384	Intron (ENSMUST00000115148/ENSMUSG00000032036, intron 2 of 16)	9	34486126	35035280	549155	1	ENSMUST00000115148	52381	ENSMUSG00000032036	ENSMUSG00000032036
chr9	34418036	34419316	DiffBind	0	.	7.55	7.06	7.92	-0.86	0.000633	0.0162	Distal Intergenic	9	34486126	35035280	549155	1	ENSMUST00000115148	-66810	ENSMUSG00000032036	ENSMUSG00000032036
chr2	150841754	150842573	DiffBind	0	.	7.31	6.7	7.74	-1.03	0.000144	0.0062	Promoter (<=1kb)	2	150832493	150842570	10078	2	ENSMUST00000156641	0	ENSMUSG00000032046	ENSMUSG00000032046
chr2	150844634	150845239	DiffBind	0	.	6.12	5.25	6.66	-1.41	0.000252	0.00902	Promoter (2-3kb)	2	150832493	150842570	10078	2	ENSMUST00000156641	-2065	ENSMUSG00000032046	ENSMUSG00000032046
chr9	50855951	50856486	DiffBind	0	.	6.3	5.34	6.87	-1.53	0.00111	0.0231	Promoter (<=1kb)	9	50856924	50892797	35874	1	ENSMUST00000174628	-438	ENSMUSG00000032058	ENSMUSG00000032058
chr9	47734952	47735429	DiffBind	0	.	5.52	4.37	6.15	-1.78	0.000817	0.0191	Intron (ENSMUST00000114548/ENSMUSG00000032076, intron 1 of 9)	9	47530373	47850390	320018	1	ENSMUST00000034581	204580	ENSMUSG00000032076	ENSMUSG00000032076
chr9	44994464	44994764	DiffBind	0	.	4.76	3.43	5.44	-2.01	0.00102	0.0221	Distal Intergenic	9	44981793	44987052	5260	1	ENSMUST00000034602	12672	ENSMUSG00000032094	ENSMUSG00000032094
chr9	70100250	70100733	DiffBind	0	.	4.72	5.56	2.45	3.11	0.000206	0.0079	Promoter (2-3kb)	9	70102550	70103076	527	2	ENSMUST00000145427	2343	ENSMUSG00000032224	ENSMUSG00000032224
chr9	49423828	49424584	DiffBind	0	.	6.99	6.21	7.49	-1.29	0.00111	0.0232	Promoter (2-3kb)	9	49415222	49427021	11800	2	ENSMUST00000034792	2437	ENSMUSG00000032257	ENSMUSG00000032257
chr9	49148101	49148543	DiffBind	0	.	5.62	4.75	6.15	-1.4	0.00219	0.0356	Distal Intergenic	9	49109002	49117585	8584	1	ENSMUST00000170426	39100	ENSMUSG00000032268	ENSMUSG00000032268
chr9	49119782	49120230	DiffBind	0	.	6.27	5.32	6.84	-1.52	0.000623	0.0161	Distal Intergenic	9	49109002	49117585	8584	1	ENSMUST00000170426	10781	ENSMUSG00000032268	ENSMUSG00000032268
chr9	48910657	48911495	DiffBind	0	.	5.94	5.15	6.45	-1.3	0.00115	0.0236	Promoter (<=1kb)	9	48899214	48911099	11886	2	ENSMUST00000003826	0	ENSMUSG00000032269	ENSMUSG00000032269
chr9	48928731	48929371	DiffBind	0	.	5.26	4.34	5.81	-1.47	0.00316	0.0445	Distal Intergenic	9	48899214	48911099	11886	2	ENSMUST00000003826	-17633	ENSMUSG00000032269	ENSMUSG00000032269
chr9	48661766	48662372	DiffBind	0	.	5.19	3.7	5.9	-2.2	9.62e-05	0.00472	Intron (ENSMUST00000093852/ENSMUSG00000066687, intron 5 of 6)	9	48591877	48605153	13277	2	ENSMUST00000119426	-56614	ENSMUSG00000032271	ENSMUSG00000032271
chr15	59567493	59568213	DiffBind	0	.	6.48	5.93	6.88	-0.95	0.00326	0.0454	Intron (ENSMUST00000079703/ENSMUSG00000059586, intron 4 of 6)	15	59648350	59656550	8201	1	ENSMUST00000067543	-80137	ENSMUSG00000032501	ENSMUSG00000032501
chr9	120117610	120118093	DiffBind	0	.	5.51	6.42	2.35	4.08	1.15e-08	8.04e-06	Promoter (2-3kb)	9	120114989	120120280	5292	1	ENSMUST00000154969	2622	ENSMUSG00000032519	ENSMUSG00000032519
chr9	102689851	102690735	DiffBind	0	.	4.64	5.43	2.73	2.71	0.00237	0.0374	Distal Intergenic	9	102716672	102720721	4050	1	ENSMUST00000145913	-25937	ENSMUSG00000032531	ENSMUSG00000032531
chr9	121367019	121367399	DiffBind	0	.	4.69	5.49	2.73	2.77	0.00163	0.0295	Promoter (<=1kb)	9	121366958	121474916	107959	1	ENSMUST00000045903	62	ENSMUSG00000032536	ENSMUSG00000032536
chr9	103180470	103181105	DiffBind	0	.	4.6	5.39	2.73	2.67	0.00288	0.0419	Intron (ENSMUST00000035155/ENSMUSG00000032549, intron 7 of 7)	9	103189090	103202129	13040	2	ENSMUST00000163567	21024	ENSMUSG00000032553	ENSMUSG00000032553
chr17	83328411	83328952	DiffBind	0	.	5.13	3.92	5.78	-1.86	0.00333	0.0461	Distal Intergenic	17	83350931	83480361	129431	1	ENSMUST00000049503	-21979	ENSMUSG00000032624	ENSMUSG00000032624
chr6	12385564	12386008	DiffBind	0	.	6.01	4.84	6.65	-1.81	0.000392	0.0118	Intron (ENSMUST00000046121/ENSMUSG00000032625, intron 11 of 27)	6	12317349	12419361	102013	2	ENSMUST00000122369	33353	ENSMUSG00000032625	ENSMUSG00000032625
chr1	152177886	152178449	DiffBind	0	.	6.45	5.73	6.93	-1.2	0.000556	0.0149	Distal Intergenic	1	151884524	152090320	205797	2	ENSMUST00000044581	-87567	ENSMUSG00000032666	ENSMUSG00000032666
chr19	25351222	25351802	DiffBind	0	.	7.21	6.05	7.85	-1.8	5.22e-08	2.41e-05	Intron (ENSMUST00000049400/ENSMUSG00000032702, intron 3 of 13)	19	25395303	25409772	14470	1	ENSMUST00000137260	-43501	ENSMUSG00000032702	ENSMUSG00000032702
chr2	103644196	103644711	DiffBind	0	.	5.2	3.97	5.85	-1.88	0.00056	0.015	Intron (ENSMUST00000076212/ENSMUSG00000032724, intron 1 of 16)	2	103715035	103717217	2183	1	ENSMUST00000138580	-70324	ENSMUSG00000032724	ENSMUSG00000032724
chr18	61891190	61891763	DiffBind	0	.	6.64	5.31	7.32	-2.01	0.000123	0.00557	Intron (ENSMUST00000049378/ENSMUSG00000032735, intron 1 of 22)	18	61799395	61911824	112430	2	ENSMUST00000049378	20061	ENSMUSG00000032735	ENSMUSG00000032735
chr7	125882389	125882867	DiffBind	0	.	5.85	4.82	6.45	-1.62	7.5e-05	0.00394	Intron (ENSMUST00000073935/ENSMUSG00000046182, intron 6 of 6)	7	125865271	125868064	2794	1	ENSMUST00000155059	17119	ENSMUSG00000032743	ENSMUSG00000032743
chr7	101376445	101377159	DiffBind	0	.	7.43	6.22	8.08	-1.86	3.78e-06	0.000482	Promoter (1-2kb)	7	101378190	101411744	33555	1	ENSMUST00000084895	-1031	ENSMUSG00000032812	ENSMUSG00000032812
chr18	65307432	65307975	DiffBind	0	.	6.7	6.14	7.1	-0.96	0.00194	0.033	Promoter (<=1kb)	18	65265529	65307708	42180	2	ENSMUST00000148078	0	ENSMUSG00000032845	ENSMUSG00000032845
chr14	118723769	118724369	DiffBind	0	.	6.89	6.18	7.37	-1.19	5.67e-05	0.00327	Distal Intergenic	14	118482692	118706219	223528	2	ENSMUST00000166646	-17551	ENSMUSG00000032849	ENSMUSG00000032849
chr14	118649289	118649956	DiffBind	0	.	6.12	4.75	6.81	-2.05	1.35e-05	0.00118	Intron (ENSMUST00000036554/ENSMUSG00000032849, intron 4 of 30)	14	118482692	118706219	223528	2	ENSMUST00000036554	56263	ENSMUSG00000032849	ENSMUSG00000032849
chr7	100926325	100926832	DiffBind	0	.	6.52	5.24	7.18	-1.94	1.35e-08	8.68e-06	Intron (ENSMUST00000107032/ENSMUSG00000032875, intron 1 of 20)	7	100869746	100932161	62416	2	ENSMUST00000107032	5329	ENSMUSG00000032875	ENSMUSG00000032875
chr7	100942750	100943645	DiffBind	0	.	7.74	7.23	8.12	-0.89	0.000242	0.00875	Intron (ENSMUST00000060174/ENSMUSG00000048779, intron 1 of 2)	7	100869746	100932161	62416	2	ENSMUST00000107032	-10590	ENSMUSG00000032875	ENSMUSG00000032875
