.	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol	Chrom	Start	End	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	Shared
ENSMUSG00000023915	3797.756654	-0.762486191	0.14754824	3.39525E-08	7.84047E-07	Tnfrsf21	chr17	42950742	42951038	Distal Intergenic	17	43016555	43089188	72634	1	ENSMUST00000024708	-65517	ENSMUSG00000023915	Shared
ENSMUSG00000023918	18.67794945	0.023909862	0.304888485	0.831103114	0.905937326	Adgrf4	chr17	42705683	42705910	Distal Intergenic	17	42656894	42692284	35391	2	ENSMUST00000167993	-13400	ENSMUSG00000023918	Shared
ENSMUSG00000023919	405.683383	-0.167005502	0.151094678	0.210588054	0.380220077	Cenpq	chr17	40923605	40923954	Exon (ENSMUST00000087114/ENSMUSG00000023919, exon 1 of 9)	17	40925809	40927204	1396	2	ENSMUST00000130890	3250	ENSMUSG00000023919	Shared
ENSMUSG00000023923	1255.23881	-0.068053901	0.118457835	0.564787111	0.719780664	Tbc1d5	chr17	51139876	51140167	Intron (ENSMUST00000024717/ENSMUSG00000023923, intron 2 of 21)	17	50733127	51179349	446223	2	ENSMUST00000024717	39182	ENSMUSG00000023923	Shared
ENSMUSG00000023927	587.1838545	0.374828595	0.160158049	0.008087865	0.033437445	Satb1	chr17	51534530	51535512	Distal Intergenic	17	51739988	51742266	2279	2	ENSMUST00000137697	206754	ENSMUSG00000023927	Shared
ENSMUSG00000023931	101.7306872	0.39370263	0.31156645	0.05719731	0.150967364	Efhb	chr17	53127811	53128317	Distal Intergenic	17	53398889	53463321	64433	2	ENSMUST00000024725	335004	ENSMUSG00000023931	Shared
ENSMUSG00000023932	2303.484167	0.124976174	0.069955326	0.067804189	0.170879957	Cdc5l	chr17	45325998	45327127	Distal Intergenic	17	45391892	45433707	41816	2	ENSMUST00000024727	106580	ENSMUSG00000023932	Shared
ENSMUSG00000023939	984.0109333	0.01398868	0.082474217	0.856961952	0.921953057	Mrpl14	chr17	45686304	45686590	Promoter (<=1kb)	17	45686322	45698495	12174	1	ENSMUST00000024734	0	ENSMUSG00000023939	Shared
ENSMUSG00000023940	129.4320645	-0.186612413	0.262488588	0.284106428	0.4645506	Sgol1	chr17	53678623	53679055	Exon (ENSMUST00000024736/ENSMUSG00000023940, exon 3 of 9)	17	53687707	53689278	1572	2	ENSMUST00000146019	10223	ENSMUSG00000023940	Shared
ENSMUSG00000023943	1.137358068	-0.023202648	0.328360931	0.599409811	.	Sult1c1	chr17	53944694	53945107	Distal Intergenic	17	53961615	53990674	29060	2	ENSMUST00000024738	45567	ENSMUSG00000023943	Shared
ENSMUSG00000023944	86814.34754	-0.139339788	0.072278864	0.047661536	0.131480323	Hsp90ab1	chr17	45573051	45574837	Promoter (<=1kb)	17	45567775	45573271	5497	2	ENSMUST00000024739	0	ENSMUSG00000023944	Shared
ENSMUSG00000023945	5.269912976	0.051348092	0.312466917	0.638608986	0.776771576	Slc5a7	chr17	54201784	54202220	Distal Intergenic	17	54273594	54299034	25441	2	ENSMUST00000095712	96814	ENSMUSG00000023945	Shared
ENSMUSG00000023949	48.10749496	0.225304947	0.266165309	0.21275696	0.383007969	Tcte1	chr17	45530184	45530796	Intron (ENSMUST00000113547/ENSMUSG00000023949, intron 1 of 4)	17	45523434	45542679	19246	1	ENSMUST00000113547	6751	ENSMUSG00000023949	Shared
ENSMUSG00000023951	3625.327047	-0.359442219	0.12977491	0.00256906	0.013213709	Vegfa	chr17	45888516	45889072	Distal Intergenic	17	46018712	46021372	2661	2	ENSMUST00000143985	132300	ENSMUSG00000023951	Shared
ENSMUSG00000023952	3169.222962	-0.402280784	0.082103263	4.06792E-07	7.2823E-06	Gtpbp2	chr17	46160486	46161041	Promoter (<=1kb)	17	46161032	46169368	8337	1	ENSMUST00000169383	0	ENSMUSG00000023952	Shared
ENSMUSG00000023959	9.729556075	-0.074656221	0.306492311	0.561616074	0.71727581	Clic5	chr17	44162409	44162729	Distal Intergenic	17	44188572	44280168	91597	1	ENSMUST00000024755	-25843	ENSMUSG00000023959	Shared
ENSMUSG00000023960	9376.297599	0.002193721	0.082760099	0.984247531	0.99125477	Enpp5	chr17	44023768	44024267	Intron (ENSMUST00000044895/ENSMUSG00000039601, intron 4 of 4)	17	44078813	44086567	7755	1	ENSMUST00000154166	-54546	ENSMUSG00000023960	Shared
ENSMUSG00000023964	6.459650833	-0.155134124	0.348617156	0.223277607	0.395022101	Calcr	chr6	3796748	3797289	Distal Intergenic	6	3685720	3764713	78994	2	ENSMUST00000115622	-32036	ENSMUSG00000023964	Shared
ENSMUSG00000023967	1999.272502	-0.163036052	0.091649611	0.059470485	0.155470204	Mrps18a	chr17	46110640	46111203	Promoter (<=1kb)	17	46110986	46128910	17925	1	ENSMUST00000024763	0	ENSMUSG00000023967	Shared
ENSMUSG00000023972	4338.496327	-0.157058036	0.099247313	0.094742779	0.217839471	Ptk7	chr17	46636668	46637139	Exon (ENSMUST00000003642/ENSMUSG00000003546, exon 9 of 16)	17	46564451	46629504	65054	2	ENSMUST00000044442	-7165	ENSMUSG00000023972	Shared
ENSMUSG00000023978	4.388304973	0.030703195	0.307897363	0.785364381	.	Prph2	chr17	46918802	46919400	Intron (ENSMUST00000024773/ENSMUSG00000023978, intron 1 of 2)	17	46910478	46920347	9870	1	ENSMUST00000162469	8325	ENSMUSG00000023978	Shared
ENSMUSG00000023980	643.8323189	-0.031326183	0.098405578	0.733178884	0.844520877	Taf8	chr17	47470603	47471086	3' UTR	17	47488050	47502287	14238	2	ENSMUST00000067103	31201	ENSMUSG00000023980	Shared
ENSMUSG00000023988	1651.63182	-0.212709847	0.112722598	0.044095651	0.124073225	Bysl	chr17	47574779	47575146	Intron (ENSMUST00000037333/ENSMUSG00000034165, intron 1 of 6)	17	47599331	47611492	12162	2	ENSMUST00000024783	36346	ENSMUSG00000023988	Shared
ENSMUSG00000023990	406.9113243	0.373334838	0.225674839	0.035552829	0.105243664	Tfeb	chr17	47809583	47809927	Distal Intergenic	17	47789441	47791613	2173	1	ENSMUST00000140715	20143	ENSMUSG00000023990	Shared
ENSMUSG00000023991	1734.853955	0.095191183	0.096441496	0.351850238	0.533831731	Foxp4	chr17	47877397	47877723	Promoter (1-2kb)	17	47878480	47878953	474	2	ENSMUST00000154108	1230	ENSMUSG00000023991	Shared
ENSMUSG00000023992	54.6624246	0.133267711	0.307499233	0.386858469	0.567618769	Trem2	chr17	48340129	48340646	Distal Intergenic	17	48346401	48352273	5873	1	ENSMUST00000024791	-5755	ENSMUSG00000023992	Shared
ENSMUSG00000023999	136.0059845	-0.147836592	0.259531728	0.383380546	0.564669144	Kif6	chr17	49604135	49604480	Distal Intergenic	17	49615136	49755388	140253	1	ENSMUST00000024798	-10656	ENSMUSG00000023999	Shared
ENSMUSG00000024002	4305.002472	-0.563146828	0.140835411	1.45292E-05	0.00016739	Brd4	chr17	32262781	32264079	Intron (ENSMUST00000119123/ENSMUSG00000024002, intron 1 of 19)	17	32196274	32284097	87824	2	ENSMUST00000119123	20018	ENSMUSG00000024002	Shared
ENSMUSG00000024008	1240.237061	-0.017323303	0.189604971	0.90789811	0.949564627	Cpne5	chr17	29176365	29177279	Promoter (<=1kb)	17	29169437	29176683	7247	2	ENSMUST00000124917	0	ENSMUSG00000024008	Shared
ENSMUSG00000024012	12644.90304	0.321455496	0.084506727	7.95738E-05	0.000716518	Mtch1	chr17	29346318	29347383	Promoter (<=1kb)	17	29339832	29347172	7341	2	ENSMUST00000153658	0	ENSMUSG00000024012	Shared
ENSMUSG00000024014	423.5446233	-0.05353615	0.129697551	0.646465221	0.782771172	Pim1	chr17	29436839	29437505	Distal Intergenic	17	29490812	29495445	4634	1	ENSMUST00000024811	-53307	ENSMUSG00000024014	Shared
ENSMUSG00000024018	500.2347827	-0.374762263	0.227456792	0.032984569	0.099321948	Ccdc167	chr17	29702664	29703613	3' UTR	17	29699999	29716963	16965	2	ENSMUST00000131807	13350	ENSMUSG00000024018	Shared
ENSMUSG00000024019	1007.718502	0.464685991	0.100879928	1.40146E-06	2.19939E-05	Cmtr1	chr17	29668058	29668824	Intron (ENSMUST00000150388/ENSMUSG00000024019, intron 2 of 2)	17	29660807	29674290	13484	1	ENSMUST00000130423	7252	ENSMUSG00000024019	Shared
ENSMUSG00000024030	791.7668169	-0.015370037	0.114380232	0.884519579	0.936625323	Abcg1	chr17	31027736	31028344	Distal Intergenic	17	31057698	31115777	58080	1	ENSMUST00000024829	-29354	ENSMUSG00000024030	Shared
ENSMUSG00000024033	715.2094875	0.265796135	0.244604825	0.134840967	0.278592372	Rsph1	chr17	31262722	31263050	Intron (ENSMUST00000024832/ENSMUSG00000024033, intron 5 of 8)	17	31255019	31277356	22338	2	ENSMUST00000024832	14306	ENSMUSG00000024033	Shared
ENSMUSG00000024036	121.2679052	-0.926832349	0.245728346	1.68413E-05	0.00019118	Slc37a1	chr17	31312294	31312874	Intron (ENSMUST00000171233/ENSMUSG00000024036, intron 3 of 19)	17	31296219	31350696	54478	1	ENSMUST00000165149	16076	ENSMUSG00000024036	Shared
ENSMUSG00000024038	3577.757274	0.146737441	0.117097296	0.178358998	0.339738622	Ndufv3	chr17	31535563	31536249	Distal Intergenic	17	31520115	31531321	11207	1	ENSMUST00000064798	15449	ENSMUSG00000024038	Shared
ENSMUSG00000024039	881.7640371	0.208744802	0.131618353	0.085405726	0.202185187	Cbs	chr17	31632835	31633515	Exon (ENSMUST00000067801/ENSMUSG00000024039, exon 16 of 17)	17	31625131	31636649	11519	2	ENSMUST00000135425	3134	ENSMUSG00000024039	Shared
ENSMUSG00000024042	1320.175539	-0.37274257	0.148992514	0.00515517	0.023246532	Sik1	chr17	31766563	31767591	Distal Intergenic	17	31844248	31855792	11545	2	ENSMUST00000024839	88201	ENSMUSG00000024042	Shared
ENSMUSG00000024043	218.7344206	0.228636596	0.196047697	0.154098763	0.306125534	Arhgap28	chr17	67908625	67908904	Intron (ENSMUST00000024840/ENSMUSG00000024043, intron 1 of 17)	17	67845735	67901471	55737	2	ENSMUST00000163865	-7155	ENSMUSG00000024043	Shared
ENSMUSG00000024044	3592.315583	0.202121021	0.097570097	0.033647947	0.10082422	Epb41l3	chr17	69098059	69098397	Distal Intergenic	17	69156810	69289985	133176	1	ENSMUST00000080208	-58413	ENSMUSG00000024044	Shared
ENSMUSG00000024049	115.1197211	-0.203590441	0.258272471	0.2526515	0.430100749	Myom1	chr17	71020330	71020731	Promoter (<=1kb)	17	71019568	71126856	107289	1	ENSMUST00000179759	763	ENSMUSG00000024049	Shared
ENSMUSG00000024050	3227.647203	-0.31034976	0.155179046	0.023223951	0.076043592	Wiz	chr17	32382686	32382897	Intron (ENSMUST00000170617/ENSMUSG00000024050, intron 2 of 12)	17	32355024	32387759	32736	2	ENSMUST00000064694	4862	ENSMUSG00000024050	Shared
ENSMUSG00000024052	2921.629898	-0.341063934	0.110780532	0.001078435	0.006469651	Lpin2	chr17	71159824	71160266	Distal Intergenic	17	71182560	71235119	52560	1	ENSMUST00000142842	-22294	ENSMUSG00000024052	Shared
ENSMUSG00000024053	118.1776737	-0.367985242	0.330090387	0.06830205	0.171579193	Emilin2	chr17	71303441	71303844	Intron (ENSMUST00000024849/ENSMUSG00000024053, intron 2 of 7)	17	71252176	71310965	58790	2	ENSMUST00000024849	7121	ENSMUSG00000024053	Shared
ENSMUSG00000024054	1910.052819	0.097013117	0.113556018	0.380680564	0.562183321	Smchd1	chr17	71393627	71394564	Promoter (1-2kb)	17	71390481	71391727	1247	2	ENSMUST00000136071	-1901	ENSMUSG00000024054	Shared
ENSMUSG00000024059	2314.140781	0.214555203	0.131511142	0.074275771	0.182463505	Clip4	chr17	71795668	71795901	Intron (ENSMUST00000024854/ENSMUSG00000024059, intron 2 of 15)	17	71781947	71858351	76405	1	ENSMUST00000024854	13722	ENSMUSG00000024059	Shared
ENSMUSG00000024064	1221.600111	-0.80174524	0.311269644	0.000701997	0.00453925	Galnt14	chr17	73684771	73685279	Intron (ENSMUST00000024858/ENSMUSG00000024064, intron 1 of 14)	17	73507580	73710415	202836	2	ENSMUST00000112591	25136	ENSMUSG00000024064	Shared
ENSMUSG00000024065	2676.11148	-0.171412433	0.145646042	0.187076675	0.351120251	Ehd3	chr17	73804235	73805391	Promoter (<=1kb)	17	73804841	73832093	27253	1	ENSMUST00000024860	0	ENSMUSG00000024065	Shared
ENSMUSG00000024066	70.49062374	-1.397930445	0.348063161	3.76791E-06	5.2242E-05	Xdh	chr17	73882026	73882508	Downstream (1-2kb)	17	73883908	73950182	66275	2	ENSMUST00000024866	67674	ENSMUSG00000024066	Shared
ENSMUSG00000024068	4195.212324	0.042025496	0.101695806	0.668336715	0.799372282	Spast	chr17	74337733	74338895	Promoter (<=1kb)	17	74338987	74391113	52127	1	ENSMUST00000024869	-92	ENSMUSG00000024068	Shared
ENSMUSG00000024069	691.3931461	-0.035971571	0.096280627	0.693312713	0.816894548	Slc30a6	chr17	74376483	74377296	Exon (ENSMUST00000024869/ENSMUSG00000024068, exon 14 of 17)	17	74395608	74424229	28622	1	ENSMUST00000024870	-18312	ENSMUSG00000024069	Shared
ENSMUSG00000024070	849.6952647	0.149904806	0.141465457	0.238545076	0.41356945	Prkd3	chr17	78987383	78987826	Promoter (1-2kb)	17	78971555	78985448	13894	2	ENSMUST00000118991	-1936	ENSMUSG00000024070	Shared
ENSMUSG00000024072	1582.609673	-0.256063927	0.146079056	0.050065466	0.136510894	Yipf4	chr17	74489176	74489554	Promoter (<=1kb)	17	74489493	74500277	10785	1	ENSMUST00000024873	0	ENSMUSG00000024072	Shared
ENSMUSG00000024073	5372.726455	-0.000255279	0.205376331	0.996102924	0.997730544	Birc6	chr17	74521429	74521692	Distal Intergenic	17	74528295	74703356	175062	1	ENSMUST00000180037	-6603	ENSMUSG00000024073	Shared
ENSMUSG00000024074	6267.34731	-0.676220508	0.164756996	7.05286E-06	8.91145E-05	Crim1	chr17	78212830	78213519	Intron (ENSMUST00000112498/ENSMUSG00000024074, intron 1 of 16)	17	78200248	78376592	176345	1	ENSMUST00000112498	12583	ENSMUSG00000024074	Shared
ENSMUSG00000024076	1004.180463	-1.05812976	0.849704055	0.002931312	0.014692146	Vit	chr17	78499743	78500474	Distal Intergenic	17	78508063	78627409	119347	1	ENSMUST00000024880	-7589	ENSMUSG00000024076	Shared
ENSMUSG00000024077	2124.655394	-0.660418647	0.130519067	7.93975E-08	1.71412E-06	Strn	chr17	78643983	78644512	Distal Intergenic	17	78667196	78684352	17157	2	ENSMUST00000145480	39840	ENSMUSG00000024077	Shared
ENSMUSG00000024078	625.1170885	0.785100509	0.158706826	1.00759E-07	2.1078E-06	Ttc27	chr17	74776813	74777272	Intron (ENSMUST00000024882/ENSMUSG00000024078, intron 10 of 19)	17	74717750	74863570	145821	1	ENSMUST00000024882	59064	ENSMUSG00000024078	Shared
ENSMUSG00000024079	1266.239684	0.01197603	0.142402442	0.937090386	0.96525945	Eif2ak2	chr17	78884749	78885374	Promoter (2-3kb)	17	78852564	78882573	30010	2	ENSMUST00000024884	-2177	ENSMUSG00000024079	Shared
ENSMUSG00000024083	12465.72272	-0.552603352	0.112434917	2.2126E-07	4.25059E-06	Pja2	chr17	64130330	64130939	Intron (ENSMUST00000000129/ENSMUSG00000000127, intron 15 of 17)	17	64281006	64313031	32026	2	ENSMUST00000024888	182092	ENSMUSG00000024083	Shared
ENSMUSG00000024084	933.4178632	1.327924318	0.251825614	4.92614E-09	1.4155E-07	Qpct	chr17	79069537	79070568	Intron (ENSMUST00000040789/ENSMUSG00000024084, intron 2 of 6)	17	79051906	79090243	38338	1	ENSMUST00000040789	17632	ENSMUSG00000024084	Shared
ENSMUSG00000024085	1250.507683	0.23467768	0.179595645	0.11953637	0.256154791	Man2a1	chr17	64581105	64581598	Distal Intergenic	17	64600736	64755110	154375	1	ENSMUST00000086723	-19138	ENSMUSG00000024085	Shared
ENSMUSG00000024087	3032.345903	0.008198371	0.128648904	0.945984471	0.9708516	Cyp1b1	chr17	79703187	79703537	Distal Intergenic	17	79706953	79715041	8089	2	ENSMUST00000024894	11504	ENSMUSG00000024087	Shared
ENSMUSG00000024091	6177.683918	0.307688895	0.106802399	0.002254335	0.011878861	Vapa	chr17	65613705	65614343	Promoter (<=1kb)	17	65580056	65613555	33500	2	ENSMUST00000024897	-151	ENSMUSG00000024091	Shared
ENSMUSG00000024095	2846.688533	-0.135141406	0.072700217	0.047910092	0.132003984	Hnrnpll	chr17	80051499	80051805	Intron (ENSMUST00000061331/ENSMUSG00000024095, intron 2 of 12)	17	80029487	80062334	32848	2	ENSMUST00000061331	10529	ENSMUSG00000024095	Shared
ENSMUSG00000024098	4627.891483	0.366070049	0.152965542	0.007027632	0.029884793	Twsg1	chr17	65930988	65931612	Intron (ENSMUST00000024906/ENSMUSG00000024098, intron 3 of 4)	17	65923066	65951187	28122	2	ENSMUST00000024906	19575	ENSMUSG00000024098	Shared
ENSMUSG00000024099	5545.253499	0.268516929	0.087589653	0.001409088	0.008068057	Ndufv2	chr17	66102027	66102329	Promoter (<=1kb)	17	66078795	66101559	22765	2	ENSMUST00000143987	-469	ENSMUSG00000024099	Shared
ENSMUSG00000024101	2217.069021	0.135568892	0.095844514	0.138493801	0.283791643	Washc1	chr17	66106543	66106988	Distal Intergenic	17	66111546	66120503	8958	1	ENSMUST00000072383	-4558	ENSMUSG00000024101	Shared
ENSMUSG00000024105	1.30789369	0.016373459	0.325531814	0.735318203	.	Themis3	chr17	66564255	66564702	Intron (ENSMUST00000024914/ENSMUSG00000024105, intron 2 of 3)	17	66555252	66594621	39370	2	ENSMUST00000024914	29919	ENSMUSG00000024105	Shared
ENSMUSG00000024107	4.576561823	-0.176445752	0.384163277	0.070196502	.	Lhcgr	chr17	88769341	88769883	Exon (ENSMUST00000024916/ENSMUSG00000024107, exon 9 of 11)	17	88741549	88791976	50428	2	ENSMUST00000024916	22093	ENSMUSG00000024107	Shared
ENSMUSG00000024109	13647.28578	-0.837711926	0.149571016	3.14665E-09	9.52897E-08	Nrxn1	chr17	90004212	90004560	Distal Intergenic	17	90036853	90088140	51288	2	ENSMUST00000173222	83580	ENSMUSG00000024109	Shared
ENSMUSG00000024112	4196.141238	-0.670198259	0.173063616	1.87526E-05	0.000210397	Cacna1h	chr17	25401570	25401873	Intron (ENSMUST00000159610/ENSMUSG00000024112, intron 2 of 34)	17	25388240	25389472	1233	2	ENSMUST00000162820	-12099	ENSMUSG00000024112	Shared
ENSMUSG00000024120	4207.27017	0.045313186	0.118093503	0.670783178	0.801019652	Lrpprc	chr17	84709299	84709957	Intron (ENSMUST00000112308/ENSMUSG00000024120, intron 34 of 37)	17	84712784	84731184	18401	2	ENSMUST00000162799	21227	ENSMUSG00000024120	Shared
ENSMUSG00000024121	7082.729423	-0.043036833	0.142098624	0.732482064	0.844006588	Atp6v0c	chr17	24173579	24173866	Downstream (1-2kb)	17	24164542	24169702	5161	2	ENSMUST00000150647	-3878	ENSMUSG00000024121	Shared
ENSMUSG00000024122	4035.414367	-0.442312015	0.138373286	0.000469244	0.003223204	Pdpk1	chr17	24090194	24090623	Intron (ENSMUST00000102927/ENSMUSG00000024122, intron 10 of 13)	17	24088181	24093798	5618	2	ENSMUST00000147199	3175	ENSMUSG00000024122	Shared
ENSMUSG00000024132	679.4242757	0.110629194	0.188571917	0.473845278	0.644527711	Eci1	chr17	24433397	24433632	Intron (ENSMUST00000024946/ENSMUSG00000024132, intron 3 of 6)	17	24426683	24439316	12634	1	ENSMUST00000024946	6715	ENSMUSG00000024132	Shared
ENSMUSG00000024134	17.79615152	-0.442433979	0.594955724	0.040372882	0.116051467	Six2	chr17	85664616	85664894	Distal Intergenic	17	85684282	85688254	3973	2	ENSMUST00000024947	23360	ENSMUSG00000024134	Shared
ENSMUSG00000024135	775.148458	0.190697437	0.087593698	0.022158809	0.073375437	Srbd1	chr17	85964667	85965064	Distal Intergenic	17	85984665	86145175	160511	2	ENSMUST00000095187	180111	ENSMUSG00000024135	Shared
ENSMUSG00000024140	1402.968488	-0.262258045	0.141313306	0.039015219	0.112893559	Epas1	chr17	86819243	86819652	Intron (ENSMUST00000024954/ENSMUSG00000024140, intron 7 of 15)	17	86753907	86833410	79504	1	ENSMUST00000024954	65337	ENSMUSG00000024140	Shared
ENSMUSG00000024145	635.2690649	-0.090361625	0.153460425	0.503259518	0.668797581	Pigf	chr17	87011165	87012008	Intron (ENSMUST00000024957/ENSMUSG00000024145, intron 4 of 5)	17	86997256	87025406	28151	2	ENSMUST00000024957	13398	ENSMUSG00000024145	Shared
ENSMUSG00000024151	1112.585803	0.18137385	0.130469484	0.125142337	0.264718639	Msh2	chr17	87726531	87727080	Distal Intergenic	17	87696541	87717678	21138	1	ENSMUST00000174703	29991	ENSMUSG00000024151	Shared
ENSMUSG00000024154	5.800755278	0.022534347	0.310401832	0.822619658	0.900620938	Gtf2a1l	chr17	88651882	88652403	Intron (ENSMUST00000150023/ENSMUSG00000033855, intron 4 of 4)	17	88668660	88715152	46493	1	ENSMUST00000024970	-16257	ENSMUSG00000024154	Shared
ENSMUSG00000024158	1668.563663	0.130261731	0.090431519	0.12977516	0.271577468	Hagh	chr17	24849742	24850815	Promoter (<=1kb)	17	24850490	24864450	13961	1	ENSMUST00000118788	0	ENSMUSG00000024158	Shared
ENSMUSG00000024165	2628.048151	-0.056741473	0.125514111	0.619840684	0.762412775	Jpt2	chr17	24974942	24975391	Intron (ENSMUST00000073337/ENSMUSG00000038002, intron 13 of 20)	17	24942156	24960636	18481	2	ENSMUST00000024981	-14307	ENSMUSG00000024165	Shared
ENSMUSG00000024168	57.76890432	0.865031169	0.502285979	0.004359054	0.020294431	Tmem204	chr17	25077982	25078597	Promoter (<=1kb)	17	25057904	25078224	20321	2	ENSMUST00000153745	0	ENSMUSG00000024168	Shared
ENSMUSG00000024170	1875.104976	-0.201452727	0.139926024	0.110435954	0.242431788	Telo2	chr17	25111482	25112281	Promoter (1-2kb)	17	25111127	25113641	2515	2	ENSMUST00000151205	1360	ENSMUSG00000024170	Shared
ENSMUSG00000024172	1418.647661	-0.062678583	0.188934542	0.67978988	0.807722143	St6gal2	chr17	55457241	55458108	Intron (ENSMUST00000133899/ENSMUSG00000024172, intron 1 of 1)	17	55446244	55482368	36125	1	ENSMUST00000153220	10998	ENSMUSG00000024172	Shared
ENSMUSG00000024175	93.70888505	0.686142278	0.396762472	0.008672126	0.035247827	Tekt4	chr17	25454274	25454714	Distal Intergenic	17	25471590	25476594	5005	1	ENSMUST00000025002	-16876	ENSMUSG00000024175	Shared
ENSMUSG00000024176	416.84852	-0.318724761	0.212089854	0.059694678	0.155790788	Sox8	chr17	25556321	25556898	Distal Intergenic	17	25567988	25570214	2227	2	ENSMUST00000174560	13316	ENSMUSG00000024176	Shared
ENSMUSG00000024182	1900.193884	0.253133144	0.078620421	0.000897636	0.005549596	Axin1	chr17	26165733	26166114	Intron (ENSMUST00000074370/ENSMUSG00000024182, intron 2 of 10)	17	26188153	26188795	643	1	ENSMUST00000169268	-22039	ENSMUSG00000024182	Shared
ENSMUSG00000024190	1707.541931	0.031927592	0.201311084	0.832612881	0.90685005	Dusp1	chr17	26478654	26479065	Distal Intergenic	17	26506516	26507723	1208	2	ENSMUST00000146077	28658	ENSMUSG00000024190	Shared
ENSMUSG00000024193	1886.702476	-0.446841082	0.171329429	0.002865276	0.014429092	Phf1	chr17	26933012	26933772	Promoter (<=1kb)	17	26933127	26937890	4764	1	ENSMUST00000073724	0	ENSMUSG00000024193	Shared
ENSMUSG00000024194	2301.470867	0.133916377	0.083767636	0.097938648	0.222807121	Cuta	chr17	26939248	26940107	Promoter (<=1kb)	17	26937973	26939468	1496	2	ENSMUST00000025027	0	ENSMUSG00000024194	Shared
ENSMUSG00000024201	4149.404853	-0.243203228	0.116026325	0.024753716	0.080054823	Kdm4b	chr17	56373129	56374759	Promoter (<=1kb)	17	56372295	56386119	13825	1	ENSMUST00000132363	835	ENSMUSG00000024201	Shared
ENSMUSG00000024208	2760.486742	0.13766029	0.077699065	0.068056787	0.171212629	Uqcc2	chr17	27120306	27120827	Intron (ENSMUST00000049308/ENSMUSG00000042644, intron 56 of 57)	17	27122668	27133623	10956	2	ENSMUST00000145148	12796	ENSMUSG00000024208	Shared
ENSMUSG00000024210	2.830525135	-0.050178206	0.321886263	0.55463125	.	Ip6k3	chr17	27154129	27154726	Intron (ENSMUST00000025046/ENSMUSG00000024210, intron 2 of 5)	17	27143969	27167764	23796	2	ENSMUST00000025046	13038	ENSMUSG00000024210	Shared
ENSMUSG00000024211	287.4326651	0.421415143	0.391397184	0.041540929	0.118590383	Grm8	chr6	28051723	28052623	Intron (ENSMUST00000115323/ENSMUSG00000024211, intron 2 of 10)	6	27275128	28126125	850998	2	ENSMUST00000115324	73502	ENSMUSG00000024211	Shared
ENSMUSG00000024213	11924.47362	-0.01962771	0.084147102	0.80808583	0.892235827	Nudt3	chr17	27574620	27575042	Distal Intergenic	17	27580705	27583319	2615	2	ENSMUST00000133048	8277	ENSMUSG00000024213	Shared
ENSMUSG00000024215	17.10405992	0.688266972	0.621477809	0.016384773	0.057713317	Spdef	chr17	27712176	27713292	Downstream (1-2kb)	17	27714505	27717582	3078	2	ENSMUST00000127622	4290	ENSMUSG00000024215	Shared
ENSMUSG00000024219	2135.284746	0.168153554	0.083489968	0.036954718	0.108373006	Anks1	chr17	27909662	27910217	Promoter (<=1kb)	17	27909372	28062597	153226	1	ENSMUST00000088027	291	ENSMUSG00000024219	Shared
ENSMUSG00000024220	2403.049265	-0.446975285	0.09967731	2.62071E-06	3.80851E-05	Zfp523	chr17	28184992	28185444	Intron (ENSMUST00000145313/ENSMUSG00000024220, intron 1 of 12)	17	28189933	28197800	7868	1	ENSMUST00000161275	-4489	ENSMUSG00000024220	Shared
ENSMUSG00000024222	1626.254022	-0.77678827	0.157016484	9.60179E-08	2.01697E-06	Fkbp5	chr17	28406234	28407169	Exon (ENSMUST00000079413/ENSMUSG00000024222, exon 3 of 11)	17	28402698	28428629	25932	2	ENSMUST00000143685	21460	ENSMUSG00000024222	Shared
ENSMUSG00000024227	6.278055616	0.028235892	0.320680001	0.72602077	0.83962235	Pdzph1	chr17	58770452	58771162	Distal Intergenic	17	58878808	58884133	5326	2	ENSMUST00000177108	112971	ENSMUSG00000024227	Shared
ENSMUSG00000024231	3048.372694	-0.126925992	0.09203155	0.152618202	0.303922102	Cul2	chr18	3439892	3440437	Distal Intergenic	18	3433884	3435013	1130	1	ENSMUST00000159443	6009	ENSMUSG00000024231	Shared
ENSMUSG00000024232	511.1010188	0.234056098	0.205156214	0.154099378	0.306125534	Bambi	chr18	3524537	3525118	Distal Intergenic	18	3507957	3516404	8448	1	ENSMUST00000025075	16581	ENSMUSG00000024232	Shared
ENSMUSG00000024235	224.2705708	0.054875687	0.155748056	0.689854252	0.814418539	Map3k8	chr18	4278394	4278792	Distal Intergenic	18	4333845	4335048	1204	2	ENSMUST00000173708	56256	ENSMUSG00000024235	Shared
ENSMUSG00000024236	1572.361925	0.284764105	0.205312567	0.081608208	0.195668181	Svil	chr18	4786154	4786598	Distal Intergenic	18	4920540	5119291	198752	1	ENSMUST00000126977	-133942	ENSMUSG00000024236	Shared
ENSMUSG00000024238	2415.875444	-0.268580582	0.126664828	0.020926473	0.070132806	Zeb1	chr18	5533604	5534003	Intron (ENSMUST00000177190/ENSMUSG00000093709, intron 4 of 6)	18	5591860	5775467	183608	1	ENSMUST00000025081	-57857	ENSMUSG00000024238	Shared
