.	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol	Chrom	Start	End	NeuroD1	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	NEUROD1_unique
ENSMUSG00000042200	19.56996365	0.252550578	0.387090215	0.12739171	0.26810309	Cdrt4	chr11	62977228	62977466	NeuroD1	Intron (ENSMUST00000035854/ENSMUSG00000042200, intron 1 of 1)	11	62951193	62993095	41903	1	ENSMUST00000035854	26036	ENSMUSG00000042200	NEUROD1_unique
ENSMUSG00000042203	2321.885948	0.21372425	0.103628757	0.029026574	0.090292308	Tbc1d22b	chr17	29569530	29570100	NeuroD1	Promoter (2-3kb)	17	29572423	29606894	34472	1	ENSMUST00000160114	-2323	ENSMUSG00000042203	NEUROD1_unique
ENSMUSG00000042207	4645.021848	-0.181940789	0.089899563	0.040015081	0.115177159	Kdm5b	chr1	134598440	134598707	NeuroD1	Intron (ENSMUST00000047714/ENSMUSG00000042207, intron 7 of 26)	1	134621880	134625101	3222	1	ENSMUST00000133725	-23173	ENSMUSG00000042207	NEUROD1_unique
ENSMUSG00000042211	1954.773182	-0.065991499	0.094143509	0.485696413	0.654330966	Fbxo38	chr18	62471492	62471852	NeuroD1	Distal Intergenic	18	62504069	62548743	44675	2	ENSMUST00000048688	76891	ENSMUSG00000042211	NEUROD1_unique
ENSMUSG00000042216	2210.048319	0.126581412	0.182649226	0.403345562	0.583555812	Sgsm1	chr5	113291196	113291460	NeuroD1	Intron (ENSMUST00000048112/ENSMUSG00000042216, intron 2 of 24)	5	113279610	113282892	3283	2	ENSMUST00000138266	-8305	ENSMUSG00000042216	NEUROD1_unique
ENSMUSG00000042228	783.6842526	-1.13635552	0.215670069	8.7327E-09	2.33979E-07	Lyn	chr4	3673465	3673648	NeuroD1	Distal Intergenic	4	3678115	3791613	113499	1	ENSMUST00000041377	-4467	ENSMUSG00000042228	NEUROD1_unique
ENSMUSG00000042246	581.7867537	0.267336506	0.105402975	0.007432552	0.031225979	Tmc7	chr7	118585944	118586136	NeuroD1	Promoter (1-2kb)	7	118535843	118584736	48894	2	ENSMUST00000044195	-1209	ENSMUSG00000042246	NEUROD1_unique
ENSMUSG00000042249	1093.112369	-0.688711125	0.099499499	7.8834E-13	4.87686E-11	Adrbk2	chr5	112963543	112963815	NeuroD1	Intron (ENSMUST00000065167/ENSMUSG00000042249, intron 5 of 20)	5	112910478	113015514	105037	2	ENSMUST00000065167	51699	ENSMUSG00000042249	NEUROD1_unique
ENSMUSG00000042254	5.213225883	-0.015230196	0.309860874	0.878126688	0.933487089	Cilp	chr9	65267819	65268049	NeuroD1	Promoter (1-2kb)	9	65265823	65280535	14713	1	ENSMUST00000141382	1997	ENSMUSG00000042254	NEUROD1_unique
ENSMUSG00000042256	260.1322244	-0.181053974	0.205295931	0.259957453	0.438274397	Ptchd4	chr17	41818422	41818703	NeuroD1	Distal Intergenic	17	42315947	42507741	191795	1	ENSMUST00000048691	-497244	ENSMUSG00000042256	NEUROD1_unique
ENSMUSG00000042269	125.7312927	1.197410174	0.483333415	0.000706329	0.004562048	Fam92b	chr8	120177320	120177515	NeuroD1	Promoter (<=1kb)	8	120166397	120177466	11070	2	ENSMUST00000048786	0	ENSMUSG00000042269	NEUROD1_unique
ENSMUSG00000042272	3636.123647	-0.305401118	0.127652551	0.010760053	0.041866727	Sestd1	chr2	77263485	77263826	NeuroD1	Promoter (1-2kb)	2	77180340	77265768	85429	2	ENSMUST00000102660	1942	ENSMUSG00000042272	NEUROD1_unique
ENSMUSG00000042275	391.7115586	0.015870085	0.100021711	0.842966509	0.913552422	Pelo	chr13	115063391	115063582	NeuroD1	Intron (ENSMUST00000061673/ENSMUSG00000042284, intron 1 of 28)	13	115088357	115090188	1832	2	ENSMUST00000109226	26606	ENSMUSG00000042275	NEUROD1_unique
ENSMUSG00000042286	92.96486061	-0.626066791	0.347828408	0.009571056	0.038159942	Stab1	chr14	31156649	31156869	NeuroD1	Promoter (<=1kb)	14	31156637	31157384	748	2	ENSMUST00000161464	515	ENSMUSG00000042286	NEUROD1_unique
ENSMUSG00000042289	29.39777464	-0.120408881	0.287030464	0.44915173	0.623497122	Hsd3b7	chr7	127798648	127798863	NeuroD1	Promoter (<=1kb)	7	127799391	127802022	2632	1	ENSMUST00000136823	-528	ENSMUSG00000042289	NEUROD1_unique
ENSMUSG00000042292	1939.274929	-0.217367562	0.09606582	0.017361476	0.060466017	Mkl1	chr15	81103205	81103462	NeuroD1	Promoter (1-2kb)	15	81012291	81105083	92793	2	ENSMUST00000109579	1621	ENSMUSG00000042292	NEUROD1_unique
ENSMUSG00000042302	3011.742967	-0.1943045	0.089420591	0.023636961	0.077183549	Ehbp1	chr11	22159674	22159872	NeuroD1	Intron (ENSMUST00000045167/ENSMUSG00000042302, intron 6 of 23)	11	22169037	22171410	2374	2	ENSMUST00000136762	11538	ENSMUSG00000042302	NEUROD1_unique
ENSMUSG00000042303	2430.135422	-0.092679161	0.114286816	0.376420547	0.558296888	Sgsm3	chr15	81010270	81010524	NeuroD1	Promoter (<=1kb)	15	81010635	81011756	1122	1	ENSMUST00000134511	-111	ENSMUSG00000042303	NEUROD1_unique
ENSMUSG00000042306	5.074090655	-0.133861215	0.345844966	0.220177305	0.39177414	S100a14	chr3	90529844	90530108	NeuroD1	Promoter (2-3kb)	3	90526849	90528837	1989	1	ENSMUST00000167598	2996	ENSMUSG00000042306	NEUROD1_unique
ENSMUSG00000042323	2899.476139	0.123490953	0.141025067	0.349228718	0.531390572	Pbrm1	chr14	31025862	31026100	NeuroD1	Promoter (<=1kb)	14	31025511	31120041	94531	1	ENSMUST00000090214	352	ENSMUSG00000042323	NEUROD1_unique
ENSMUSG00000042328	1523.817521	0.123778552	0.151451712	0.370333888	0.551858874	Hps4	chr5	112344653	112344985	NeuroD1	Promoter (1-2kb)	5	112343100	112344887	1788	1	ENSMUST00000175718	1554	ENSMUSG00000042328	NEUROD1_unique
ENSMUSG00000042331	2772.348128	-0.696647698	0.133694169	2.59824E-08	6.14017E-07	Specc1	chr11	62015108	62015370	NeuroD1	Intron (ENSMUST00000049836/ENSMUSG00000042331, intron 1 of 7)	11	62029276	62223013	193738	1	ENSMUST00000108709	-13906	ENSMUSG00000042331	NEUROD1_unique
ENSMUSG00000042333	12.84321604	0.012632524	0.289653894	0.927615197	0.960471301	Tnfrsf14	chr4	154928044	154928299	NeuroD1	Promoter (<=1kb)	4	154922210	154928077	5868	2	ENSMUST00000045919	0	ENSMUSG00000042333	NEUROD1_unique
ENSMUSG00000042348	1586.181773	-1.056526363	0.118685619	5.42038E-20	1.19184E-17	Arl15	chr13	113783064	113783300	NeuroD1	Distal Intergenic	13	113794505	114157461	362957	1	ENSMUST00000091201	-11205	ENSMUSG00000042348	NEUROD1_unique
ENSMUSG00000042349	322.5168815	-0.004974907	0.140768033	0.967928667	0.98323938	Ikbke	chr1	131259920	131260110	NeuroD1	Exon (ENSMUST00000162437/ENSMUSG00000042349, exon 3 of 4)	1	131254343	131265131	10789	2	ENSMUST00000162437	5021	ENSMUSG00000042349	NEUROD1_unique
ENSMUSG00000042350	6093.442599	-0.124585338	0.104476834	0.219931296	0.391567522	Arel1	chr12	84948351	84948547	NeuroD1	Promoter (1-2kb)	12	84940161	84946923	6763	2	ENSMUST00000169161	-1429	ENSMUSG00000042350	NEUROD1_unique
ENSMUSG00000042359	2667.192136	-0.044378066	0.158086426	0.739445822	0.848280083	Osbpl6	chr2	76391177	76391425	NeuroD1	Distal Intergenic	2	76406508	76407931	1424	1	ENSMUST00000133275	-15083	ENSMUSG00000042359	NEUROD1_unique
ENSMUSG00000042363	2544.499479	-1.091455733	0.137727382	1.64773E-16	1.9267E-14	Lgalsl	chr11	20800512	20800764	NeuroD1	Distal Intergenic	11	20826350	20830755	4406	2	ENSMUST00000144441	29991	ENSMUSG00000042363	NEUROD1_unique
ENSMUSG00000042364	2794.180432	0.049359583	0.115933312	0.651539905	0.786635741	Snx18	chr13	113524080	113524308	NeuroD1	Distal Intergenic	13	113592180	113618564	26385	2	ENSMUST00000109241	94256	ENSMUSG00000042364	NEUROD1_unique
ENSMUSG00000042367	25.61130516	-0.425477564	0.569376072	0.038125414	0.111033543	Gjb3	chr4	127330582	127330844	NeuroD1	Promoter (<=1kb)	4	127325235	127330844	5610	2	ENSMUST00000046532	0	ENSMUSG00000042367	NEUROD1_unique
ENSMUSG00000042377	5.924551736	0.010525186	0.310284283	0.919193938	0.9561125	Fam83g	chr11	61693956	61694275	NeuroD1	Intron (ENSMUST00000093019/ENSMUSG00000042377, intron 1 of 4)	11	61684419	61709951	25533	1	ENSMUST00000093019	9538	ENSMUSG00000042377	NEUROD1_unique
ENSMUSG00000042379	57.98693056	-2.366650029	0.549340307	3.77565E-07	6.83774E-06	Esm1	chr13	113196394	113196607	NeuroD1	Intron (ENSMUST00000122399/ENSMUSG00000042385, intron 2 of 5)	13	113209659	113218098	8440	1	ENSMUST00000038144	-13052	ENSMUSG00000042379	NEUROD1_unique
ENSMUSG00000042385	8.183400063	0.126397903	0.326329645	0.336793094	0.519121901	Gzmk	chr13	113224262	113224597	NeuroD1	Promoter (1-2kb)	13	113171608	113225908	54301	2	ENSMUST00000122399	1311	ENSMUSG00000042385	NEUROD1_unique
ENSMUSG00000042388	4792.970104	0.268960466	0.203604014	0.100133086	0.226284455	Dlgap3	chr4	127169737	127169963	NeuroD1	Promoter (<=1kb)	4	127169204	127237022	67819	1	ENSMUST00000046659	534	ENSMUSG00000042388	NEUROD1_unique
ENSMUSG00000042389	923.5858737	0.304508604	0.091175499	0.000493413	0.003366361	Tsen2	chr6	115499571	115500013	NeuroD1	Distal Intergenic	6	115544664	115554272	9609	1	ENSMUST00000130425	-44651	ENSMUSG00000042389	NEUROD1_unique
ENSMUSG00000042390	3545.288807	0.233604047	0.114802371	0.032710858	0.098718706	Gatad2b	chr3	90346625	90346811	NeuroD1	Intron (ENSMUST00000049382/ENSMUSG00000042390, intron 1 of 9)	3	90341654	90358120	16467	1	ENSMUST00000049382	4972	ENSMUSG00000042390	NEUROD1_unique
ENSMUSG00000042401	2636.830931	-1.508635017	0.212927492	8.40077E-14	6.20216E-12	Crtac1	chr19	42389523	42389927	NeuroD1	Intron (ENSMUST00000048630/ENSMUSG00000042401, intron 2 of 14)	19	42283037	42431783	148747	2	ENSMUST00000048630	41856	ENSMUSG00000042401	NEUROD1_unique
ENSMUSG00000042404	1296.344239	-0.152642344	0.166973753	0.286391318	0.466796389	Dennd4b	chr3	90306055	90306235	NeuroD1	Distal Intergenic	3	90278008	90278670	663	1	ENSMUST00000141139	28048	ENSMUSG00000042404	NEUROD1_unique
ENSMUSG00000042406	9416.395819	0.679772274	0.221337745	0.000292491	0.00214844	Atf4	chr15	80251837	80252105	NeuroD1	3' UTR	15	80255184	80257540	2357	1	ENSMUST00000109605	-3079	ENSMUSG00000042406	NEUROD1_unique
ENSMUSG00000042426	1826.662616	-0.068396068	0.087821273	0.420408338	0.599426685	Dhx29	chr13	112954127	112954372	NeuroD1	Intron (ENSMUST00000038574/ENSMUSG00000042426, intron 14 of 26)	13	112927730	112969431	41702	1	ENSMUST00000038574	26398	ENSMUSG00000042426	NEUROD1_unique
ENSMUSG00000042428	5020.832788	0.074434089	0.117835808	0.513354991	0.677381617	Mgat3	chr15	80165385	80165820	NeuroD1	Distal Intergenic	15	80173721	80215519	41799	1	ENSMUST00000044970	-7901	ENSMUSG00000042428	NEUROD1_unique
ENSMUSG00000042429	7607.149064	-1.102110155	0.247544991	4.12607E-07	7.35385E-06	Adora1	chr1	134245106	134245316	NeuroD1	Distal Intergenic	1	134199223	134235431	36209	2	ENSMUST00000086465	-9676	ENSMUSG00000042429	NEUROD1_unique
ENSMUSG00000042436	2194.712102	0.336741785	0.326411181	0.081559633	0.195611422	Mfap4	chr11	61469657	61469974	NeuroD1	Distal Intergenic	11	61485431	61488900	3470	1	ENSMUST00000064783	-15457	ENSMUSG00000042436	NEUROD1_unique
ENSMUSG00000042447	1024.70522	-0.154602609	0.128832997	0.191427965	0.356503512	Mios	chr6	8227068	8227390	NeuroD1	Promoter (<=1kb)	6	8226635	8236268	9634	1	ENSMUST00000160265	434	ENSMUSG00000042447	NEUROD1_unique
ENSMUSG00000042451	15.26064497	-0.123611392	0.31016315	0.398482251	0.579029813	Mybph	chr1	134195647	134195882	NeuroD1	Promoter (2-3kb)	1	134193448	134201231	7784	1	ENSMUST00000038445	2200	ENSMUSG00000042451	NEUROD1_unique
ENSMUSG00000042453	6350.373914	0.268399533	0.375212393	0.117561148	0.253047931	Reln	chr5	21926754	21927023	NeuroD1	Intron (ENSMUST00000084713/ENSMUSG00000073152, intron 1 of 3)	5	21898724	21932719	33996	2	ENSMUST00000159768	5696	ENSMUSG00000042453	NEUROD1_unique
ENSMUSG00000042474	5.760678296	0.099782912	0.328979462	0.357815917	0.539967041	Fcmr	chr1	130849552	130849816	NeuroD1	Exon (ENSMUST00000027675/ENSMUSG00000026417, exon 9 of 11)	1	130865669	130880790	15122	1	ENSMUST00000038829	-15853	ENSMUSG00000042474	NEUROD1_unique
ENSMUSG00000042476	158.7163335	-0.589946198	0.275860841	0.005527687	0.02455954	Abcb4	chr5	8864085	8864265	NeuroD1	Exon (ENSMUST00000009058/ENSMUSG00000028970, exon 27 of 28)	5	8893721	8959225	65505	1	ENSMUST00000003717	-29456	ENSMUSG00000042476	NEUROD1_unique
ENSMUSG00000042489	199.6097549	-0.638883466	0.494813431	0.015224304	0.05477013	Clspn	chr4	126552194	126552374	NeuroD1	Distal Intergenic	4	126556935	126593903	36969	1	ENSMUST00000048391	-4561	ENSMUSG00000042489	NEUROD1_unique
ENSMUSG00000042496	880.0113253	-0.043749264	0.14212167	0.731345998	0.843177829	Prdm10	chr9	31296344	31296720	NeuroD1	Intron (ENSMUST00000117389/ENSMUSG00000042496, intron 1 of 6)	9	31280538	31330618	50081	1	ENSMUST00000117389	15807	ENSMUSG00000042496	NEUROD1_unique
ENSMUSG00000042501	17.42417647	-1.344342939	1.119433459	0.004852572	0.022103731	Cpa6	chr1	10459238	10459475	NeuroD1	Intron (ENSMUST00000153695/ENSMUSG00000042501, intron 5 of 9)	1	10472475	10477823	5349	2	ENSMUST00000147575	18348	ENSMUSG00000042501	NEUROD1_unique
ENSMUSG00000042506	25198.14687	-0.511388725	0.105004191	3.12104E-07	5.71879E-06	Usp22	chr11	61189626	61189871	NeuroD1	Distal Intergenic	11	61151785	61175055	23271	2	ENSMUST00000041683	-14572	ENSMUSG00000042506	NEUROD1_unique
ENSMUSG00000042507	1286.568466	-0.168804835	0.109517087	0.09993856	0.226009741	Elmsan1	chr12	84173010	84173266	NeuroD1	Exon (ENSMUST00000046266/ENSMUSG00000042507, exon 12 of 13)	12	84156528	84160138	3611	2	ENSMUST00000130038	-12873	ENSMUSG00000042507	NEUROD1_unique
ENSMUSG00000042514	37.84308856	1.651746939	0.674326155	0.00028461	0.00209435	Klhl14	chr18	21736177	21736460	NeuroD1	Distal Intergenic	18	21550379	21654718	104340	2	ENSMUST00000122333	-81460	ENSMUSG00000042514	NEUROD1_unique
ENSMUSG00000042524	2194.770311	-0.254195797	0.129135792	0.032286323	0.097935283	Sun2	chr15	79728259	79728686	NeuroD1	Exon (ENSMUST00000162392/ENSMUSG00000042524, exon 6 of 17)	15	79734108	79735951	1844	2	ENSMUST00000162064	7265	ENSMUSG00000042524	NEUROD1_unique
ENSMUSG00000042529	276.2777784	0.386839543	0.124947088	0.000860472	0.005370717	Kcnj12	chr11	61027148	61027372	NeuroD1	Intron (ENSMUST00000089184/ENSMUSG00000042529, intron 1 of 1)	11	61022564	61071131	48568	1	ENSMUST00000089184	4585	ENSMUSG00000042529	NEUROD1_unique
ENSMUSG00000042532	3415.785933	-0.230083492	0.194225811	0.16438422	0.320636909	Golga7b	chr19	42238184	42238528	NeuroD1	Distal Intergenic	19	42247574	42270348	22775	1	ENSMUST00000122375	-9046	ENSMUSG00000042532	NEUROD1_unique
ENSMUSG00000042540	32.23069043	0.046424725	0.289335838	0.738263417	0.847440162	Acot5	chr12	84071710	84072094	NeuroD1	Promoter (2-3kb)	12	84069325	84076020	6696	1	ENSMUST00000072505	2386	ENSMUSG00000042540	NEUROD1_unique
ENSMUSG00000042541	3711.774066	0.286840879	0.118351446	0.008958806	0.036144333	Sem1	chr6	6544288	6544594	NeuroD1	Distal Intergenic	6	6558283	6578652	20370	2	ENSMUST00000041111	34058	ENSMUSG00000042541	NEUROD1_unique
ENSMUSG00000042557	1842.156088	-0.09413413	0.073674849	0.188933295	0.353149837	Sin3a	chr9	57072072	57072295	NeuroD1	Promoter (<=1kb)	9	57072040	57089496	17457	1	ENSMUST00000169879	33	ENSMUSG00000042557	NEUROD1_unique
ENSMUSG00000042564	326.0333337	0.069378332	0.170935197	0.635248905	0.77435674	Fam227a	chr15	79646691	79646935	NeuroD1	Intron (ENSMUST00000109648/ENSMUSG00000042564, intron 3 of 18)	15	79612371	79658749	46379	2	ENSMUST00000109646	11814	ENSMUSG00000042564	NEUROD1_unique
ENSMUSG00000042567	58.81459302	0.404390711	0.404417905	0.061945651	0.160179211	Nek10	chr14	14847508	14847747	NeuroD1	Intron (ENSMUST00000112631/ENSMUSG00000042567, intron 10 of 34)	14	14860926	14969908	108983	1	ENSMUST00000063220	-13179	ENSMUSG00000042567	NEUROD1_unique
ENSMUSG00000042579	372.3940092	-0.322651898	0.140712444	0.011049914	0.042780613	RP24-122I22.2	chr3	89768939	89769135	NeuroD1	Exon (ENSMUST00000038450/ENSMUSG00000042579, exon 1 of 2)	3	89767511	89773240	5730	2	ENSMUST00000038450	4105	ENSMUSG00000042579	NEUROD1_unique
ENSMUSG00000042581	1067.209812	-1.110880704	0.170901935	7.01046E-12	3.59024E-10	Thsd7b	chr1	129133707	129134221	NeuroD1	Distal Intergenic	1	129273302	129431058	157757	1	ENSMUST00000148051	-139081	ENSMUSG00000042581	NEUROD1_unique
ENSMUSG00000042589	1190.578485	0.187661633	0.172606755	0.190518077	0.355271955	Cux2	chr5	121905067	121905275	NeuroD1	Intron (ENSMUST00000111752/ENSMUSG00000042589, intron 4 of 22)	5	121879821	121895381	15561	2	ENSMUST00000144069	-9687	ENSMUSG00000042589	NEUROD1_unique
ENSMUSG00000042594	1000.193459	-0.998110134	0.151835334	4.42601E-12	2.38757E-10	Sh2b3	chr5	121825663	121825843	NeuroD1	Intron (ENSMUST00000136960/ENSMUSG00000042594, intron 2 of 6)	5	121817010	121836104	19095	2	ENSMUST00000122426	10261	ENSMUSG00000042594	NEUROD1_unique
ENSMUSG00000042596	1.840815513	0.034923876	0.331053749	0.202901404	.	Tfap2d	chr1	19088046	19088328	NeuroD1	Intron (ENSMUST00000159108/ENSMUSG00000089787, intron 1 of 3)	1	19103022	19166346	63325	1	ENSMUST00000037294	-14694	ENSMUSG00000042596	NEUROD1_unique
ENSMUSG00000042599	932.936531	-0.04544678	0.129875214	0.717228837	0.833818663	Kdm7a	chr6	39215343	39215624	NeuroD1	Distal Intergenic	6	39136623	39206789	70167	2	ENSMUST00000002305	-8555	ENSMUSG00000042599	NEUROD1_unique
ENSMUSG00000042604	850.9164241	-0.098306507	0.250037092	0.542054587	0.70181914	Kcna4	chr2	107208880	107209115	NeuroD1	Distal Intergenic	2	107290639	107298502	7864	1	ENSMUST00000037012	-81524	ENSMUSG00000042604	NEUROD1_unique
ENSMUSG00000042605	4372.830405	-0.033520983	0.117878069	0.771150798	0.868671872	Atxn2	chr5	121691545	121691748	NeuroD1	Distal Intergenic	5	121711337	121749183	37847	1	ENSMUST00000162611	-19589	ENSMUSG00000042605	NEUROD1_unique
ENSMUSG00000042607	28.6096732	0.170135701	0.281995492	0.32150609	0.504322789	Asb4	chr6	5383978	5384224	NeuroD1	Promoter (<=1kb)	6	5383386	5433022	49637	1	ENSMUST00000043294	593	ENSMUSG00000042607	NEUROD1_unique
ENSMUSG00000042608	2298.503913	0.116198027	0.118132146	0.299111573	0.480140295	Stk40	chr4	126111037	126111263	NeuroD1	Intron (ENSMUST00000116286/ENSMUSG00000042608, intron 1 of 12)	4	126104035	126117698	13664	1	ENSMUST00000127092	7003	ENSMUSG00000042608	NEUROD1_unique
ENSMUSG00000042616	1544.489916	0.238741319	0.152722461	0.081856984	0.196125184	Oscp1	chr4	126059072	126059304	NeuroD1	Promoter (<=1kb)	4	126058565	126092195	33631	1	ENSMUST00000035497	508	ENSMUSG00000042616	NEUROD1_unique
ENSMUSG00000042622	1379.878832	-0.191417578	0.256828487	0.259071845	0.437276959	Maff	chr15	79342018	79342229	NeuroD1	Distal Intergenic	15	79347541	79359072	11532	1	ENSMUST00000096350	-5312	ENSMUSG00000042622	NEUROD1_unique
ENSMUSG00000042625	2664.375142	0.129209044	0.088278478	0.128428892	0.269500836	Safb2	chr17	56547146	56547587	NeuroD1	Distal Intergenic	17	56560965	56564516	3552	2	ENSMUST00000142752	16929	ENSMUSG00000042625	NEUROD1_unique
ENSMUSG00000042631	300.678678	0.073883644	0.308499202	0.530054915	0.6914161	Xkr7	chr2	153038390	153038675	NeuroD1	Intron (ENSMUST00000037235/ENSMUSG00000042631, intron 1 of 2)	2	153031852	153055775	23924	1	ENSMUST00000037235	6539	ENSMUSG00000042631	NEUROD1_unique
ENSMUSG00000042659	2594.220488	-0.53191179	0.208905917	0.002297338	0.012058344	Arrdc4	chr7	68744785	68744985	NeuroD1	Promoter (<=1kb)	7	68741511	68744906	3396	2	ENSMUST00000132396	0	ENSMUSG00000042659	NEUROD1_unique
ENSMUSG00000042671	1212.590637	-0.065366596	0.263877987	0.656687696	0.790452484	Rgs8	chr1	153601985	153602165	NeuroD1	Distal Intergenic	1	153653025	153697667	44643	1	ENSMUST00000041776	-50860	ENSMUSG00000042671	NEUROD1_unique
ENSMUSG00000042677	240.5280996	-0.010190674	0.150844803	0.938648928	0.96640519	Zc3h12a	chr4	125115719	125115988	NeuroD1	Downstream (2-3kb)	4	125120094	125122520	2427	2	ENSMUST00000131685	6532	ENSMUSG00000042677	NEUROD1_unique
ENSMUSG00000042680	1828.428286	-0.697345668	0.163279246	3.00896E-06	4.2865E-05	Garem1	chr18	21238451	21238668	NeuroD1	Intron (ENSMUST00000049260/ENSMUSG00000042680, intron 1 of 5)	18	21127201	21300138	172938	2	ENSMUST00000049260	61470	ENSMUSG00000042680	NEUROD1_unique
ENSMUSG00000042682	4716.278507	0.21450775	0.091321677	0.014346944	0.052320953	Selk	chr14	29879282	29879573	NeuroD1	Distal Intergenic	14	29968308	29975074	6767	1	ENSMUST00000112268	-88735	ENSMUSG00000042682	NEUROD1_unique
ENSMUSG00000042686	515.4846782	-0.39770198	0.173042934	0.00808158	0.033418293	Jph1	chr1	17010895	17011158	NeuroD1	Intron (ENSMUST00000038382/ENSMUSG00000042686, intron 3 of 4)	1	16994938	17097889	102952	2	ENSMUST00000038382	86731	ENSMUSG00000042686	NEUROD1_unique
ENSMUSG00000042688	3306.596275	0.490492679	0.151212127	0.000321426	0.002329293	Mapk6	chr9	75397630	75397889	NeuroD1	Promoter (<=1kb)	9	75393089	75397607	4519	2	ENSMUST00000174034	-24	ENSMUSG00000042688	NEUROD1_unique
ENSMUSG00000042699	8353.552616	-0.208923712	0.125129497	0.067907067	0.171006106	Dhx9	chr1	153489519	153489736	NeuroD1	Promoter (1-2kb)	1	153455758	153487660	31903	2	ENSMUST00000042141	-1860	ENSMUSG00000042699	NEUROD1_unique
ENSMUSG00000042700	7419.686674	-0.275920035	0.204874201	0.08969602	0.209667296	Sipa1l1	chr12	82178722	82178969	NeuroD1	Intron (ENSMUST00000166429/ENSMUSG00000042700, intron 1 of 23)	12	82170016	82451782	281767	1	ENSMUST00000166429	8707	ENSMUSG00000042700	NEUROD1_unique
ENSMUSG00000042708	46.49691281	0.080917549	0.229009035	0.62742735	0.767969254	Shcbp1l	chr1	153418218	153418517	NeuroD1	Distal Intergenic	1	153425162	153452574	27413	1	ENSMUST00000042373	-6645	ENSMUSG00000042708	NEUROD1_unique
ENSMUSG00000042709	1128.924746	0.002303921	0.082934923	0.955195119	0.975891013	Atpaf2	chr11	60393442	60393628	NeuroD1	Intron (ENSMUST00000108723/ENSMUSG00000056598, intron 12 of 13)	11	60401478	60417018	15541	2	ENSMUST00000145532	23390	ENSMUSG00000042709	NEUROD1_unique
ENSMUSG00000042724	1155.251213	-0.022180645	0.28413688	0.869072995	0.928794738	Map3k9	chr12	81765497	81765779	NeuroD1	Intron (ENSMUST00000035987/ENSMUSG00000042724, intron 2 of 10)	12	81714950	81781170	66221	2	ENSMUST00000035987	15391	ENSMUSG00000042724	NEUROD1_unique
ENSMUSG00000042734	3073.477506	-0.896840611	0.12384913	9.3286E-14	6.83725E-12	Ttc9	chr12	81647402	81647713	NeuroD1	Intron (ENSMUST00000036116/ENSMUSG00000042734, intron 1 of 2)	12	81631369	81664941	33573	1	ENSMUST00000036116	16034	ENSMUSG00000042734	NEUROD1_unique
ENSMUSG00000042743	1722.970745	-1.314057663	0.24361696	3.97892E-09	1.17332E-07	Sgtb	chr13	104112232	104112483	NeuroD1	Promoter (2-3kb)	13	104109829	104139798	29970	1	ENSMUST00000159574	2404	ENSMUSG00000042743	NEUROD1_unique
ENSMUSG00000042744	10040.0912	-0.143381728	0.221701914	0.382516476	0.56398876	AC126938.1	chr5	121219454	121219637	NeuroD1	Promoter (<=1kb)	5	121220219	121368573	148355	1	ENSMUST00000042614	-582	ENSMUSG00000042744	NEUROD1_unique
ENSMUSG00000042745	2120.543579	-0.371397348	0.289322955	0.058092904	0.152578726	Id1	chr2	152723946	152724147	NeuroD1	Distal Intergenic	2	152736251	152737410	1160	1	ENSMUST00000038368	-12104	ENSMUSG00000042745	NEUROD1_unique
ENSMUSG00000042747	2230.605737	-0.110353835	0.102685048	0.248981195	0.426029911	Krtcap2	chr3	89246745	89246925	NeuroD1	Promoter (<=1kb)	3	89246438	89249722	3285	1	ENSMUST00000168900	308	ENSMUSG00000042747	NEUROD1_unique
ENSMUSG00000042751	7496.517862	0.273228929	0.149035413	0.038026858	0.110842264	Nmnat2	chr1	153000565	153000861	NeuroD1	Intron (ENSMUST00000043313/ENSMUSG00000042751, intron 1 of 10)	1	152955101	153119260	164160	1	ENSMUST00000043313	45465	ENSMUSG00000042751	NEUROD1_unique
ENSMUSG00000042757	2775.099981	0.201348119	0.114801836	0.060718316	0.157733507	Tmem108	chr9	103664308	103664583	NeuroD1	Intron (ENSMUST00000049452/ENSMUSG00000042757, intron 2 of 5)	9	103482936	103761837	278902	2	ENSMUST00000049452	97254	ENSMUSG00000042757	NEUROD1_unique
ENSMUSG00000042761	202.3669954	-0.832920408	0.27218112	0.000230362	0.001758489	Mrap2	chr9	87118915	87119136	NeuroD1	Distal Intergenic	9	87144306	87182777	38472	1	ENSMUST00000143779	-25170	ENSMUSG00000042761	NEUROD1_unique
ENSMUSG00000042770	908.6726528	1.012112266	0.148298396	9.15324E-13	5.57714E-11	Hebp1	chr6	135161470	135161887	NeuroD1	Intron (ENSMUST00000045855/ENSMUSG00000042770, intron 1 of 3)	6	135137519	135168215	30697	2	ENSMUST00000045855	6328	ENSMUSG00000042770	NEUROD1_unique
ENSMUSG00000042772	3280.519273	-0.590912026	0.075198439	9.97935E-16	1.04058E-13	Smg7	chr1	152893500	152893687	NeuroD1	Intron (ENSMUST00000073441/ENSMUSG00000042772, intron 1 of 21)	1	152836996	152902646	65651	2	ENSMUST00000073441	8959	ENSMUSG00000042772	NEUROD1_unique
