Chrom	Start	End	X1_190168243_190173660	X219.68904251653197	X1.5532982689835801	X1.2215036745335e.11	X1.20257036757823e.07	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr16	50529022	50530728	16_50529022_50530728	134.577914715025	0.955038338548691	0.000109696302764739	0.0131702451307177	Distal Intergenic	16	50589859	50591154	1296	2	ENSMUST00000062439	60426	ENSMUSG00000050685	ENSMUSG00000050685
chr17	6808967	6809470	17_6808967_6809470	27.1576321927361	1.76637379744474	0.000664093134309232	0.0392672486923387	Distal Intergenic	17	6738041	6782784	44744	2	ENSMUST00000064234	-26184	ENSMUSG00000052397	ENSMUSG00000052397
chr17	6808967	6809470	17_6808967_6809470	27.1576321927361	1.76637379744474	0.000664093134309232	0.0392672486923387	Distal Intergenic	17	6738041	6782784	44744	2	ENSMUST00000064234	-26184	ENSMUSG00000052397	ENSMUSG00000052397
chr18	69344527	69356251	18_69344527_69356251	833.242084195637	0.599457259133769	1.28217285888725e-07	9.35036429314442e-05	Promoter (<=1kb)	18	69345721	69687967	342247	1	ENSMUST00000078486	0	ENSMUSG00000053477	ENSMUSG00000053477
chr11	105589502	105591982	11_105589502_105591982	155.010031427655	0.824919938424866	0.000320875138504114	0.0255976452152375	Promoter (<=1kb)	11	105589986	105776834	186849	1	ENSMUST00000168598	0	ENSMUSG00000053580	ENSMUSG00000053580
chr7	127512098	127512892	7_127512098_127512892	95.1876268315305	0.896394529727068	0.000957429045765325	0.0480912701814267	Promoter (<=1kb)	7	127512027	127525323	13297	1	ENSMUST00000098025	72	ENSMUSG00000053877	ENSMUSG00000053877
chr7	127512098	127512892	7_127512098_127512892	95.1876268315305	0.896394529727068	0.000957429045765325	0.0480912701814267	Promoter (<=1kb)	7	127512027	127525323	13297	1	ENSMUST00000098025	72	ENSMUSG00000053877	ENSMUSG00000053877
chr1	106690106	106691229	1_106690106_106691229	42.570316087058	2.3351029939666	3.46592547509625e-06	0.00133811907067932	Intron (ENSMUST00000112751/ENSMUSG00000057329, intron 1 of 1)	1	106538178	106714274	176097	2	ENSMUST00000112751	23045	ENSMUSG00000057329	ENSMUSG00000057329
chr9	79005472	79006110	9_79005472_79006110	25.9479650767407	2.25435604882661	0.000116858229097169	0.0136627933332591	Distal Intergenic	9	78820423	78821892	1470	2	ENSMUST00000074819	-183581	ENSMUSG00000059422	ENSMUSG00000059422
chr5	134313362	134316843	5_134313362_134316843	248.058956170711	0.644452605742543	0.000434820974492165	0.0307945334433646	Promoter (<=1kb)	5	134237834	134314760	76927	2	ENSMUST00000059042	0	ENSMUSG00000060261	ENSMUSG00000060261
chr14	122480863	122484223	14_122480863_122484223	139.331418215849	0.987064998760521	6.18713599703261e-05	0.00884867080404025	Promoter (2-3kb)	14	122478100	122479050	951	1	ENSMUST00000137059	2764	ENSMUSG00000061524	ENSMUSG00000061524
chr17	53782882	53784256	17_53782882_53784256	36.1048352863536	3.45182015242063	2.90874075496917e-08	2.86365527326715e-05	Distal Intergenic	17	53723751	53725733	1983	1	ENSMUST00000077153	59132	ENSMUSG00000062036	ENSMUSG00000062036
chr7	45783696	45785109	7_45783696_45785109	160.894010579879	0.906898410318389	9.28478550461735e-05	0.0121834861399284	Promoter (<=1kb)	7	45783738	45804144	20407	1	ENSMUST00000118564	0	ENSMUSG00000062044	ENSMUSG00000062044
chr7	45783696	45785109	7_45783696_45785109	160.894010579879	0.906898410318389	9.28478550461735e-05	0.0121834861399284	Promoter (<=1kb)	7	45783738	45804144	20407	1	ENSMUST00000118564	0	ENSMUSG00000062044	ENSMUSG00000062044
chr6	22204988	22206461	6_22204988_22206461	57.9788215017483	1.82417378121135	2.71170145666814e-05	0.00499003754035474	Intron (ENSMUST00000137437/ENSMUSG00000062980, intron 15 of 21)	6	22135546	22145551	10006	1	ENSMUST00000154734	69443	ENSMUSG00000062980	ENSMUSG00000062980
chr11	51460092	51460309	11_51460092_51460309	12.7601273613449	2.82477070029285	0.000640528063078888	0.0388370455519096	Intron (ENSMUST00000102765/ENSMUSG00000063564, intron 2 of 28)	11	51574432	51580299	5868	1	ENSMUST00000151098	-114123	ENSMUSG00000063564	ENSMUSG00000063564
chr19	15201041	15201695	19_15201041_15201695	30.2454937084238	1.62164082255547	0.000915040380053968	0.0474204467979737	Distal Intergenic	19	14959549	14960766	1218	2	ENSMUST00000072982	-240276	ENSMUSG00000063586	ENSMUSG00000063586
chr8	28870013	28871190	8_28870013_28871190	32.8731918146004	2.88303153213505	3.55659747559888e-06	0.00134671931335658	Intron (ENSMUST00000168630/ENSMUSG00000063626, intron 3 of 17)	8	28646717	29219338	572622	2	ENSMUST00000168630	348148	ENSMUSG00000063626	ENSMUSG00000063626
chr12	27337074	27343639	12_27337074_27343639	430.010794114506	0.515072958783927	0.000338524494964941	0.0261139071156837	Promoter (<=1kb)	12	27340697	27342709	2013	2	ENSMUST00000079063	0	ENSMUSG00000063632	ENSMUSG00000063632
chr7	37871682	37871934	7_37871682_37871934	17.0484589237221	2.62557264267308	0.000748517848356407	0.0420732494990373	Distal Intergenic	7	37824242	37824347	106	2	ENSMUST00000082657	-47336	ENSMUSG00000064591	ENSMUSG00000064591
chr3	137109346	137111173	3_137109346_137111173	82.8428444044368	1.40869824715661	2.03576240804133e-05	0.00400841618143338	Distal Intergenic	3	137067892	137067998	107	1	ENSMUST00000083972	41455	ENSMUSG00000065906	ENSMUSG00000065906
chr8	25224114	25225153	8_25224114_25225153	37.9111537472067	2.33690817798548	7.55387894532875e-06	0.00210084202157335	Distal Intergenic	8	25154552	25201449	46898	2	ENSMUST00000084512	-22666	ENSMUSG00000065954	ENSMUSG00000065954
chr10	37101006	37101297	10_37101006_37101297	16.2071581984495	2.46019311953413	0.000871888434875349	0.0462735398455408	Distal Intergenic	10	37133375	37138920	5546	2	ENSMUST00000092584	37623	ENSMUSG00000069662	ENSMUSG00000069662
chr10	20285985	20287402	10_20285985_20287402	81.0831787373071	1.13441534588227	0.000505371879741428	0.033391853396338	Distal Intergenic	10	20310506	20312294	1789	2	ENSMUST00000092680	24892	ENSMUSG00000069713	ENSMUSG00000069713
chr7	16944131	16944946	7_16944131_16944946	91.8637623751057	1.17278625887543	0.000117268261722742	0.0136627933332591	Promoter (<=1kb)	7	16944682	16948828	4147	1	ENSMUST00000094807	0	ENSMUSG00000070802	ENSMUSG00000070802
chr17	90425597	90426958	17_90425597_90426958	33.9515856265901	1.50016260282044	0.000986522822383228	0.0490369802482724	Intron (ENSMUST00000160844/ENSMUSG00000024109, intron 17 of 22)	17	90454889	90455501	613	1	ENSMUST00000097270	-27931	ENSMUSG00000073367	ENSMUSG00000073367
chr1	155488094	155491454	1_155488094_155491454	155.26155432629	1.41999195035467	1.96130440259452e-08	2.14544909372701e-05	Distal Intergenic	1	155520173	155527111	6939	2	ENSMUST00000097531	35657	ENSMUSG00000073535	ENSMUSG00000073535
chr1	134865838	134866543	1_134865838_134866543	31.5704807363388	2.24535503416138	5.77426702869455e-05	0.00854316902748554	Exon (ENSMUST00000045665/ENSMUSG00000073557, exon 12 of 24)	1	134759067	134846420	87354	2	ENSMUST00000156348	-19419	ENSMUSG00000073557	ENSMUSG00000073557
chr8	117825505	117825818	8_117825505_117825818	23.0713357702241	2.15855076098004	0.000346557108362661	0.0264394507156176	Distal Intergenic	8	117802062	117803234	1173	1	ENSMUST00000098368	23444	ENSMUSG00000074065	ENSMUSG00000074065
chr8	84728160	84733714	8_84728160_84733714	283.852432042428	0.703944252619823	0.000118622235026873	0.0137392459275243	Intron (ENSMUST00000109764/ENSMUSG00000001911, intron 2 of 10)	8	84723007	84726844	3838	1	ENSMUST00000098571	5154	ENSMUSG00000074203	ENSMUSG00000074203
chr11	116661808	116662845	11_116661808_116662845	59.9655304470817	1.41079193639657	0.000111570469504185	0.0133140760274995	Intron (ENSMUST00000148484/ENSMUSG00000075410, intron 5 of 5)	11	116657156	116660116	2961	1	ENSMUST00000156088	4653	ENSMUSG00000075410	ENSMUSG00000075410
chr5	110978715	110981629	5_110978715_110981629	169.382702064904	1.39825197133458	1.35691995303044e-08	1.66985961719809e-05	Intron (ENSMUST00000040111/ENSMUSG00000033209, intron 2 of 23)	5	111004144	111004252	109	1	ENSMUST00000102208	-22515	ENSMUSG00000076163	ENSMUSG00000076163
chr5	110978715	110981629	5_110978715_110981629	169.382702064904	1.39825197133458	1.35691995303044e-08	1.66985961719809e-05	Intron (ENSMUST00000040111/ENSMUSG00000033209, intron 2 of 23)	5	111004144	111004252	109	1	ENSMUST00000102208	-22515	ENSMUSG00000076163	ENSMUSG00000076163
chr5	53346392	53346629	5_53346392_53346629	18.7108374603967	2.36347218393251	0.000437641772142022	0.0307945334433646	Promoter (<=1kb)	5	53346259	53346372	114	2	ENSMUST00000104508	-21	ENSMUSG00000077696	ENSMUSG00000077696
chr4	129494982	129496756	4_129494982_129496756	105.228655668776	0.880472209011208	0.000950159596749203	0.0480907948197746	Intron (ENSMUST00000145488/ENSMUSG00000086336, intron 1 of 2)	4	129491240	129491956	717	1	ENSMUST00000135698	3743	ENSMUSG00000078554	ENSMUSG00000078554
chr4	22102444	22103925	4_22102444_22103925	95.7751519723928	0.936606112140796	0.000900442481659607	0.047351384510988	Distal Intergenic	4	22117134	22117532	399	2	ENSMUST00000117612	13607	ENSMUSG00000082490	ENSMUSG00000082490
chr5	111058382	111058912	5_111058382_111058912	33.3950442578141	1.64840116283776	0.000486864355498265	0.0328268990873321	Intron (ENSMUST00000040111/ENSMUSG00000033209, intron 2 of 23)	5	111008480	111008846	367	2	ENSMUST00000118677	-49537	ENSMUSG00000083771	ENSMUSG00000083771
chr5	111014405	111014640	5_111014405_111014640	13.1128808456392	3.46320863705268	0.000192921164405437	0.0189930886357153	Intron (ENSMUST00000040111/ENSMUSG00000033209, intron 2 of 23)	5	111008480	111008846	367	2	ENSMUST00000118677	-5560	ENSMUSG00000083771	ENSMUSG00000083771
chr12	71747014	71749344	12_71747014_71749344	117.589084717512	1.29715492575346	3.45451810532932e-06	0.00133811907067932	Distal Intergenic	12	71724652	71724954	303	1	ENSMUST00000122514	22363	ENSMUSG00000084463	ENSMUSG00000084463
chr10	75438126	75439671	10_75438126_75439671	76.6652968539277	1.12035555280754	0.000437911090103712	0.0307945334433646	Promoter (2-3kb)	10	75442620	75442942	323	1	ENSMUST00000122673	-2949	ENSMUSG00000084622	ENSMUSG00000084622
chr10	75438126	75439671	10_75438126_75439671	76.6652968539277	1.12035555280754	0.000437911090103712	0.0307945334433646	Promoter (2-3kb)	10	75442620	75442942	323	1	ENSMUST00000122673	-2949	ENSMUSG00000084622	ENSMUSG00000084622
chr12	68757940	68759092	12_68757940_68759092	49.8058412627557	3.00640738661769	4.0295775808848e-09	7.46777839287955e-06	Distal Intergenic	12	68600970	68601087	118	1	ENSMUST00000122711	156971	ENSMUSG00000084660	ENSMUSG00000084660
chr12	47163139	47164490	12_47163139_47164490	70.1679936584833	1.23385414967462	0.000299893303687672	0.0254057873801518	Distal Intergenic	12	46902001	46902082	82	2	ENSMUST00000122727	-261058	ENSMUSG00000084676	ENSMUSG00000084676
chr13	102345364	102345730	13_102345364_102345730	21.3253548333214	3.2490718181332	1.20052413685361e-05	0.00278097885348796	Distal Intergenic	13	102228669	102228952	284	1	ENSMUST00000122784	116696	ENSMUSG00000084733	ENSMUSG00000084733
chr11	117060386	117060920	11_117060386_117060920	26.8305990813473	1.97881697350448	0.00032323781850236	0.0256635187351269	Promoter (1-2kb)	11	117058425	117060268	1844	1	ENSMUST00000139704	1962	ENSMUSG00000085104	ENSMUSG00000085104
chr1	38357726	38358090	1_38357726_38358090	15.7111046575943	2.49214925120523	0.000898023266823907	0.047351384510988	Intron (ENSMUST00000095027/ENSMUSG00000037138, intron 5 of 21)	1	38384949	38393974	9026	1	ENSMUST00000143261	-26859	ENSMUSG00000087131	ENSMUSG00000087131
chr8	94993575	94996961	8_94993575_94996961	248.87139888452	0.759038054419382	0.000144399762363821	0.0157084603367052	Promoter (2-3kb)	8	94999105	94999218	114	2	ENSMUST00000157080	2257	ENSMUSG00000087705	ENSMUSG00000087705
chr1	99369401	99370369	1_99369401_99370369	47.3230146661925	1.51188689153328	0.000304508167684907	0.0254057873801518	Distal Intergenic	1	99017364	99017463	100	1	ENSMUST00000157179	352038	ENSMUSG00000087804	ENSMUSG00000087804
chr5	54335943	54336259	5_54335943_54336259	17.7526852478691	2.40242846429207	0.000442259496290639	0.0308797499360379	Distal Intergenic	5	54290176	54290258	83	1	ENSMUST00000158910	45768	ENSMUSG00000089535	ENSMUSG00000089535
chr16	77850015	77853323	16_77850015_77853323	110.882896504209	0.908269408027335	0.000487416207113278	0.0328268990873321	Exon (ENSMUST00000169531/ENSMUSG00000091193, exon 2 of 2)	16	77846693	77853020	6328	1	ENSMUST00000169531	3323	ENSMUSG00000091193	ENSMUSG00000091193
chr12	45465698	45467077	12_45465698_45467077	68.9210775540233	1.34164451774024	0.000146513382525162	0.0158508159446179	Distal Intergenic	12	45437181	45441698	4518	1	ENSMUST00000173293	28518	ENSMUSG00000092404	ENSMUSG00000092404
chr15	40281353	40282674	15_40281353_40282674	47.3155142262946	2.33019580579317	1.13282312835667e-05	0.00272682473790522	Distal Intergenic	15	40186029	40186099	71	2	ENSMUST00000175114	-95255	ENSMUSG00000092855	ENSMUSG00000092855
chr11	6470804	6472261	11_6470804_6472261	49.3307818011316	1.55988670728894	0.000257292137508032	0.0231928028730472	Promoter (<=1kb)	11	6472225	6472277	53	2	ENSMUST00000175144	16	ENSMUSG00000092885	ENSMUSG00000092885
chr11	6470804	6472261	11_6470804_6472261	49.3307818011316	1.55988670728894	0.000257292137508032	0.0231928028730472	Promoter (<=1kb)	11	6472225	6472277	53	2	ENSMUST00000175144	16	ENSMUSG00000092885	ENSMUSG00000092885
chr6	48187835	48189039	6_48187835_48189039	49.5414453247701	1.95575390551768	1.55995318358634e-05	0.00323320822998052	Distal Intergenic	6	48289228	48289427	200	1	ENSMUST00000175147	-100189	ENSMUSG00000092888	ENSMUSG00000092888
chr6	112971341	112975766	6_112971341_112975766	258.065350710214	0.707490877407687	0.000113977228550337	0.0135193471696153	Promoter (<=1kb)	6	112976213	112976383	171	1	ENSMUST00000117265	-447	ENSMUSG00000094189	ENSMUSG00000094189
