Chrom	Start	End	X16_36784980_36785409	X16.6662302359998	X.0.0447858192482483	X0.5850160589288841	X0.8788557133364159	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr17	34893652	34895624	17_34893652_34895624	114.479136193628	0.138215130134656	0.336211870286979	0.745449605448831	Promoter (<=1kb)	17	34862606	34895547	32942	2	ENSMUST00000148431	0	ENSMUSG00000024371	ENSMUSG00000024371
chr18	37835693	37838164	18_37835693_37838164	129.634606835223	0.0664329045359925	0.629378483167082	0.896963485809481	Intron (ENSMUST00000073447/ENSMUSG00000023036, intron 3 of 3)	18	37845100	37853407	8308	2	ENSMUST00000127346	15243	ENSMUSG00000024456	ENSMUSG00000024456
chr18	65124084	65124306	18_65124084_65124306	10.1646924457155	-0.0450379912595017	0.427719917399294	NA	Intron (ENSMUST00000163516/ENSMUSG00000024589, intron 5 of 30)	18	65023527	65217826	194300	1	ENSMUST00000080418	100558	ENSMUSG00000024589	ENSMUSG00000024589
chr18	64888970	64890360	18_64888970_64890360	117.790050568637	0.1463290516344	0.311666525092288	0.730249580796041	Promoter (1-2kb)	18	64887756	65217826	330071	1	ENSMUST00000163516	1215	ENSMUSG00000024589	ENSMUSG00000024589
chr18	60756921	60757136	18_60756921_60757136	20.0360211081607	0.0310988190386844	0.721696239785921	0.928840559286376	Distal Intergenic	18	60774510	60778546	4037	1	ENSMUST00000025511	-17374	ENSMUSG00000024608	ENSMUSG00000024608
chr19	3323350	3326285	19_3323350_3326285	134.331312911501	0.0435372045690323	0.750082863648137	0.937027680809723	Promoter (<=1kb)	19	3323301	3385732	62432	1	ENSMUST00000025835	50	ENSMUSG00000024900	ENSMUSG00000024900
chr19	55177413	55177939	19_55177413_55177939	17.5258778747991	0.0144906507973082	0.857183997379809	0.966497904621682	Promoter (2-3kb)	19	55180733	55189665	8933	1	ENSMUST00000154886	-2794	ENSMUSG00000024979	ENSMUSG00000024979
chr10	128458628	128459156	10_128458628_128459156	33.8399555256117	0.0300172091996378	0.780288679184567	0.945660086825541	Promoter (<=1kb)	10	128459236	128490173	30938	1	ENSMUST00000026433	-80	ENSMUSG00000025369	ENSMUSG00000025369
chr11	120097999	120099541	11_120097999_120099541	92.4310259361117	0.211885805365225	0.167316092423674	0.589111232480975	Promoter (<=1kb)	11	120090531	120098731	8201	2	ENSMUST00000026442	0	ENSMUSG00000025377	ENSMUSG00000025377
chr13	119408785	119409598	13_119408785_119409598	48.5269435552124	0.0609530859852194	0.606306281641893	0.88754695153469	Promoter (<=1kb)	13	119335448	119408997	73550	2	ENSMUST00000069902	0	ENSMUSG00000025453	ENSMUSG00000025453
chr8	64942493	64942776	8_64942493_64942776	9.96513149193124	0.1361472749862	0.0240655559601254	NA	Distal Intergenic	8	64947185	64969034	21850	1	ENSMUST00000026595	-4409	ENSMUSG00000025521	ENSMUSG00000025521
chr11	118418258	118418915	11_118418258_118418915	29.8274147670745	-0.0672870459211394	0.500705879254281	0.841633836649888	Promoter (<=1kb)	11	118406290	118419023	12734	2	ENSMUST00000092378	108	ENSMUSG00000025575	ENSMUSG00000025575
chr6	31398141	31399059	6_31398141_31399059	51.8867542581897	-0.0303997707994834	0.787224978861713	0.94792440275117	Promoter (<=1kb)	6	31398735	31516811	118077	1	ENSMUST00000026699	0	ENSMUSG00000025609	ENSMUSG00000025609
chr9	108936746	108937067	9_108936746_108937067	35.9890402298653	0.069161676106737	0.532316413678325	0.85770990948054	Promoter (<=1kb)	9	108936648	108949640	12993	1	ENSMUST00000026743	99	ENSMUSG00000025651	ENSMUSG00000025651
chr17	25918992	25920508	17_25918992_25920508	96.3308071624059	0.145366214532993	0.310563853648466	0.729191781342511	Promoter (<=1kb)	17	25882114	25919556	37443	2	ENSMUST00000166146	0	ENSMUSG00000025730	ENSMUSG00000025730
chr10	121505650	121505982	10_121505650_121505982	15.2857724824493	0.0153445803627846	0.840369735191286	0.962181611237961	Distal Intergenic	10	121410350	121476250	65901	2	ENSMUST00000026902	-29401	ENSMUSG00000025795	ENSMUSG00000025795
chr1	58586365	58586964	1_58586365_58586964	66.8111691052292	0.213891030092588	0.153736449959984	0.573091179623344	Promoter (<=1kb)	1	58586384	58595964	9581	1	ENSMUST00000027193	0	ENSMUSG00000026032	ENSMUSG00000026032
chr1	52119458	52119939	1_52119458_52119939	23.3923223825543	0.0177456210949897	0.848520394863401	0.965094860076524	Promoter (<=1kb)	1	52119438	52161865	42428	1	ENSMUST00000070968	21	ENSMUSG00000026104	ENSMUSG00000026104
chr1	24495153	24495558	1_24495153_24495558	21.7806419619621	-0.0413986405070819	0.648087807954502	0.904281321405441	Intron (ENSMUST00000115244/ENSMUSG00000026141, intron 11 of 50)	1	24261890	24452745	190856	2	ENSMUST00000144297	-42409	ENSMUSG00000026141	ENSMUSG00000026141
chr1	23922101	23922777	1_23922101_23922777	51.7783725530467	0.0774805402496831	0.533192482216726	0.857931740121294	Promoter (<=1kb)	1	23845625	23922317	76693	2	ENSMUST00000027339	0	ENSMUSG00000026155	ENSMUSG00000026155
chr1	125379402	125379644	1_125379402_125379644	11.3631625416863	0.00219780552850383	0.977247442572421	NA	Distal Intergenic	1	125392905	125435727	42823	2	ENSMUST00000027579	56083	ENSMUSG00000026341	ENSMUSG00000026341
chr1	138274418	138274795	1_138274418_138274795	6.36741238878468	-0.0444279324271379	0.405628511035743	NA	Promoter (<=1kb)	1	138273738	138289460	15723	1	ENSMUST00000027643	681	ENSMUSG00000026394	ENSMUSG00000026394
chr1	152764611	152765452	1_152764611_152765452	28.2542867104073	-0.0663329310728348	0.496999918807587	0.839144645756774	Promoter (<=1kb)	1	152516760	152766305	249546	2	ENSMUST00000111859	853	ENSMUSG00000026482	ENSMUSG00000026482
chr1	179959246	179962046	1_179959246_179962046	123.957512474482	0.0827916018563821	0.540712973934346	0.861583969579358	Promoter (<=1kb)	1	179960472	180163156	202685	1	ENSMUST00000097453	0	ENSMUSG00000026490	ENSMUSG00000026490
chr1	178147141	178147409	1_178147141_178147409	10.1075300414444	-0.0140553711737578	0.831235585081319	NA	Distal Intergenic	1	178187417	178250901	63485	1	ENSMUST00000161075	-40008	ENSMUSG00000026502	ENSMUSG00000026502
chr1	181354245	181354651	1_181354245_181354651	18.6448721357242	-0.0782883819939744	0.366423717198048	0.767034823837041	Promoter (1-2kb)	1	181353198	181459287	106090	1	ENSMUST00000162685	1048	ENSMUSG00000026514	ENSMUSG00000026514
chr1	164770016	164771424	1_164770016_164771424	57.6193255213199	-0.0390674745098227	0.747895179519267	0.936935411845513	Distal Intergenic	1	164796732	164824266	27535	1	ENSMUST00000027861	-25308	ENSMUSG00000026574	ENSMUSG00000026574
chr1	171102091	171102782	1_171102091_171102782	67.7713909078054	0.0486644939862852	0.698733651863798	0.923111043817488	Distal Intergenic	1	171113918	171126795	12878	1	ENSMUST00000129651	-11136	ENSMUSG00000026649	ENSMUSG00000026649
chr1	170884754	170885308	1_170884754_170885308	33.0153360720515	-0.022456138756276	0.819282083639491	0.955893827142782	Promoter (<=1kb)	1	170874188	170885199	11012	2	ENSMUST00000171447	0	ENSMUSG00000026659	ENSMUSG00000026659
chr2	30415672	30416767	2_30415672_30416767	110.457200203181	0.168095137474196	0.251706320921048	0.683693952122421	Promoter (<=1kb)	2	30400471	30415771	15301	2	ENSMUST00000102855	0	ENSMUSG00000026853	ENSMUSG00000026853
chr2	59360875	59361166	2_59360875_59361166	15.6031263082533	-0.0302456066126866	0.696227194971383	0.922046889559917	Distal Intergenic	2	59342197	59348256	6060	1	ENSMUST00000124127	18679	ENSMUSG00000026991	ENSMUSG00000026991
chr2	68935009	68935937	2_68935009_68935937	40.4245254878364	-0.0768007975326616	0.488461738802084	0.835003373782295	Intron (ENSMUST00000028426/ENSMUSG00000027035, intron 2 of 9)	2	68947290	69050972	103683	1	ENSMUST00000155748	-11353	ENSMUSG00000027035	ENSMUSG00000027035
chr2	105674902	105675248	2_105674902_105675248	20.5834276995924	0.0887364075271906	0.297003018701781	0.719309894002223	Promoter (<=1kb)	2	105675109	105675972	864	1	ENSMUST00000172990	0	ENSMUSG00000027168	ENSMUSG00000027168
chr2	136670161	136671194	2_136670161_136671194	41.37051688133	-0.147944335798329	0.229679953538131	0.656270566794966	Distal Intergenic	2	136713453	136782428	68976	1	ENSMUST00000028727	-42259	ENSMUSG00000027273	ENSMUSG00000027273
chr2	117119779	117122992	2_117119779_117122992	267.441637378716	0.108292590766274	0.434774170953855	0.806566425871158	Promoter (<=1kb)	2	117121374	117182279	60906	1	ENSMUST00000028829	0	ENSMUSG00000027351	ENSMUSG00000027351
chr2	126674035	126676148	2_126674035_126676148	187.15738967423	0.207679318336482	0.164553340534509	0.585270100275377	Promoter (<=1kb)	2	126627442	126675568	48127	2	ENSMUST00000110425	0	ENSMUSG00000027361	ENSMUSG00000027361
chr2	150648232	150648506	2_150648232_150648506	12.467427347326	-0.0481711277088636	0.491956538469833	NA	Intron (ENSMUST00000028944/ENSMUSG00000027452, intron 2 of 13)	2	150628502	150638115	9614	2	ENSMUST00000154328	-10118	ENSMUSG00000027452	ENSMUSG00000027452
chr2	174343762	174344117	2_174343762_174344117	10.0007762213365	-0.101417275919312	0.13052780851388	NA	Promoter (<=1kb)	2	174344650	174345728	1079	1	ENSMUST00000129534	-533	ENSMUSG00000027523	ENSMUSG00000027523
chr3	57469846	57471824	3_57469846_57471824	101.374688282528	-0.0143992023438993	0.907209688719509	0.979543692196048	Intron (ENSMUST00000029380/ENSMUSG00000027803, intron 4 of 6)	3	57425314	57441677	16364	1	ENSMUST00000029377	44533	ENSMUSG00000027801	ENSMUSG00000027801
chr3	66326378	66326984	3_66326378_66326984	27.2226000031859	0.0342353217795031	0.708633621897028	0.926419485489395	Distal Intergenic	3	66053561	66296837	243277	2	ENSMUST00000029419	-29542	ENSMUSG00000027831	ENSMUSG00000027831
chr3	133310384	133311671	3_133310384_133311671	59.5108509582343	0.0547838136262978	0.642288037372687	0.901983338071374	Promoter (<=1kb)	3	133310482	133370447	59966	1	ENSMUST00000153387	0	ENSMUSG00000028013	ENSMUSG00000028013
chr3	133092028	133092308	3_133092028_133092308	24.2274272140045	-0.103209217286066	0.298330455111415	0.72039816791069	Promoter (<=1kb)	3	132982772	133092033	109262	2	ENSMUST00000080583	0	ENSMUSG00000028018	ENSMUSG00000028018
chr3	84813751	84814784	3_84813751_84814784	41.9950630864399	0.122834767763382	0.298928669897003	0.720851981982326	Promoter (<=1kb)	3	84815268	84979198	163931	1	ENSMUST00000107679	-484	ENSMUSG00000028086	ENSMUSG00000028086
chr3	155092830	155094049	3_155092830_155094049	75.1685311567905	0.0760230195441729	0.555353184633281	0.867322158066827	Promoter (<=1kb)	3	155093434	155194278	100845	1	ENSMUST00000029833	0	ENSMUSG00000028182	ENSMUSG00000028182
chr4	17852315	17854665	4_17852315_17854665	165.615778774516	0.141448562919669	0.324821888213254	0.737326036800853	Promoter (<=1kb)	4	17852893	18117457	264565	1	ENSMUST00000124753	0	ENSMUSG00000028226	ENSMUSG00000028226
chr4	25167353	25167715	4_25167353_25167715	15.7523440649406	0.0504602037159936	0.532717961612507	0.85770990948054	Intron (ENSMUST00000124792/ENSMUSG00000085885, intron 2 of 4)	4	25199908	25242876	42969	2	ENSMUST00000029922	75161	ENSMUSG00000028259	ENSMUSG00000028259
chr4	59804933	59807679	4_59804933_59807679	112.59985990453	0.109004440648656	0.436171853322315	0.8073915382078	Promoter (<=1kb)	4	59805840	59904737	98898	1	ENSMUST00000030080	0	ENSMUSG00000028385	ENSMUSG00000028385
chr4	40721393	40723864	4_40721393_40723864	248.825928854285	0.078558462424173	0.556148143253828	0.867322158066827	Promoter (<=1kb)	4	40722150	40723795	1646	1	ENSMUST00000139406	0	ENSMUSG00000028410	ENSMUSG00000028410
chr4	97925281	97925528	4_97925281_97925528	20.7334205609911	-0.0321860143283851	0.712593331882918	0.927299548292503	Intron (ENSMUST00000152023/ENSMUSG00000028565, intron 2 of 3)	4	97911033	98042595	131563	1	ENSMUST00000133011	14249	ENSMUSG00000028565	ENSMUSG00000028565
chr4	119968483	119968693	4_119968483_119968693	23.6307369006364	0.0690502682323146	0.451103333968588	0.815667723595235	Intron (ENSMUST00000143837/ENSMUSG00000028634, intron 1 of 1)	4	120094489	120134557	40069	1	ENSMUST00000166542	-125796	ENSMUSG00000028634	ENSMUSG00000028634
chr4	139352358	139353095	4_139352358_139353095	63.3086739806507	-0.00243196769113407	0.981623067339287	0.995905083776881	Promoter (<=1kb)	4	139347435	139352576	5142	2	ENSMUST00000102503	0	ENSMUSG00000028741	ENSMUSG00000028741
chr4	124741932	124742392	4_124741932_124742392	37.9774718414279	0.0785069479610098	0.486334376644332	0.834242279493782	Promoter (<=1kb)	4	124741878	124751441	9564	1	ENSMUST00000154229	55	ENSMUSG00000028894	ENSMUSG00000028894
chr4	141244089	141244321	4_141244089_141244321	15.3708365019086	0.0100717345049925	0.894631814333857	0.976819048536628	Promoter (1-2kb)	4	141245425	141246329	905	1	ENSMUST00000135623	-1104	ENSMUSG00000028919	ENSMUSG00000028919
chr4	148037852	148040814	4_148037852_148040814	202.101591796148	-0.0938838056159043	0.496726217494056	0.839144645756774	Promoter (<=1kb)	4	148039077	148056206	17130	1	ENSMUST00000097788	0	ENSMUSG00000029009	ENSMUSG00000029009
chr4	154160365	154161382	4_154160365_154161382	50.2057426333757	0.00119112152093297	0.994235966024326	0.998684905659651	Promoter (<=1kb)	4	154157485	154160666	3182	2	ENSMUST00000030896	0	ENSMUSG00000029030	ENSMUSG00000029030
chr5	38219789	38220661	5_38219789_38220661	42.7077751545324	-0.00557905875424009	0.956935927155751	0.990843131033152	Promoter (<=1kb)	5	38200079	38220457	20379	2	ENSMUST00000094833	0	ENSMUSG00000029127	ENSMUSG00000029127
chr5	86064475	86066648	5_86064475_86066648	93.1793532476546	0.121046782455396	0.37802277028873	0.773574968818471	Promoter (<=1kb)	5	86012043	86065583	53541	2	ENSMUST00000031170	0	ENSMUSG00000029253	ENSMUSG00000029253
chr5	112325786	112326204	5_112325786_112326204	25.4459929265525	0.0847493219145057	0.38815969912977	0.781103599974249	Promoter (<=1kb)	5	112326358	112338073	11716	1	ENSMUST00000031288	-154	ENSMUSG00000029345	ENSMUSG00000029345
chr5	92503593	92506434	5_92503593_92506434	202.356073953843	0.0505640640681394	0.711537041198481	0.927271721507099	Promoter (<=1kb)	5	92443873	92505608	61736	2	ENSMUST00000031377	0	ENSMUSG00000029426	ENSMUSG00000029426
chr5	122613765	122614763	5_122613765_122614763	43.9681640268359	0.0672461126825577	0.536058003701396	0.858725420693595	Promoter (<=1kb)	5	122550204	122614518	64315	2	ENSMUST00000031426	0	ENSMUSG00000029469	ENSMUSG00000029469
chr5	140607593	140608650	5_140607593_140608650	69.3308404109988	0.0846850072035885	0.517399140184847	0.850596064977843	Promoter (<=1kb)	5	140607341	140615543	8203	1	ENSMUST00000031555	253	ENSMUSG00000029570	ENSMUSG00000029570
chr6	29767625	29769630	6_29767625_29769630	107.536343823706	-0.0153196632974151	0.904495212486905	0.978673924620903	Promoter (<=1kb)	6	29768011	29768727	717	1	ENSMUST00000136031	0	ENSMUSG00000029772	ENSMUSG00000029772
chr6	86095814	86096146	6_86095814_86096146	7.6716016405433	-0.0791549289681594	0.162820773698631	NA	Intron (ENSMUST00000032069/ENSMUSG00000030000, intron 6 of 15)	6	86078084	86119555	41472	1	ENSMUST00000032069	17731	ENSMUSG00000030000	ENSMUSG00000030000
chr6	85452498	85452958	6_85452498_85452958	14.3027691904895	-0.0657322403219972	0.394368601178386	0.783706515103334	Promoter (<=1kb)	6	85446938	85451970	5033	2	ENSMUST00000126805	-529	ENSMUSG00000030008	ENSMUSG00000030008
chr6	97304342	97304820	6_97304342_97304820	6.33985094247984	-0.0359212093945263	0.492299512072355	NA	Intron (ENSMUST00000113355/ENSMUSG00000030064, intron 18 of 23)	6	97307828	97308685	858	2	ENSMUST00000135077	3865	ENSMUSG00000030064	ENSMUSG00000030064
chr6	121407979	121408723	6_121407979_121408723	24.4285133049625	-0.0503292953222655	0.593451860295951	0.882170139852928	Exon (ENSMUST00000151397/ENSMUSG00000040797, exon 1 of 5)	6	121358965	121363856	4892	1	ENSMUST00000170339	49015	ENSMUSG00000030109	ENSMUSG00000030109
chr6	122267950	122269585	6_122267950_122269585	70.9311740857786	-0.227102102174069	0.134705670782331	0.544963270074962	Downstream (1-2kb)	6	122270596	122282882	12287	2	ENSMUST00000032207	13297	ENSMUSG00000030114	ENSMUSG00000030114
chr6	134565829	134567751	6_134565829_134567751	151.877657559354	0.158934580088333	0.276050443738287	0.703160832756387	Promoter (<=1kb)	6	134446476	134566913	120438	2	ENSMUST00000032322	0	ENSMUSG00000030201	ENSMUSG00000030201
chr6	137169262	137170394	6_137169262_137170394	64.2692371780911	0.0344090046120042	0.783815538343819	0.946969618503051	Promoter (<=1kb)	6	137054831	137169732	114902	2	ENSMUST00000117919	0	ENSMUSG00000030222	ENSMUSG00000030222
chr6	140620203	140621654	6_140620203_140621654	62.8054318945573	0.0194679948716818	0.871092030708708	0.970213338767714	Promoter (<=1kb)	6	140622449	140653795	31347	1	ENSMUST00000032359	-795	ENSMUSG00000030232	ENSMUSG00000030232
chr6	112929031	112930520	6_112929031_112930520	76.3317046731561	0.2134103851355	0.14466101137001	0.561794969097427	Intron (ENSMUST00000088373/ENSMUSG00000030257, intron 1 of 21)	6	112717974	112946754	228781	2	ENSMUST00000113169	16234	ENSMUSG00000030257	ENSMUSG00000030257
chr6	146342657	146344140	6_146342657_146344140	66.5041580174873	-0.065297778156178	0.60896955937276	0.887864919169403	Intron (ENSMUST00000053273/ENSMUSG00000030287, intron 26 of 56)	6	146290486	146294284	3799	2	ENSMUST00000144557	-48374	ENSMUSG00000030287	ENSMUSG00000030287
chr7	19282716	19283145	7_19282716_19283145	43.7538361366451	0.11356966500017	0.349797929405526	0.756537920693631	Promoter (<=1kb)	7	19282662	19296164	13503	1	ENSMUST00000032559	55	ENSMUSG00000030401	ENSMUSG00000030401
chr7	34606441	34606730	7_34606441_34606730	18.2609858013539	0.0141938775676216	0.865291643176808	0.968886637978394	Distal Intergenic	7	34639015	34652837	13823	2	ENSMUST00000108070	46107	ENSMUSG00000030499	ENSMUSG00000030499
chr7	64685936	64686793	7_64685936_64686793	23.6628187996196	-0.0404484238333602	0.637779049341428	0.900399331865829	Intron (ENSMUST00000032732/ENSMUSG00000030519, intron 3 of 14)	7	64635031	64753858	118828	1	ENSMUST00000107507	50906	ENSMUSG00000030519	ENSMUSG00000030519
chr7	87186210	87187382	7_87186210_87187382	37.288385414328	-0.0163826787607113	0.865839596035305	0.968988385013934	Distal Intergenic	7	87246096	87304866	58771	1	ENSMUST00000124057	-58714	ENSMUSG00000030562	ENSMUSG00000030562
chr7	29343145	29343366	7_29343145_29343366	16.7088926108413	-0.0278839356716183	0.718963391468333	0.927861911123515	Intron (ENSMUST00000085809/ENSMUSG00000030583, intron 16 of 22)	7	29314143	29316563	2421	1	ENSMUST00000128145	29003	ENSMUSG00000030584	ENSMUSG00000030584
chr7	117382797	117383051	7_117382797_117383051	7.5620190463927	0.0572035958345015	0.297231493822128	NA	Promoter (1-2kb)	7	117380979	117667751	286773	1	ENSMUST00000032892	1819	ENSMUSG00000030657	ENSMUSG00000030657
chr7	117587648	117588487	7_117587648_117588487	23.6368610199416	0.0477376332346279	0.614792853750696	0.88975299082699	Intron (ENSMUST00000160035/ENSMUSG00000030657, intron 3 of 6)	7	117475492	117549359	73868	1	ENSMUST00000161889	112157	ENSMUSG00000030657	ENSMUSG00000030657
chr7	100606988	100609416	7_100606988_100609416	154.817855032276	0.00499861474388359	0.972169205705857	0.994004548823108	Promoter (<=1kb)	7	100607410	100641268	33859	1	ENSMUST00000107048	0	ENSMUSG00000030704	ENSMUSG00000030704
chr7	45570493	45570776	7_45570493_45570776	23.5612323857672	0.0197657030960298	0.83546888444652	0.96109021786111	Promoter (<=1kb)	7	45570373	45589710	19338	1	ENSMUST00000120864	121	ENSMUSG00000030826	ENSMUSG00000030826
chr8	12915326	12917303	8_12915326_12917303	149.889145599925	0.0548355678162523	0.686000671045182	0.919250060503515	Promoter (<=1kb)	8	12915893	13020509	104617	1	ENSMUST00000110876	0	ENSMUSG00000031442	ENSMUSG00000031442
chr8	25720144	25720731	8_25720144_25720731	50.7386577687268	0.106025677706472	0.396955660285115	0.785296589070021	Promoter (<=1kb)	8	25720382	25724883	4502	1	ENSMUST00000139120	0	ENSMUSG00000031570	ENSMUSG00000031570
chr8	45975407	45975659	8_45975407_45975659	16.9459473625965	0.00825528091376811	0.922305805305322	0.983360049848212	Promoter (<=1kb)	8	45975528	45996958	21431	1	ENSMUST00000034051	0	ENSMUSG00000031634	ENSMUSG00000031634
chr8	60656722	60657328	8_60656722_60657328	8.55434638817753	-0.0548484532841257	0.368669591835292	NA	Promoter (1-2kb)	8	60655540	60672362	16823	1	ENSMUST00000034066	1183	ENSMUSG00000031647	ENSMUSG00000031647
chr8	83593689	83595076	8_83593689_83595076	96.9067002920499	0.0315274924448456	0.814168096222689	0.954589533838602	Promoter (<=1kb)	8	83571700	83594429	22730	2	ENSMUST00000163837	0	ENSMUSG00000031708	ENSMUSG00000031708
chr8	71674150	71676739	8_71674150_71676739	109.769171432828	-0.106450637089124	0.44265241005698	0.811199462780936	Promoter (<=1kb)	8	71676296	71688556	12261	1	ENSMUST00000110013	0	ENSMUSG00000031805	ENSMUSG00000031805
chr8	70791528	70793967	8_70791528_70793967	132.204394006305	0.0635227284808402	0.639357388398221	0.90072475107293	Promoter (<=1kb)	8	70778117	70792433	14317	2	ENSMUST00000166004	0	ENSMUSG00000031833	ENSMUSG00000031833
chr8	111876117	111876368	8_111876117_111876368	9.84902938934056	-0.0659974676735804	0.30635617824029	NA	Promoter (<=1kb)	8	111864898	111876675	11778	2	ENSMUST00000034431	307	ENSMUSG00000031953	ENSMUSG00000031953
chr8	124721155	124722603	8_124721155_124722603	67.6827321611237	0.0103823068141575	0.936006115370355	0.98666913153985	Promoter (<=1kb)	8	124722139	124734123	11985	1	ENSMUST00000034463	0	ENSMUSG00000031982	ENSMUSG00000031982
chr9	35199262	35199864	9_35199262_35199864	24.3263265844354	0.0612190106318363	0.514017327681279	0.848507812042621	Promoter (<=1kb)	9	35191037	35199499	8463	2	ENSMUST00000177052	0	ENSMUSG00000032041	ENSMUSG00000032041
chr2	150903428	150905203	2_150903428_150905203	98.1800953609771	-0.0746965587377447	0.579726052006993	0.877235213863799	Promoter (<=1kb)	2	150832493	150904741	72249	2	ENSMUST00000056149	0	ENSMUSG00000032046	ENSMUSG00000032046
chr9	48687513	48687935	9_48687513_48687935	18.7104813154303	-0.112768932886803	0.163710493062687	0.584270521662306	Intron (ENSMUST00000093852/ENSMUSG00000066687, intron 4 of 6)	9	48591877	48605153	13277	2	ENSMUST00000119426	-82361	ENSMUSG00000032271	ENSMUSG00000032271
chr9	59577465	59577843	9_59577465_59577843	19.2278844880507	-0.0879509387680168	0.325834228091842	0.738140146335012	Promoter (<=1kb)	9	59577917	59607292	29376	1	ENSMUST00000143916	-74	ENSMUSG00000032297	ENSMUSG00000032297
chr9	77749524	77752140	9_77749524_77752140	192.36001448826	-0.100259887815577	0.471119896830507	0.826474587365706	Promoter (2-3kb)	9	77754535	77794485	39951	1	ENSMUST00000034905	-2395	ENSMUSG00000032350	ENSMUSG00000032350
chr9	66707364	66709710	9_66707364_66709710	165.545577960047	0.230601474170734	0.138199368415976	0.549504354626527	Distal Intergenic	9	66713686	66766845	53160	1	ENSMUST00000071889	-3976	ENSMUSG00000032373	ENSMUSG00000032373
chr9	98563396	98564299	9_98563396_98564299	46.5320166678675	0.0383033238582046	0.742857192013442	0.935621498259189	Promoter (<=1kb)	9	98563731	98588375	24645	1	ENSMUST00000035033	0	ENSMUSG00000032458	ENSMUSG00000032458
chr9	109875623	109875904	9_109875623_109875904	13.4097678983888	-0.0195304508510132	0.789387093767556	0.948446789000725	Promoter (<=1kb)	9	109875579	109893888	18310	1	ENSMUST00000094324	45	ENSMUSG00000032477	ENSMUSG00000032477
chr9	108002043	108003638	9_108002043_108003638	129.053981827584	-0.00942312708640787	0.942077206286312	0.988094614168087	Promoter (<=1kb)	9	108002501	108048780	46280	1	ENSMUST00000035214	0	ENSMUSG00000032594	ENSMUSG00000032594
chr6	134897557	134899225	6_134897557_134899225	150.985414225267	0.060429897316702	0.657088338498265	0.907107157332317	Promoter (<=1kb)	6	134869093	134897815	28723	2	ENSMUST00000165392	0	ENSMUSG00000032641	ENSMUSG00000032641
chr3	104510477	104511870	3_104510477_104511870	73.005247031048	0.126470873283094	0.346452206373129	0.754411621869955	Promoter (<=1kb)	3	104453984	104511856	57873	2	ENSMUST00000046316	0	ENSMUSG00000032913	ENSMUSG00000032913
chr2	150608210	150608977	2_150608210_150608977	37.1563219387344	-0.0830304037700083	0.452708346362913	0.816583669831967	Promoter (<=1kb)	2	150583080	150608567	25488	2	ENSMUST00000046399	0	ENSMUSG00000033096	ENSMUSG00000033096
chr3	116966623	116969478	3_116966623_116969478	114.543803396137	-0.0679283587547825	0.616726457242151	0.890666271314211	Promoter (<=1kb)	3	116918256	116968987	50732	2	ENSMUST00000040097	0	ENSMUSG00000033377	ENSMUSG00000033377
chr15	77304510	77304761	15_77304510_77304761	6.78103374760006	0.022550699423056	0.683746699809353	NA	Promoter (2-3kb)	15	77078990	77307053	228064	2	ENSMUST00000048145	2292	ENSMUSG00000033565	ENSMUSG00000033565
chr15	76790581	76791164	15_76790581_76791164	30.2546278933357	0.0942909324208169	0.334872993487992	0.745043644229798	Intron (ENSMUST00000036176/ENSMUSG00000033697, intron 1 of 11)	15	76751677	76794825	43149	2	ENSMUST00000176855	3661	ENSMUSG00000033697	ENSMUSG00000033697
chr6	85296392	85296900	6_85296392_85296900	6.43995918283511	0.00414109708102915	0.942183622436836	NA	Intron (ENSMUST00000045846/ENSMUSG00000033720, intron 3 of 13)	6	85299085	85320398	21314	2	ENSMUST00000138489	23498	ENSMUSG00000033720	ENSMUSG00000033720
chr1	4857165	4858887	1_4857165_4858887	115.716001856026	0.0656368119841275	0.630651063983052	0.897519290157338	Promoter (<=1kb)	1	4857814	4897905	40092	1	ENSMUST00000081551	0	ENSMUSG00000033813	ENSMUSG00000033813
chr11	103953795	103954013	11_103953795_103954013	18.3829813714133	-0.00168129849485131	0.979452655081631	0.995905083776881	Promoter (<=1kb)	11	103880518	103954024	73507	2	ENSMUST00000145126	11	ENSMUSG00000034187	ENSMUSG00000034187
chr6	91516252	91516517	6_91516252_91516517	15.7633831168525	0.112657690398567	0.175048041982851	0.596933832116788	Promoter (<=1kb)	6	91516047	91517481	1435	1	ENSMUST00000123569	206	ENSMUSG00000034192	ENSMUSG00000034192
chr6	113098965	113100706	6_113098965_113100706	89.254710550166	-0.0790499415999399	0.55229361630446	0.865649350812733	Intron (ENSMUST00000143998/ENSMUSG00000034269, intron 1 of 2)	6	113104935	113138275	33341	1	ENSMUST00000153513	-4229	ENSMUSG00000034269	ENSMUSG00000034269
chr11	3648234	3649929	11_3648234_3649929	130.752259068952	0.0631509492992092	0.64373363835387	0.902533814605226	Promoter (<=1kb)	11	3649494	3690370	40877	1	ENSMUST00000093389	0	ENSMUSG00000034543	ENSMUSG00000034543
chr12	71836840	71837036	12_71836840_71837036	10.5609221166646	0.103565155091946	0.0649058292980395	NA	Intron (ENSMUST00000085299/ENSMUSG00000034574, intron 1 of 25)	12	71831078	71992367	161290	1	ENSMUST00000085299	5763	ENSMUSG00000034574	ENSMUSG00000034574
