ensmbl	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol
ENSMUSG00000036835	1133,450364	0,080616782	0,107909022	0,116147521	0,563676004	Psenen
ENSMUSG00000005501	367,2527265	0,075306895	0,112253267	0,116454427	0,56395491	Usp40
ENSMUSG00000014852	161,4924769	-0,065232684	0,11106129	0,116280842	0,56395491	Adamts13
ENSMUSG00000021939	17181,74561	0,07558475	0,097823464	0,116471352	0,56395491	Ctsb
ENSMUSG00000029161	1052,361211	0,036692376	0,099566292	0,116471226	0,56395491	Cgref1
ENSMUSG00000031434	366,0205359	0,044025771	0,102641782	0,116350016	0,56395491	Morc4
ENSMUSG00000031758	307,4266027	0,062765605	0,110628736	0,116509813	0,56395491	Cdyl2
ENSMUSG00000073436	953,10994	-0,082491255	0,110449223	0,116494474	0,56395491	Eme2
ENSMUSG00000085244	21,4721957	-0,018328121	0,093911602	0,116267558	0,56395491	Spag17os
ENSMUSG00000093629	20,37234033	-0,025621795	0,095743957	0,11645344	0,56395491	Prox2os
ENSMUSG00000025790	2417,729625	-0,05586512	0,107221772	0,116581742	0,563975187	Slco3a1
ENSMUSG00000032338	1840,287964	0,072246707	0,113136685	0,116567708	0,563975187	Hcn4
ENSMUSG00000027217	12625,35688	-0,037617352	0,099892664	0,116618628	0,563989767	Tspan18
ENSMUSG00000026632	310,7887825	-0,069812726	0,112030128	0,116746203	0,564442809	Tatdn3
ENSMUSG00000018796	2976,567878	-0,085564309	0,085366279	0,116814292	0,564608063	Acsl1
ENSMUSG00000087633	34,60523906	0,035014187	0,098870067	0,117184086	0,566231054	RP23-228E2.10
ENSMUSG00000017386	1580,16162	-0,080820035	0,110579771	0,117298953	0,56662166	Traf4
ENSMUSG00000032355	594,6425594	0,035545537	0,099023524	0,117407099	0,566979583	Mlip
ENSMUSG00000029575	3086,403996	-0,069906017	0,112162645	0,117609646	0,567628469	Mmab
ENSMUSG00000029840	22923,48488	-0,057324178	0,10814822	0,117588082	0,567628469	Mtpn
ENSMUSG00000026483	87,79969372	0,048964121	0,104643404	0,117647627	0,567647244	Fam129a
ENSMUSG00000015112	17,02900329	0,021456013	0,094610517	0,118267444	0,567922843	Slc25a13
ENSMUSG00000019139	289,4071254	0,033804256	0,098468778	0,117879123	0,567922843	Isyna1
ENSMUSG00000020323	71,22115977	0,037217662	0,099712763	0,118514389	0,567922843	Prss57
ENSMUSG00000021550	174,6785929	0,063722696	0,110518136	0,118348538	0,567922843	RP24-194D17.3
ENSMUSG00000023020	2134,078989	0,085828032	0,086395539	0,118791309	0,567922843	Cox14
ENSMUSG00000024501	112296,6451	-0,059271427	0,104635426	0,118368074	0,567922843	Dpysl3
ENSMUSG00000024691	145,7127931	0,037188319	0,099701524	0,119021624	0,567922843	Fam111a
ENSMUSG00000026571	4259,540613	-0,082954725	0,112110464	0,118214424	0,567922843	Dcaf6
ENSMUSG00000028675	2302,344574	0,085277978	0,100628671	0,118326847	0,567922843	Pnrc2
ENSMUSG00000029120	25132,55719	-0,065924159	0,110786104	0,119023524	0,567922843	Ppp2r2c
ENSMUSG00000029122	101,5560927	0,039172151	0,100501517	0,118233909	0,567922843	Evc
ENSMUSG00000030527	955,5090747	0,067293692	0,110570053	0,117762751	0,567922843	Crtc3
ENSMUSG00000030911	42,79355331	-0,025139647	0,095594005	0,118338304	0,567922843	Zp2
ENSMUSG00000031438	1683,577642	0,068377139	0,111924777	0,117956709	0,567922843	Rnf128
ENSMUSG00000032322	46,85100512	0,044248217	0,102476681	0,118912216	0,567922843	Pstpip1
ENSMUSG00000032375	2571,680364	-0,064916593	0,110994587	0,118180388	0,567922843	Aph1b
ENSMUSG00000032875	5648,970791	-0,059752993	0,105718923	0,118259548	0,567922843	Arhgef17
ENSMUSG00000033918	923,9292801	0,079104331	0,11020501	0,118786298	0,567922843	Parl
ENSMUSG00000037703	3453,613203	-0,083277591	0,106497206	0,117823663	0,567922843	Lzts3
ENSMUSG00000037907	8125,728025	-0,071390993	0,1123737	0,118459327	0,567922843	Ankrd13b
ENSMUSG00000037966	523,4780477	0,061045522	0,10966258	0,118030805	0,567922843	Ninj1
ENSMUSG00000038037	57,83533093	0,038589249	0,100254876	0,118689225	0,567922843	Socs1
ENSMUSG00000038178	2885,604649	0,083862238	0,107297904	0,119007004	0,567922843	Slc43a2
ENSMUSG00000039230	2960,758468	-0,085549433	0,088001449	0,118035067	0,567922843	Tbcd
ENSMUSG00000040280	15,50605589	0,022012078	0,094753486	0,118715321	0,567922843	Ndufa4l2
ENSMUSG00000043003	30,01060619	0,026719406	0,096061279	0,119032004	0,567922843	Rasef
ENSMUSG00000045751	37,43668183	0,027368899	0,096270881	0,118474875	0,567922843	Mms22l
ENSMUSG00000054150	34,19347524	0,020328715	0,09435501	0,118737994	0,567922843	Syne3
ENSMUSG00000057335	8852,366182	-0,079958971	0,074006344	0,119034936	0,567922843	Cep170
ENSMUSG00000057722	73,57401608	0,018381222	0,093929331	0,118540707	0,567922843	Lepr
ENSMUSG00000063146	8686,156406	-0,070923088	0,107687952	0,11847648	0,567922843	Clip2
ENSMUSG00000064363	42687,28939	-0,058340884	0,108434841	0,118645336	0,567922843	mt-Nd4
ENSMUSG00000066613	639,0849821	-0,056728028	0,10831306	0,117886437	0,567922843	Zfp932
ENSMUSG00000068323	80,30871097	0,018187198	0,093885521	0,11895394	0,567922843	Slc4a5
ENSMUSG00000070605	78,73466141	-0,048919648	0,104582323	0,117978813	0,567922843	RP24-320O9.1
ENSMUSG00000071573	63,91975	0,040180958	0,100886984	0,118947866	0,567922843	Rnls
ENSMUSG00000071753	768,7332382	-0,083210829	0,105615877	0,118610663	0,567922843	RP23-146D13.2
ENSMUSG00000079224	43,08586105	-0,032899631	0,098072992	0,11823353	0,567922843	RP24-114M8.2
ENSMUSG00000105419	18,7889585	0,020098258	0,094297912	0,118180531	0,567922843	RP23-218L17.2
ENSMUSG00000036672	1060,579386	0,086021966	0,099688299	0,119106041	0,568099308	Cenpt
ENSMUSG00000040560	10604,70131	-0,085523974	0,080517289	0,11918448	0,568227733	Wdr7
ENSMUSG00000071281	638,1605026	-0,06309728	0,110051446	0,119201217	0,568227733	Zfp65
ENSMUSG00000028899	694,2333451	0,084903003	0,103039458	0,119268396	0,568385249	Taf12
ENSMUSG00000039096	808,1865446	0,085619925	0,094105559	0,119347555	0,568599754	Rsad1
ENSMUSG00000069306	24,92620676	0,016091088	0,093456258	0,119433096	0,568844533	Hist1h4m
ENSMUSG00000015090	300,5318577	0,013775287	0,093063527	0,119485329	0,568930574	Ptgds
ENSMUSG00000020044	2425,744686	0,058743633	0,109643772	0,119887603	0,569103952	Timp3
ENSMUSG00000021264	2868,235645	-0,083929486	0,083274975	0,119737755	0,569103952	Yy1
ENSMUSG00000023495	5798,391798	-0,075914642	0,109934639	0,120050138	0,569103952	Pcbp4
ENSMUSG00000027422	2633,188656	0,029148268	0,096872391	0,119912747	0,569103952	Rrbp1
ENSMUSG00000028926	4810,217149	-0,044639572	0,102440674	0,119856369	0,569103952	Cdk14
ENSMUSG00000029001	2451,473495	-0,084287803	0,082603832	0,119972184	0,569103952	Fbxo44
ENSMUSG00000029466	1868,220991	0,085564692	0,094206113	0,119773456	0,569103952	Anapc7
ENSMUSG00000030539	506,4507267	-0,078740586	0,109192424	0,120026646	0,569103952	Sema4b
ENSMUSG00000031816	1543,942477	-0,085194166	0,086153838	0,11980477	0,569103952	Mthfsd
ENSMUSG00000038390	6768,219523	-0,077233158	0,110321198	0,119838061	0,569103952	Gpr162
ENSMUSG00000047843	773,9890912	0,061140404	0,10922866	0,119951959	0,569103952	Bri3
ENSMUSG00000048108	248,3016325	0,007841372	0,09230139	0,120035754	0,569103952	Tmem72
ENSMUSG00000057110	218,7477678	0,072736029	0,111742401	0,119613317	0,569103952	Cntrl
ENSMUSG00000063253	6479,723561	-0,051167236	0,100097563	0,120068596	0,569103952	Scoc
ENSMUSG00000104113	11,06978232	-0,021560001	0,094631701	0,119688269	0,569103952	RP24-427N13.6
ENSMUSG00000115441	25,6497668	-0,027098172	0,096147351	0,119802552	0,569103952	RP24-105K16.4
ENSMUSG00000025777	9671,555895	-0,063995507	0,099623638	0,120145281	0,569132313	Gdap1
ENSMUSG00000032939	1637,405382	0,036810997	0,09963622	0,120177119	0,569132313	Nup93
ENSMUSG00000079534	30,90318468	0,034824693	0,098767725	0,12017566	0,569132313	RP23-15J3.10
ENSMUSG00000074030	1626,573009	-0,085424252	0,08515071	0,120288918	0,569499793	Exoc8
ENSMUSG00000031137	23203,10854	-0,052787188	0,108346678	0,120362087	0,56952234	Fgf13
ENSMUSG00000041757	3099,863461	-0,055799575	0,107634598	0,120328939	0,56952234	Plekha6
ENSMUSG00000027287	229,9788122	0,050730642	0,105276409	0,120507785	0,56987164	Snap23
ENSMUSG00000030045	1192,6595	-0,085639086	0,096189647	0,120586633	0,56987164	Mrpl19
ENSMUSG00000036357	35,68423446	-0,021593431	0,094635537	0,120633139	0,56987164	Gpr101
ENSMUSG00000042190	14,9766373	0,025248355	0,09560114	0,120641255	0,56987164	Cmklr1
ENSMUSG00000042851	423,4604661	-0,081054263	0,106929464	0,120578998	0,56987164	Zc3h6
ENSMUSG00000066842	18,27515477	0,014399559	0,09314988	0,120607904	0,56987164	Hmcn1
ENSMUSG00000008140	10334,6987	0,096717267	0,105391902	0,120701715	0,569995534	Emc10
ENSMUSG00000022538	471,1798032	0,042032983	0,101608075	0,120748094	0,570052882	Lsg1
ENSMUSG00000045667	107,3924559	0,029080838	0,096783248	0,120804049	0,570089033	Smtnl2
ENSMUSG00000078812	16847,57027	-0,083710412	0,078792173	0,120824227	0,570089033	Eif5a
ENSMUSG00000069939	60,43247478	-0,033936841	0,09840437	0,120871607	0,570151027	RP23-227C11.1
ENSMUSG00000085307	20,46359648	0,012321441	0,092829099	0,121005324	0,57062012	RP23-353J21.8
ENSMUSG00000035754	3081,86317	-0,083571833	0,082782302	0,121044111	0,570641418	Wdr18
ENSMUSG00000028457	11,28046821	0,019776993	0,094204066	0,121152865	0,570780656	Atp8b5
ENSMUSG00000035623	2441,878959	-0,084197783	0,083588202	0,121148999	0,570780656	Rsf1
ENSMUSG00000065637	15,45616012	-0,021784151	0,094671255	0,121176483	0,570780656	Gm26397
ENSMUSG00000028864	29,13761834	0,018205102	0,093868669	0,121226535	0,570854932	Hgf
ENSMUSG00000002332	2617,418913	0,084677389	0,097872043	0,121342818	0,571044163	Dhrs1
ENSMUSG00000016386	1453,58763	-0,071806488	0,111264961	0,121433753	0,571044163	Mpped2
ENSMUSG00000029447	10861,75103	-0,08461607	0,088710219	0,121431205	0,571044163	Cct6a
ENSMUSG00000031201	1220,629772	-0,084617173	0,091191449	0,121595271	0,571044163	Brcc3
ENSMUSG00000031604	8215,008445	-0,085223942	0,094703986	0,121577677	0,571044163	Msmo1
ENSMUSG00000034832	4946,729473	-0,086720097	0,087365543	0,12160088	0,571044163	Tet3
ENSMUSG00000036181	1472,803491	0,028554527	0,096631808	0,121364989	0,571044163	Hist1h1c
ENSMUSG00000036242	1462,076155	-0,054176219	0,106324478	0,121667801	0,571044163	RP24-179D17.1
ENSMUSG00000040321	1663,368366	-0,073157313	0,110697415	0,121613506	0,571044163	Zfp770
ENSMUSG00000042010	60,89889648	0,041677332	0,101426123	0,121520781	0,571044163	Acacb
ENSMUSG00000067058	10,73020718	-0,019556308	0,094144259	0,121610004	0,571044163	Rps15a-ps5
ENSMUSG00000074039	12,5077025	0,023743093	0,095181318	0,121678259	0,571044163	RP24-180M2.2
ENSMUSG00000034981	2552,42738	0,076752806	0,110018451	0,121755005	0,571243331	Parm1
ENSMUSG00000040520	1518,030759	-0,0753156	0,10985447	0,121900433	0,571603525	Manea
ENSMUSG00000109771	83,81317301	-0,041357711	0,10120595	0,121878436	0,571603525	RP23-316L10.2
ENSMUSG00000035847	25091,61276	-0,065426524	0,110183737	0,121971559	0,571776022	Ids
ENSMUSG00000020042	449,0634958	-0,043745622	0,102156108	0,122040301	0,57189745	Btbd11
ENSMUSG00000027823	3723,617348	-0,071305247	0,110793686	0,122066154	0,57189745	Gmps
ENSMUSG00000021484	3426,910408	0,076666174	0,108304263	0,122101988	0,571904419	Lman2
ENSMUSG00000027223	22769,50602	-0,082074409	0,10424395	0,122155338	0,571993402	Mapk8ip1
ENSMUSG00000041560	2240,276183	0,059787534	0,109017453	0,122194261	0,572014799	Gltscr2
ENSMUSG00000115122	32,02119831	0,019828409	0,094217248	0,122257304	0,572149064	RP23-101E7.1
ENSMUSG00000020658	7131,902431	0,055126639	0,104590979	0,122421193	0,572594181	Efr3b
ENSMUSG00000031833	6560,726046	-0,04928623	0,104494743	0,122410179	0,572594181	Mast3
ENSMUSG00000020952	1690,090752	0,084739844	0,094378277	0,122489661	0,572601479	Scfd1
ENSMUSG00000048550	1284,814049	-0,074506118	0,112542413	0,122525918	0,572601479	Thnsl1
ENSMUSG00000078867	85,49658628	-0,030213189	0,097099701	0,122495038	0,572601479	RP23-67E6.3
ENSMUSG00000027488	712,3817015	0,076737688	0,109295423	0,122728564	0,573387577	Snta1
ENSMUSG00000022671	1109,152541	0,084095042	0,102042307	0,122840636	0,57342849	Mzt2
ENSMUSG00000040624	868,4498898	-0,035794861	0,099073018	0,122833355	0,57342849	Plekhg1
ENSMUSG00000097239	18,00169366	-0,023870005	0,095199343	0,122777789	0,57342849	RP23-124N11.3
ENSMUSG00000054693	3977,049898	-0,073302088	0,106361371	0,122890133	0,573498769	Adam10
ENSMUSG00000003200	2466,887142	0,082671064	0,105068306	0,123022123	0,573754432	Sh3gl1
ENSMUSG00000038121	1588,807101	-0,084298426	0,088377212	0,123021053	0,573754432	Fam210a
ENSMUSG00000097585	77,92125121	-0,037308385	0,099620655	0,12304829	0,573754432	RP24-88J19.1
ENSMUSG00000066798	1105,223197	-0,078226613	0,108049106	0,123083468	0,573757791	Zbtb6
ENSMUSG00000024006	983,8247754	-0,083285246	0,087450371	0,123190562	0,574096292	Stk38
ENSMUSG00000021069	71,16149164	0,049879287	0,10473386	0,123385318	0,574521514	Pygl
ENSMUSG00000032549	53961,38031	-0,097937004	0,119984613	0,123356981	0,574521514	Rab6b
ENSMUSG00000093661	657,3943932	-0,047672137	0,103775471	0,123368499	0,574521514	Eif4e3
ENSMUSG00000056854	84,17249438	-0,03261473	0,097902169	0,123425005	0,57454564	Pou3f4
ENSMUSG00000027220	2311,651545	-0,038229209	0,099999698	0,123527955	0,574864164	Syt13
ENSMUSG00000057842	61,71841282	-0,037352406	0,099616416	0,123649414	0,575268619	Zfp595
ENSMUSG00000038522	34,28420715	-0,029784407	0,09693923	0,123701264	0,575349091	RP23-345H24.2
ENSMUSG00000032180	310,927852	0,05469121	0,106723069	0,123780008	0,57555457	Tmed1
ENSMUSG00000103472	807,9837796	-0,084523764	0,097323698	0,12381468	0,575555063	Pcdhga7
ENSMUSG00000022210	80,14478785	0,038694029	0,100161096	0,124027122	0,575747466	Dhrs4
ENSMUSG00000031376	4599,181912	-0,061148007	0,108812457	0,123944996	0,575747466	Atp2b3
ENSMUSG00000037316	3039,22623	-0,065562387	0,109489981	0,124036454	0,575747466	Bag4
ENSMUSG00000038260	298,2621752	-0,050396033	0,104851067	0,124063534	0,575747466	Trpm4
ENSMUSG00000069874	29,1084581	0,020248251	0,094300354	0,12394669	0,575747466	Irgm2
ENSMUSG00000083669	58,64749821	-0,04661894	0,103292703	0,123974392	0,575747466	AC149283.3
ENSMUSG00000031590	846,7852415	0,084176076	0,094436356	0,124175673	0,575786446	Frg1
ENSMUSG00000034361	3271,619799	-0,049047812	0,10431999	0,124173267	0,575786446	Cpne2
ENSMUSG00000037579	2364,28133	-0,05235665	0,105645558	0,124162471	0,575786446	Kcnh3
ENSMUSG00000004462	581,5192804	-0,083324409	0,098047474	0,124212764	0,575798087	Tbccd1
ENSMUSG00000022973	15765,99644	-0,084325176	0,097332757	0,12431622	0,57611222	Synj1
ENSMUSG00000026875	35,8084035	0,021265856	0,094541092	0,124349728	0,57611222	Traf1
ENSMUSG00000038982	664,6299244	0,083730668	0,098797818	0,124465603	0,576488669	Bloc1s5
ENSMUSG00000067567	283,3124807	0,070734009	0,11118706	0,124503059	0,576501789	Hdac8
ENSMUSG00000060771	631,6839452	-0,072443046	0,109942441	0,124552025	0,576504113	Tsga10
ENSMUSG00000061390	21,23883962	-0,028841458	0,09662677	0,124572806	0,576504113	RP23-292F17.3
ENSMUSG00000001508	31,61894877	0,033835193	0,098308429	0,124677226	0,576770713	Sgca
ENSMUSG00000034906	73,01717261	0,035217229	0,098838722	0,124699692	0,576770713	Ncaph
ENSMUSG00000031627	501,7924218	0,080248837	0,105930561	0,124825634	0,576872505	Irf2
ENSMUSG00000038453	15249,67395	-0,088141485	0,109699509	0,124815126	0,576872505	Srcin1
ENSMUSG00000104346	1733,431853	-0,070796238	0,111314773	0,124769896	0,576872505	Pcdhga3
ENSMUSG00000004865	2338,012654	-0,083840924	0,094983283	0,124972391	0,577230313	Srpk1
ENSMUSG00000028923	917,371146	0,034836121	0,098682685	0,124964513	0,577230313	Necap2
ENSMUSG00000029267	818,4194899	-0,083606435	0,0929629	0,125042275	0,577392935	Mtf2
ENSMUSG00000024968	510,4619157	-0,028081748	0,096344956	0,125133929	0,577655963	Rcor2
ENSMUSG00000109829	87,8790617	-0,035704871	0,098965011	0,125254475	0,578052179	RP23-451A6.4
ENSMUSG00000026918	4489,988092	-0,083197147	0,088505935	0,125388929	0,578512348	Brd3
ENSMUSG00000030344	56,45476773	0,023569615	0,095104002	0,125536288	0,578711166	Akap3
ENSMUSG00000030465	39027,50156	-0,05388368	0,106121083	0,125531251	0,578711166	Psd3
ENSMUSG00000075289	151,1930669	0,05847014	0,107914314	0,125531395	0,578711166	Carns1
ENSMUSG00000031073	12,23565513	-0,007410933	0,092252519	0,125623295	0,578802598	Fgf15
ENSMUSG00000109274	21,72769296	-0,030477394	0,09713038	0,125625643	0,578802598	RP23-419K14.8
ENSMUSG00000033222	68,41084251	0,043756963	0,102121361	0,12576025	0,57909548	Ttf2
ENSMUSG00000040396	1775,92408	-0,078562335	0,102784362	0,125793547	0,57909548	Abhd13
ENSMUSG00000057715	3793,024225	-0,081884841	0,106067048	0,12576398	0,57909548	AC103635.1
ENSMUSG00000023019	333,3783044	-0,037510665	0,099643759	0,125944432	0,579500112	Gpd1
ENSMUSG00000028841	10,97330789	0,014295334	0,093120009	0,125951048	0,579500112	Cnksr1
ENSMUSG00000018451	2592,138892	-0,065033627	0,109007588	0,126046732	0,579780147	RP23-83I13.10
ENSMUSG00000000031	42,51337758	0,030530648	0,097175577	0,126329985	0,579780708	H19
ENSMUSG00000005583	3394,032306	0,033582858	0,098228986	0,126260515	0,579780708	Mef2c
ENSMUSG00000016495	434,5867389	0,071333897	0,10996373	0,12615471	0,579780708	Plgrkt
ENSMUSG00000022024	4059,373923	-0,086692116	0,088781237	0,126355623	0,579780708	Sugt1
ENSMUSG00000024608	8964,879073	0,082897098	0,084779253	0,126261175	0,579780708	Rps14
ENSMUSG00000030510	44,30133128	0,017785809	0,093765984	0,126327433	0,579780708	Cers3
ENSMUSG00000034098	2884,184091	-0,044210665	0,102344672	0,126405296	0,579780708	Fstl5
ENSMUSG00000035095	620,7340281	0,046110606	0,1026194	0,126198475	0,579780708	Fam167a
ENSMUSG00000036882	20291,44798	-0,054658123	0,10634213	0,126429869	0,579780708	Arhgap33
ENSMUSG00000053046	6346,603329	-0,078002905	0,107365922	0,126383451	0,579780708	Brsk2
ENSMUSG00000103473	51,70696256	-0,038272455	0,099889111	0,126250429	0,579780708	RP23-390C13.3
ENSMUSG00000044244	23,30330917	0,022634159	0,09486073	0,126487604	0,579885762	Il20rb
ENSMUSG00000064267	32,51997061	0,023913766	0,095191556	0,126656783	0,580341799	Hvcn1
ENSMUSG00000100078	38,72121158	-0,03646816	0,099189429	0,126633588	0,580341799	RP23-307G23.3
ENSMUSG00000023277	1164,039656	-0,083464697	0,091805342	0,126732231	0,580368091	Twf2
ENSMUSG00000108049	42,04944086	-0,032629222	0,097841233	0,126697521	0,580368091	RP23-226O20.9
ENSMUSG00000024725	868,1906024	0,074392749	0,108625086	0,126865173	0,580542522	Ostf1
ENSMUSG00000027381	297,8334025	0,035475387	0,098860696	0,126982677	0,580542522	Bcl2l11
ENSMUSG00000032000	21,55922973	0,025424201	0,095592034	0,126981129	0,580542522	Birc3
ENSMUSG00000032265	251,5557135	0,008081257	0,092318647	0,126824645	0,580542522	Fam46a
ENSMUSG00000032376	1102,801662	-0,084195882	0,097077675	0,126931392	0,580542522	Usp3
ENSMUSG00000049511	40,28937391	0,014392661	0,09313969	0,127014378	0,580542522	Htr1b
ENSMUSG00000108772	39,25568113	-0,037696296	0,099649687	0,126936276	0,580542522	RP23-402P24.7
ENSMUSG00000020048	15173,24932	0,03478514	0,098762908	0,127093358	0,580584775	Hsp90b1
ENSMUSG00000050640	3060,768442	-0,04118127	0,100962449	0,127088441	0,580584775	Tmem150c
ENSMUSG00000001774	2143,111029	-0,083204018	0,092282577	0,127213196	0,580819066	Chordc1
ENSMUSG00000021892	4511,747847	-0,052078942	0,105379496	0,127217665	0,580819066	Sh3bp5
ENSMUSG00000057134	1640,788324	-0,082299915	0,098205095	0,127249292	0,580819066	Ado
ENSMUSG00000015854	25,65466825	0,025913541	0,095736032	0,127322791	0,580898404	Cd5l
ENSMUSG00000079502	62,99541833	-0,032430219	0,097757248	0,127336447	0,580898404	Cfap77
ENSMUSG00000029875	1766,50124	0,062330043	0,109648159	0,127384393	0,580957962	Ccdc184
ENSMUSG00000031750	212,9372667	-0,022810143	0,094894703	0,127467724	0,581019729	Il34
ENSMUSG00000037993	1156,907349	0,082356424	0,099686189	0,127466178	0,581019729	Dhx38
ENSMUSG00000026239	1924,248426	0,08133264	0,085869053	0,12752479	0,581120767	Pde6d
ENSMUSG00000020859	12813,64139	-0,060274331	0,10809653	0,127613663	0,581286522	Spag9
ENSMUSG00000030731	2568,706298	-0,069806826	0,109865214	0,127630985	0,581286522	Syt3
ENSMUSG00000038459	2360,885944	-0,07509015	0,107097746	0,127683943	0,5813687	Abhd17c
ENSMUSG00000021265	833,7056158	-0,081869427	0,097124672	0,127758816	0,581391648	Slc25a29
ENSMUSG00000024826	1736,246813	0,051032079	0,105116355	0,127743632	0,581391648	Dpf2
ENSMUSG00000050071	2070,871509	0,053652549	0,103693824	0,127897492	0,581863699	Bex1
ENSMUSG00000011960	2222,182091	-0,080931165	0,100512906	0,128108194	0,582027158	Ccnt1
ENSMUSG00000024008	1317,514513	0,071156791	0,109169022	0,128089834	0,582027158	Cpne5
ENSMUSG00000036880	1792,899677	-0,052911499	0,105492564	0,128089994	0,582027158	Acaa2
ENSMUSG00000090124	11,99933734	0,01474734	0,093186782	0,128053084	0,582027158	Ugt1a7c
ENSMUSG00000116358	46,24353762	-0,029857232	0,096894411	0,128041187	0,582027158	RP23-278C10.11
ENSMUSG00000023027	217,4308719	0,068902771	0,109464762	0,128185553	0,58212252	Atf1
ENSMUSG00000051375	16410,1893	-0,057639789	0,108507425	0,128199104	0,58212252	Pcdh1
ENSMUSG00000063428	145,9584558	0,032929052	0,097943071	0,128298015	0,582254085	Ddo
ENSMUSG00000105837	19,35226204	-0,019789044	0,094159138	0,128273924	0,582254085	RP23-257P11.4
ENSMUSG00000028068	62,60702861	0,031384229	0,097421633	0,12844067	0,582742667	Iqgap3
ENSMUSG00000042320	14,90435934	0,025373885	0,095567461	0,128659626	0,583577072	Prox2
ENSMUSG00000054942	4613,855001	-0,055514534	0,106480513	0,128744075	0,583801087	Fam73a
ENSMUSG00000010307	666,9569071	0,035591156	0,098892607	0,128974368	0,584359466	Tmem86a
ENSMUSG00000021590	14,31272894	0,018059658	0,093800806	0,129123865	0,584359466	Spata9
ENSMUSG00000022812	16410,53549	-0,077997727	0,069496559	0,129044835	0,584359466	Gsk3b
ENSMUSG00000029146	3657,803778	0,075758339	0,099797168	0,129147969	0,584359466	Snx17
ENSMUSG00000049422	1023,446587	0,032081513	0,0978188	0,128970684	0,584359466	Chchd10
ENSMUSG00000051379	2303,086074	-0,040776446	0,100730288	0,129100352	0,584359466	Flrt3
ENSMUSG00000060924	1715,174906	-0,081606848	0,099557668	0,12890744	0,584359466	Csmd1
ENSMUSG00000071076	6670,6772	0,074065992	0,110596494	0,129054549	0,584359466	Jund
ENSMUSG00000025892	2430,876844	0,081712061	0,101406833	0,12923834	0,584450733	Gria4
ENSMUSG00000063919	2634,93211	-0,081098055	0,100211245	0,129232883	0,584450733	Srrm4
ENSMUSG00000041649	915,9746478	-0,06976221	0,10927538	0,129407655	0,585057523	Klf8
ENSMUSG00000030641	195,7427802	0,069830466	0,109252655	0,129463304	0,585150237	Ddias
ENSMUSG00000032238	410,5778158	0,073164027	0,108949613	0,129503792	0,585174392	Rora
ENSMUSG00000031872	859,989538	-0,05562261	0,106477631	0,129680727	0,585656029	Bean1
ENSMUSG00000074476	56,03486776	0,032003269	0,097599535	0,129677935	0,585656029	Spc24
ENSMUSG00000022961	10706,42628	-0,076102092	0,076198628	0,129923591	0,586169945	Son
ENSMUSG00000026650	140,0905872	0,057692025	0,106792919	0,129908012	0,586169945	Meig1
ENSMUSG00000027281	775,0126182	-0,053835603	0,105815037	0,130070964	0,586169945	Slx4ip
ENSMUSG00000031202	2996,656949	-0,078557513	0,108057627	0,129941608	0,586169945	Rab39b
ENSMUSG00000040511	496,1364907	0,037526507	0,099597322	0,129925059	0,586169945	Pvr
ENSMUSG00000048483	504,2506532	0,033937987	0,098271664	0,130073582	0,586169945	Zdhhc22
ENSMUSG00000050556	3326,435885	-0,081920567	0,092558321	0,130110084	0,586169945	Kcnb1
ENSMUSG00000055302	11098,44547	-0,078831848	0,083127055	0,129974802	0,586169945	Mrfap1
ENSMUSG00000086188	29,0086756	-0,028192324	0,096357067	0,130111352	0,586169945	RP23-60A1.6
ENSMUSG00000000794	951,6219311	-0,035846607	0,098904879	0,130523673	0,586392726	Kcnn3
ENSMUSG00000017723	235,5114416	0,010887113	0,092623945	0,130406098	0,586392726	Wfdc2
ENSMUSG00000020102	4087,924826	-0,047630042	0,10288648	0,130570351	0,586392726	Slc16a7
ENSMUSG00000022770	1705,474767	0,075618816	0,105051404	0,130411693	0,586392726	Dlg1
ENSMUSG00000027950	3437,760237	-0,080273329	0,093038454	0,13033173	0,586392726	Chrnb2
ENSMUSG00000032936	35015,25756	-0,055459352	0,109692913	0,130479714	0,586392726	Camkv
ENSMUSG00000041685	683,6806025	-0,080435946	0,102701539	0,130523302	0,586392726	Fcho2
ENSMUSG00000046994	893,9484542	-0,069720919	0,108918745	0,130583402	0,586392726	Mars2
ENSMUSG00000052934	5482,962103	-0,069995463	0,109021869	0,130471083	0,586392726	Fbxo31
ENSMUSG00000064370	128712,5629	-0,059202948	0,107457878	0,130271117	0,586392726	mt-Cytb
ENSMUSG00000085741	249,6276727	0,075800766	0,107347918	0,130408509	0,586392726	RP24-482A24.11
ENSMUSG00000106896	10,91256571	0,01888788	0,093953707	0,130508014	0,586392726	RP23-391P21.4
ENSMUSG00000027344	46,72874656	0,037632121	0,099568054	0,130787786	0,587152179	Fsip1
ENSMUSG00000027070	343,5735338	0,031606565	0,09745862	0,1310444	0,587703152	Lrp2
ENSMUSG00000034616	537,0247505	-0,066010669	0,108841918	0,131020116	0,587703152	Ssh3
ENSMUSG00000036564	66729,79118	-0,069898717	0,108620379	0,13103959	0,587703152	Ndrg4
ENSMUSG00000046567	737,5746463	-0,047826915	0,103463614	0,131086992	0,587703152	RP23-79J15.4
ENSMUSG00000096145	370,5474021	0,080118079	0,102365203	0,131067836	0,587703152	Vkorc1
