# GimmeMotifs version 0.16.1
# Input: /home/ia1014/gimmemotifs/output/shared_denovo/generated_background.gc.fa
# Motifs: /home/ia1014/gimmemotifs/output/shared_denovo/combined.pfm
# Scoring: GC frequency normalized z-score
	GimmeMotifs_1	GimmeMotifs_2	GimmeMotifs_3	GimmeMotifs_4	GimmeMotifs_5	GimmeMotifs_6	GimmeMotifs_7	GimmeMotifs_8	GimmeMotifs_9	GimmeMotifs_10	GimmeMotifs_11	GimmeMotifs_12	GimmeMotifs_13	GimmeMotifs_14	GimmeMotifs_15	GimmeMotifs_16	GimmeMotifs_17	GimmeMotifs_18	GimmeMotifs_19
chr4:115570000-115570200	0.039322	-0.814076	1.941450	0.259689	-0.457506	0.011317	-2.534157	0.477070	-1.242853	-0.112376	-0.205999	0.530752	-0.578112	0.125680	-1.169257	-1.239099	-0.639559	0.985830	1.268505
chr10:106399000-106399200	0.631881	0.230395	1.089752	-1.096061	-1.275516	0.565625	1.046420	-0.395576	-0.225633	0.395908	0.208787	0.424535	0.670339	-0.767276	-0.381328	1.910878	-0.178930	2.251351	0.393011
chrY:73227400-73227600	0.069577	-1.547213	2.485784	-0.318812	-1.270021	1.061011	-1.172650	-2.099164	0.491954	0.479954	0.256083	0.190370	0.154163	-0.767276	-0.407196	-0.135833	-0.080365	-1.121597	-1.030285
chrX:25354300-25354500	-0.534602	0.321413	-0.289904	-0.746040	0.218745	-1.747295	-1.227453	0.748923	0.036385	-0.172589	2.437114	0.627025	0.144380	0.125680	-0.782733	0.322558	-1.364050	1.365131	0.785563
chr19:10160000-10160200	-1.138885	-0.839800	-0.443166	-0.047933	0.543475	-0.079641	0.103036	-0.146316	-0.157284	0.040511	-0.104130	-0.896823	0.144380	-0.847984	-1.670577	0.322558	-1.287168	-1.542262	0.224860
chr1:38061500-38061700	0.552262	1.111336	0.933957	0.981601	0.894527	0.691343	-0.225420	-1.398815	0.728191	-0.987814	0.328926	1.134546	0.911605	0.125680	0.058534	0.403095	0.582036	0.788231	-0.610474
chr16:58560500-58560700	0.514835	1.891012	1.941450	1.164810	0.222808	1.925982	-0.908356	-0.341852	1.680338	1.887015	0.188167	0.825412	0.144380	1.352946	-0.614225	0.322558	1.829579	1.460965	0.508978
chr8:32424300-32424500	-1.715518	-0.589019	-0.685446	1.699615	-0.838256	-0.627890	-1.010873	-1.961880	-0.779833	-0.897734	-1.849133	0.452674	-0.404798	0.252481	-0.501387	0.322558	-0.105380	-0.166214	0.717669
chr4:97310400-97310600	0.027626	0.643206	-0.379491	-1.332268	-0.985996	-0.107475	-1.308322	-0.705509	-0.627190	1.641922	-0.104130	-2.420521	0.253300	1.352946	1.173376	0.322558	0.559924	-0.843438	0.598469
chrX:18699800-18700000	0.284356	1.046012	0.628002	0.228139	1.314179	-0.115783	-2.085453	-0.819209	0.464035	0.603062	-0.067702	1.152544	0.253507	0.252481	0.105368	0.322558	0.343305	-0.122587	0.404855
chr12:118716300-118716500	0.358551	-1.562951	-0.379491	-1.504819	-0.565396	-0.793708	0.150633	-1.644903	-0.327490	0.040511	-0.100461	1.344905	-0.404798	-0.847984	-0.643849	-1.319636	-1.020535	-0.173756	-2.018621
chr14:106433200-106433400	0.398051	-1.358049	-0.443166	0.126723	-0.583877	-1.359185	-0.215353	0.601319	-1.413742	-1.205228	0.086297	-0.590947	0.144380	1.226145	-0.302860	0.322558	0.942183	1.293818	-0.422636
chr13:83820600-83820800	0.807306	-0.490788	-0.177181	-0.083547	0.150234	0.012644	-0.125745	-0.331607	0.209246	-0.550246	2.081445	-0.116145	0.670339	1.528399	0.827433	0.257964	0.475266	0.022219	1.745807
chr14:89214400-89214600	-1.047128	-1.258923	-0.379491	-0.151887	1.135679	0.238430	-0.456658	-0.341852	0.464035	0.624682	-0.104130	-0.622347	0.362427	-0.974785	0.990158	0.322558	0.169149	-0.814149	0.076849
chr7:12255200-12255400	0.397705	-1.482355	0.870282	-0.746862	1.118242	-0.369467	-0.773734	0.287655	-0.948782	0.633084	0.001409	-0.744566	0.253507	-0.974785	0.634923	-1.611155	-0.647809	0.256715	-0.383367
chr5:92037500-92037700	-0.685391	0.674829	-0.487336	-0.762738	0.263130	1.896724	0.670856	0.496567	2.280101	-0.358335	0.355750	2.111093	0.670339	1.396139	-0.517028	0.172721	-0.430163	1.499646	3.065599
chr2:124419500-124419700	2.480165	1.310609	0.870282	2.293572	3.570126	-0.974010	-2.015972	1.098133	1.471337	0.109623	0.086297	-0.126718	0.253507	-0.974785	0.711971	0.322558	1.345282	-0.183241	1.948377
chr10:48949400-48949600	1.017822	1.048842	0.933957	0.318386	0.026448	-0.454583	0.905581	-0.987090	0.779405	-0.509741	-0.100461	-2.165150	0.911605	0.252481	-1.508174	0.322558	-0.803435	0.052298	1.349344
chr6:102136200-102136400	2.552645	0.158899	1.154301	0.093650	1.559117	-0.469064	-0.742290	0.401244	0.397210	1.697315	0.457183	0.816359	-0.101484	-0.767276	-0.917901	0.172721	0.915336	1.542643	-0.211214
chr2:162227100-162227300	-1.211815	-1.220624	1.089752	-0.500578	0.619061	1.227789	-1.247495	-0.109078	-0.628407	-1.241472	0.208787	-0.204897	-0.101484	-0.899536	-1.577388	0.172721	0.565699	-0.252227	-0.389408
chr8:21172600-21172800	0.646783	0.026491	0.628002	0.176558	0.526196	0.631860	-1.158813	0.829661	1.218085	-1.289390	-0.345041	0.066690	0.802684	0.252481	0.789652	0.403095	-0.749770	0.164573	0.290877
chr19:25752000-25752200	0.899286	0.055190	-0.379491	-0.796027	-0.667025	-0.347936	0.549430	-0.789576	0.854827	-0.062490	2.042948	-0.911190	0.144380	0.252481	0.553041	-1.319636	-0.383406	-0.672367	-1.080411
chr6:59023100-59023300	-1.565844	-1.168520	-0.685446	-1.031891	0.521978	-0.109842	1.631566	0.500761	-1.004331	-0.518144	-0.067702	1.068911	0.144380	1.226145	1.253710	0.322558	-0.482491	-1.223934	2.703281
chr10:31585500-31585700	0.191683	-1.390789	-1.603352	-0.411725	-0.463299	-0.109842	0.426096	-0.232214	1.384496	-0.667962	0.034168	-1.134845	0.253507	-0.974785	0.394719	-1.239099	0.057082	-0.898421	-0.212374
chr3:144061000-144061200	2.175327	0.466130	-0.685446	-0.980850	2.427374	0.412595	-1.291305	-0.584676	0.118647	0.312021	-0.522228	-1.010272	0.911605	-0.847984	2.054386	-1.319636	0.579963	-0.389602	-1.043876
chr3:30241300-30241500	-0.151902	-0.271396	-0.685446	-1.102522	-0.125347	2.217900	-1.613568	-0.267792	-0.365825	1.887015	2.335244	-0.131626	0.253507	0.125680	0.663499	1.673235	-1.762647	0.228166	1.399306
chr12:95133500-95133700	-0.912977	-0.650545	-0.443166	0.004799	0.699526	-0.467441	0.288279	-0.574632	-1.028193	-0.635837	0.034168	0.426681	-1.676675	-0.847984	2.124466	0.031040	-0.682735	-0.289318	0.685544
chr15:10290900-10291100	0.535226	-0.422297	2.336992	0.242166	-1.010991	-0.337137	0.013275	0.811696	0.036259	-0.954750	0.188167	-0.365612	-0.578112	0.252481	0.124580	-1.239099	0.694405	-0.474202	1.803031
chr9:113105600-113105800	-0.374584	-0.415721	-0.379491	-1.346671	-0.043736	0.955900	-0.304104	-0.633561	0.821535	-0.017777	-0.676227	-0.760933	0.802684	0.252481	0.633531	0.322558	0.490786	0.353449	-0.241693
chr18:73326000-73326200	-1.145256	-1.200130	-0.379491	-0.523001	-0.448192	0.152937	0.402324	-1.067371	0.368791	-0.349278	-0.331802	-1.521326	0.362427	0.125680	-0.613947	-1.319636	0.122876	-2.199121	-1.109090
chr17:29121100-29121300	0.481302	0.683205	2.183730	0.686746	1.032255	-0.736499	-0.397301	-0.833416	0.612994	-0.918049	-0.359998	-1.010272	0.802684	0.125680	0.921264	0.403095	-0.871379	-0.187692	0.451242
chr2:67904300-67904500	0.524777	-0.620187	-0.379491	-0.392176	-0.715601	-1.470033	-0.102382	-0.459165	0.158546	-0.120778	0.037837	1.925795	-1.236417	0.125680	0.068358	-1.239099	1.072641	0.140515	0.460506
chr13:69851500-69851700	2.301368	0.030149	-0.226229	1.814234	0.795634	1.735220	1.376000	1.241793	2.134785	-0.349278	1.726719	0.205886	0.253300	1.352946	0.412396	1.964753	0.199622	0.342426	0.904582
chr12:95169700-95169900	0.339733	0.217789	-1.353296	-1.424585	-1.314342	-0.729247	-0.816488	-1.555142	-0.459584	-0.638353	1.961043	-1.187434	0.670339	1.396139	0.813300	-1.480194	0.246801	-0.583449	-0.577009
chr2:56163100-56163300	-1.016123	-0.590294	-0.443166	-1.625523	-0.140143	0.715577	-0.318802	-1.455568	0.417761	-0.350504	-0.067702	0.862301	0.802684	-0.974785	0.274268	0.403095	-0.873723	1.289367	-0.162842
chr12:115277100-115277300	2.054023	1.184412	0.933957	-0.775629	-0.283025	0.305306	0.730197	-0.806417	1.529694	0.603062	0.328926	-0.110612	0.802684	0.252481	0.169627	-1.239099	-0.290951	0.124427	-1.555354
chr1:24055100-24055300	-0.551157	1.940817	1.941450	-1.119192	1.526377	-0.935184	0.159706	0.046532	0.239267	1.449137	2.335244	1.195069	0.362427	-0.847984	0.442294	-1.319636	2.394780	-0.045059	1.175494
chr12:15166600-15166800	-1.112822	-1.689706	0.870282	-1.531796	-0.074432	0.398091	0.390626	-1.258943	-0.331348	0.040511	0.034168	-1.588945	0.802684	-0.974785	0.134460	0.322558	0.511136	-0.690226	-1.706703
chr5:41087300-41087500	-1.172530	-0.832893	-1.603352	-0.267686	-0.703914	-0.328340	-0.369722	-0.134491	1.384496	-0.918049	0.034168	2.020209	0.802684	1.226145	-0.239849	0.322558	-0.765396	-0.700860	2.063748
chr11:111450700-111450900	0.429194	-1.733461	-0.443166	0.926580	0.792905	-1.663289	0.235226	-0.594696	-0.116258	1.330814	0.086297	-1.113701	0.362427	1.226145	-0.142462	0.322558	-0.153994	0.480103	0.590797
chr4:28622500-28622700	0.894665	-1.014972	-0.443166	-0.101581	-1.216398	0.908833	0.762070	1.350321	2.047945	-0.603267	-1.849133	1.671899	0.253300	-0.847984	-0.295404	0.322558	1.435618	-0.389602	1.195450
chr10:17082000-17082200	0.207285	-0.743400	0.870282	-0.096448	-0.090567	-1.425269	-0.459208	0.748923	-0.901994	0.495571	0.188167	-0.777611	0.802684	-0.847984	0.306604	0.403095	-1.397365	1.456514	1.032916
chr15:11728000-11728200	-1.285248	-0.414843	-0.241730	-0.386483	0.331065	-0.685628	1.437440	0.354040	0.796266	0.790184	0.076426	0.806677	0.798041	-0.767276	1.369449	0.172721	0.478987	0.354306	-0.556773
chr1:188599100-188599300	0.094194	-0.490966	-0.443166	-0.607051	0.761837	0.891969	-0.070611	-0.080767	0.237497	1.330814	-1.955242	-1.497896	0.253507	1.226145	1.145946	0.031040	-1.034221	1.890798	-0.662683
chr13:119232600-119232800	0.146132	-0.089382	-0.443166	0.062776	0.973221	0.305306	0.173522	0.341538	-0.559531	-0.120778	0.227056	-1.864504	0.362427	1.226145	1.461439	0.031040	-0.731211	1.183289	0.739234
chr10:128845600-128845800	0.009914	-0.142527	-0.443166	1.212457	0.833791	-0.115134	-0.197361	1.674903	0.425444	-0.152274	-0.676227	0.674502	-0.469192	0.125680	-1.519892	1.964753	-1.029430	0.302852	0.831524
chr11:106756800-106757000	0.809789	0.884686	2.247404	-1.010818	-0.212397	1.673510	2.188000	-1.080769	1.250917	0.040511	0.034168	0.907850	0.911605	0.125680	1.818558	0.322558	0.457235	2.291706	1.049910
chr17:70775000-70775200	0.519503	0.563030	0.844146	-0.550354	0.449847	0.404652	0.111102	-0.246140	0.629090	-0.320306	0.306284	1.099622	0.026460	0.248302	-0.907538	-1.480194	-0.265699	1.731417	0.044254
chrY:84004900-84005100	-1.308784	-1.159296	0.870282	-0.620456	-0.595388	0.723657	-1.482678	3.076290	0.554636	1.141555	1.990819	-2.165373	0.253507	0.125680	2.895380	0.322558	-0.728603	0.079323	0.813721
chrX:12401600-12401800	0.789588	-0.593751	2.175628	-0.298180	2.950295	0.746232	4.497335	0.325228	0.114303	-0.177421	-0.043976	1.106927	0.670339	0.248302	0.477558	0.257964	1.766644	-0.878559	1.171129
chr5:39161100-39161300	-0.781596	-0.908108	0.628002	-0.921908	-0.900780	-0.935184	1.553041	-1.172187	0.021670	1.449137	0.037837	-0.744131	-1.127290	0.125680	-0.271122	-1.319636	-1.731673	-0.747426	0.561945
chr10:44406000-44406200	-0.030111	-0.708531	0.628002	0.725077	-0.529740	1.673510	-0.847933	-0.982772	-0.735686	-0.557384	0.293706	0.276587	0.253507	-0.974785	-0.917801	0.031040	-1.247037	0.696089	1.052577
chr14:34637900-34638100	-0.364544	1.387666	-1.603352	1.834234	-0.629102	0.446633	-1.614895	0.057355	0.850478	0.285604	0.034168	-1.408682	0.911605	-0.847984	-0.316536	1.964753	-0.958153	0.268199	1.291557
chr5:150512400-150512600	0.372973	-1.011242	0.628002	-1.585082	-0.001034	-0.418343	0.518255	0.181517	0.239267	-0.112376	2.042948	0.217184	-1.018370	-0.974785	-0.448575	-1.319636	0.667140	-0.503504	0.692419
chr14:117411000-117411200	0.535363	0.470611	0.628002	-0.692255	0.131507	-0.068768	0.027722	-0.583206	-0.592363	0.682970	0.086297	-1.408677	0.253507	0.125680	-0.696891	0.322558	-0.305607	0.633510	0.838783
chr2:66188500-66188700	-0.507439	-1.492139	2.183730	0.741774	-0.747241	1.343938	-0.029225	-1.728376	-0.187331	1.538920	0.001409	0.630254	0.802684	0.125680	-0.356447	-1.239099	-0.683853	-0.999211	-1.000573
chr10:102927200-102927400	2.298295	-0.570148	-1.508663	-0.491955	-0.351250	-0.981943	-1.399043	-1.912022	0.491954	0.029068	0.026534	-0.468702	0.026218	-0.899536	-2.277393	0.172721	0.424874	0.015982	-0.577787
chr9:46046200-46046400	0.661012	-0.404072	-0.443166	0.501682	-0.501809	1.443301	-0.094348	-0.742423	0.108511	-0.641546	-0.676227	-0.216698	0.802684	-0.974785	1.144944	0.322558	-0.585058	-0.495680	-0.377661
chr5:98959800-98960000	2.312608	-0.064898	0.870282	1.748431	-0.570016	0.468373	-0.040005	1.101713	0.069091	-0.172589	-0.485801	0.087898	-0.469192	0.125680	0.966101	0.322558	1.217483	-1.195703	-1.697892
chr6:137121500-137121700	-1.117391	2.146223	-0.532183	-0.788060	-0.258113	0.438342	-1.214440	0.792288	-0.753929	2.284380	-0.046481	0.479342	-0.404798	0.252481	0.349272	0.031040	0.959088	-0.662827	-1.167678
chr16:52520000-52520200	-0.127914	0.114381	-0.443166	0.445517	-0.736885	-0.528505	-0.734211	-0.110526	0.031807	-1.105840	-2.021891	0.943499	0.144380	-0.974785	-0.535242	0.322558	0.116226	-0.456465	1.224378
chr4:150750700-150750900	-1.150243	-0.055995	-0.685446	0.833501	0.068802	-0.845367	1.102471	0.447882	-1.116574	-0.112376	0.191836	0.710464	0.802684	-0.847984	3.561508	1.964753	-0.647818	3.004886	0.912858
chrX:93186200-93186400	-0.273334	1.261688	-0.379491	-0.789652	-0.938919	-0.602547	-0.384125	2.256447	-1.029400	-0.062490	0.188167	1.473827	0.144380	-0.974785	0.372251	0.322558	-0.799004	0.172366	1.712158
chr6:73783800-73784000	1.982716	0.354732	0.870282	3.928052	0.193665	-0.070306	-0.677666	0.585401	0.739506	-0.172589	2.019015	0.453809	0.802684	0.125680	-0.634384	0.031040	1.089552	-1.396834	0.204481
chr5:86788400-86788600	-1.601988	0.351910	0.628002	2.049583	-0.013385	0.047272	-0.580522	-0.412012	2.080777	-1.026615	0.245816	0.918899	-0.578112	-1.948448	-1.084225	0.322558	-0.471685	0.985830	-1.222511
chr14:35394600-35394800	0.234917	0.884786	2.183730	-0.628551	-0.631662	2.411156	-0.484105	-0.174502	0.036385	0.285604	-0.205999	-1.238315	-0.469192	-0.847984	0.121898	0.031040	0.297018	0.235708	1.159299
chr17:75370300-75370500	-1.224432	0.892809	0.628002	-0.847938	-0.004006	-0.515086	0.626045	-0.624007	-0.023742	0.603062	0.188167	-0.105886	-3.356482	-0.974785	-0.395885	0.031040	0.181668	-0.545516	-0.721727
chr5:61455000-61455200	-0.727254	0.118349	-0.379491	-0.186759	1.441033	0.011317	-0.814985	-0.174977	-0.948810	2.284380	0.227056	-0.202267	-0.469192	0.125680	-0.269308	-1.319636	0.471729	-0.495680	-0.914002
chr14:123255100-123255300	-0.257388	1.015343	-1.603352	0.165239	-0.442312	-1.401717	0.555018	-0.459165	-0.540350	-0.433439	-0.172283	-1.654536	0.144380	1.226145	-0.766535	0.031040	0.130029	0.529939	-0.119085
chr4:12795800-12796000	0.390764	0.233400	-0.487336	-1.164229	-0.299967	0.355156	2.515624	-0.859113	0.884620	0.029068	0.656234	-0.387716	0.026460	-0.899536	-0.010034	0.172721	-0.966760	1.456971	0.900158
chr12:37750700-37750900	2.039553	-0.802123	-1.603352	-0.931491	1.539874	0.575497	0.216546	-1.386615	-1.653927	0.227316	-0.067702	1.862766	0.802684	0.125680	2.685927	0.403095	-0.158782	-0.382239	1.380525
chr10:45263500-45263700	-1.306385	-0.760655	-0.379491	-0.172969	2.297758	0.856936	-0.327344	1.560995	0.821535	-0.815048	-0.067702	0.181660	-0.469192	1.226145	0.438599	0.322558	-0.163187	-0.439439	0.096182
chr3:84390100-84390300	0.136371	0.491795	-0.443166	0.432476	-0.625541	-1.043008	-0.013104	-0.163404	-1.070636	-2.237248	-0.205999	-0.891024	0.144380	-0.974785	1.325980	-1.319636	-0.183560	-0.208520	0.243072
chr5:23230300-23230500	-0.105792	-1.092349	-0.443166	1.763706	-0.048611	0.398091	-1.048622	1.097884	-0.203098	-0.202159	-0.359998	-1.436656	0.802684	-0.847984	2.091615	1.964753	0.511136	-0.283525	0.229951
chr14:68754000-68754200	-0.184693	0.114381	-0.443166	-0.501213	-0.736885	-0.528505	-0.734211	-0.110526	-0.930351	-1.105840	0.227056	0.943499	0.144380	-0.974785	-0.535242	0.322558	0.116226	-0.456465	1.224378
chr3:138754600-138754800	2.529389	-0.067120	-1.603352	-0.882237	0.515720	-0.055123	-0.146866	-1.051582	2.134785	-0.152274	-0.089172	0.021902	0.362427	1.226145	0.106750	0.031040	-1.144251	0.256715	0.175241
chr3:147018500-147018700	0.455191	-1.062170	-0.241730	-0.583420	-0.107931	1.049796	1.699336	-1.205078	0.413785	0.798521	0.274931	-1.297329	0.026460	0.380562	2.113234	-1.480194	-0.885692	-1.144318	-0.558082
chr18:81969800-81970000	-1.330536	0.351393	-0.443166	-0.042232	-0.000010	-0.591749	-0.387615	-0.222170	-0.546469	0.040511	0.086297	1.393135	0.253507	0.252481	1.130457	0.322558	-0.296029	1.829606	1.053230
chr1:65452400-65452600	1.677544	0.265218	3.497177	-1.512801	-0.507105	-0.228529	-0.416722	1.414813	0.158086	-0.987814	-0.191042	-0.544910	0.253507	0.125680	1.092085	0.322558	-0.409838	-0.443213	1.020684
chr11:102711400-102711600	-0.392271	0.567466	-0.226229	-1.602706	1.070437	1.011682	-0.512438	1.818767	0.674183	-0.349278	-1.849133	-0.533956	-0.469192	0.125680	0.171688	0.322558	-0.298136	-1.068129	0.114949
chr19:34657800-34658000	-0.275296	1.684578	-0.177181	0.750331	-0.425423	0.942299	0.769850	-0.221375	-1.221217	-0.285922	0.356175	1.711879	0.670339	2.543977	-0.209452	0.257964	-0.740321	-0.583449	-0.083150
chr2:89678000-89678200	-1.186436	0.922166	-0.532183	-1.277165	-0.862962	1.028994	1.109508	-1.540567	-0.116258	0.703677	-0.624098	-0.082173	0.802684	-0.974785	1.305236	0.403095	-0.593429	2.006997	-0.235453
chrY:52203300-52203500	0.384619	-0.181028	-0.685446	-0.606443	0.892945	-0.626782	0.662511	-0.352344	0.937192	-0.142398	-1.862372	-1.189955	-0.513925	-0.847984	0.024088	0.322558	-0.214166	-1.304693	0.615048
chr6:110362300-110362500	-1.602079	-0.399989	-0.241730	-0.970871	0.227094	-0.795469	0.832046	0.488927	0.521367	0.058856	0.343504	-1.172943	0.154163	0.380562	-1.439664	-1.480194	0.787378	1.413329	0.919282
chr5:9711600-9711800	-0.033687	-0.766728	0.933957	1.240580	-1.718596	0.438342	-0.756075	0.603544	-0.956002	-0.320482	0.399815	0.355600	0.144380	-0.847984	1.787849	0.322558	-0.272417	-1.017533	-0.921476
chr3:84799300-84799500	2.026710	-0.726531	0.870282	0.645391	-0.118764	0.222784	-0.310372	-0.575107	0.303283	1.141555	-1.867129	-0.127282	0.144380	0.125680	-2.027015	0.031040	-0.512634	-0.138138	1.049252
chr7:57213000-57213200	-0.282095	-0.397752	0.628002	0.832679	2.540425	0.562649	-1.148615	0.811696	1.651855	-1.245726	-2.247538	0.745729	0.253507	0.252481	0.342690	0.031040	0.343095	-1.915354	0.207402
chr13:117340700-117340900	0.693577	-1.843662	-0.289904	-0.190375	0.055963	-2.109936	-0.782922	-0.571319	-3.190205	-0.987814	-0.100461	0.341811	0.911605	0.125680	-0.330093	-1.239099	-0.767644	-1.269037	0.163222
chr11:12599000-12599200	0.305212	-1.382627	0.933957	0.127182	-0.141140	-1.090275	-0.404963	-0.298936	0.641476	1.449137	-0.331802	0.703682	0.253507	0.125680	-0.128473	-1.319636	0.057880	0.527432	-0.055212
chr13:22667400-22667600	0.535020	-0.504437	-0.177181	-1.685135	0.154128	-0.897116	0.564572	0.813611	0.251592	-0.604008	-0.191365	-0.229947	-0.101484	1.528399	-0.208709	-1.480194	-1.445475	0.789513	0.163285
chr4:59343700-59343900	-0.184693	1.276677	0.870282	0.444926	-0.422889	-0.794855	-0.312797	-0.298894	-0.661666	-0.635837	0.191836	0.943499	-3.873784	0.125680	-2.050292	0.322558	1.446114	0.920725	0.705636
chrX:96343200-96343400	0.827481	0.554989	-0.443166	1.254466	-1.367249	-0.905744	-0.907830	-0.800926	0.908835	-0.009374	-0.331802	-0.722191	-1.236417	0.125680	2.292122	-1.239099	0.849483	-0.739922	-1.288717
chrY:85364800-85365000	0.127261	0.062933	-0.532183	-1.331468	0.712392	-0.193075	1.843448	0.098156	-0.187331	0.682970	-0.624098	-0.407046	0.802684	0.125680	1.084351	0.031040	0.407293	0.280277	0.761791
chr1:163714400-163714600	0.028354	-0.074938	0.870282	-0.256930	0.283488	-0.884816	2.529380	0.225357	-0.493902	2.284380	-0.485801	0.793487	-1.127497	-0.847984	0.637324	-1.239099	-0.913657	-1.269037	0.610934
chr8:61688600-61688800	0.261110	0.666101	-0.443166	-0.296352	1.111803	0.663680	-0.305994	0.215510	-0.641779	-0.062490	-0.229932	0.164125	-1.127290	0.125680	0.154739	-1.239099	1.566336	0.721727	-0.079552
chr4:93410400-93410600	1.798655	-0.754696	-0.379491	-1.355640	-1.465326	-0.333325	-1.106446	1.426254	1.529694	-0.009374	0.188167	-0.029913	0.802684	-0.847984	2.229035	-1.239099	-0.023526	-0.020545	-0.730850
chr15:56856200-56856400	0.360949	1.061712	-0.443166	0.946051	-0.025871	0.296984	1.089149	0.476279	-0.125761	-0.202159	0.034168	-0.261119	0.802684	0.125680	0.459065	0.322558	0.916797	-0.768904	2.351196
chrY:65973800-65974000	-2.035490	0.258624	-0.443166	0.712348	-0.306766	-0.330177	-0.044978	0.225553	-0.661666	-1.245726	0.037837	-1.017865	0.144380	-1.948448	1.667128	0.403095	0.412281	-0.477293	-0.511896
chr14:94879900-94880100	-1.021650	0.659943	-0.379491	1.175390	-1.276269	-1.219400	1.810745	0.335192	-0.056575	-0.017777	-0.485801	1.330287	0.911605	-0.847984	-1.019143	1.964753	1.086742	1.900920	-0.380981
chr2:77717800-77718000	0.679965	-0.699464	-1.603352	-1.143000	-0.813163	-1.053060	-1.688106	-0.782434	0.739506	-0.009374	-0.089172	0.306233	0.253507	1.226145	0.155450	0.322558	1.172760	-1.797339	-1.276060
chr7:55775700-55775900	0.534633	-0.733825	1.023544	0.750370	-1.260815	-0.237232	0.481113	2.179536	-0.331348	-1.026615	0.328926	-0.020717	0.144380	-0.847984	1.338122	1.964753	0.115336	-0.283525	0.763581
chr9:81776000-81776200	0.747588	-1.105198	-0.379491	0.326319	-0.671630	-0.834236	0.924652	-0.469999	1.651855	-0.112376	0.086297	-1.832458	0.802684	0.125680	-1.316402	0.403095	-2.001547	1.315436	0.943436
chr12:58044600-58044800	0.246596	1.353995	-1.603352	-2.056199	-0.445865	-0.401478	-0.002523	2.682449	-0.157284	-0.433439	0.073057	0.450037	0.802684	-0.847984	-1.194542	-1.319636	0.114346	0.397651	-0.056232
chrX:166104700-166104900	-1.102700	-0.824984	-0.241730	0.123325	-0.432913	-0.133010	-0.980701	-0.428960	-0.895795	-0.856860	0.258253	1.061396	-4.333737	-0.767276	-0.218911	1.910878	1.059794	1.708696	-0.309393
chr14:65843200-65843400	0.778978	-0.796299	1.023544	1.046326	-1.044086	0.468373	1.949353	-0.852021	-0.977519	-0.017777	0.086297	-0.604122	0.253507	1.226145	-0.164300	0.322558	-1.219872	1.218703	1.336334
chr1:10229700-10229900	-0.134686	0.892726	-0.685446	-0.067848	0.200598	0.599350	-0.019312	-0.080043	0.273743	1.141555	0.188167	0.207710	0.253300	-0.847984	0.510916	1.673235	-1.353107	0.085532	0.964516
chr14:14357000-14357200	2.450979	1.409555	0.870282	-1.356678	1.090336	1.089371	-0.468548	-1.468925	0.064639	-0.459856	-0.067702	-0.681181	0.911605	0.125680	-0.275107	0.322558	0.756757	-0.688828	-0.198004
chrY:38822700-38822900	-0.110062	-1.157223	0.933957	-0.807126	0.038541	-1.018773	-1.304399	-0.618472	-0.465419	0.633084	-0.172283	2.284697	-0.578112	-0.847984	1.023706	1.673235	-0.633233	0.423862	0.537143
chr1:68406600-68406800	-0.127914	1.276677	0.870282	1.188973	-0.499578	0.908833	0.116891	-0.110526	-0.977519	0.682970	0.191836	-0.045308	0.144380	-0.847984	-0.535242	0.322558	1.629974	-0.456465	-0.421222
chr4:141093300-141093500	0.699181	1.934075	-0.379491	0.070547	0.071127	1.501052	0.964796	-0.791358	2.289779	0.285604	-0.624098	-1.426761	0.253300	0.125680	0.494426	0.322558	1.743671	-0.104190	-0.280663
chr13:99520400-99520600	-0.283312	0.304779	-1.692939	-1.048766	-0.083218	-0.637167	-0.451432	-0.877164	-2.345296	-1.223824	1.888949	-1.304682	-3.873784	-0.847984	-0.252547	-1.239099	-0.176245	-0.818740	-1.363589
chr16:36412400-36412600	2.666591	-0.753251	-0.379491	-0.561144	-0.623843	-1.018773	-0.803192	-1.150611	2.134785	0.495571	1.726719	0.254211	0.144380	-0.974785	-1.093622	0.031040	0.721023	-0.332219	1.107210
chr11:17461800-17462000	1.096573	0.387599	0.628002	-0.710991	0.496514	1.424210	-0.984942	-0.214736	0.641351	-0.932387	-0.485801	-0.014607	0.802684	0.252481	-1.006526	1.964753	0.817541	2.018482	1.079935
chr3:86679100-86679300	0.360003	-0.431239	-1.692939	-0.858576	-1.665280	-0.109842	0.729880	-0.629666	0.216443	-0.667962	-0.464580	-1.753630	0.362427	-0.974785	1.810226	-1.319636	1.539737	-0.633845	-1.849086
chr6:18270000-18270200	-0.965613	-0.331808	-0.443166	-1.370584	0.606277	1.250045	0.060748	0.142688	-0.621994	0.682970	-0.067702	-0.092762	-0.469192	-0.847984	0.172574	0.322558	0.320361	-0.272292	0.150640
chr6:96203100-96203300	2.134698	0.793123	-0.443166	-0.589783	-0.444289	0.084188	-1.017893	0.033175	1.027890	0.703677	-0.089172	0.115187	-0.578112	0.252481	0.524638	0.403095	1.283430	-0.857373	-0.051177
chr11:92804200-92804400	0.246972	-0.580398	-0.379491	-1.292006	0.856975	0.906466	0.438842	0.709443	0.368791	-0.120778	-0.104130	-0.919513	-3.873784	-0.974785	-0.913564	-1.239099	-1.092539	2.564931	-0.629141
