Chrom	Start	End	X2_79152198_79152805	X122.227451229533	X1.6240414574572097	X3.805509600578789e.17	X9.47039119200039e.13	X	X.1	Intergenic	Intergenic.1	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr4	48629539	48629781	4_48629539_48629781	69.6109688565208	0.812509174001324	7.69342700713071e-05	0.00742087691858352	ENSMUSG00000028347.14	Tmeff1	intron	ENSMUSG00000028347.14	Intron (ENSMUST00000030032/ENSMUSG00000028347, intron 5 of 9)	4	48636934	48660239	23306	1	ENSMUST00000141720	-7153	ENSMUSG00000028347	ENSMUSG00000028347
chr4	109342895	109343049	4_109342895_109343049	36.4517567662374	0.667678402608603	0.00172235241132722	0.0496668158844601	ENSMUSG00000028552.13	Eps15	promoter-TSS	ENSMUSG00000028552.13	Promoter (<=1kb)	4	109343059	109386566	43508	1	ENSMUST00000030281	-10	ENSMUSG00000028552	ENSMUSG00000028552
chr4	117040134	117040417	4_117040134_117040417	96.8185684666098	0.608670801867958	0.00147817583300624	0.0453586729718783	ENSMUSG00000028683.14	Eif2b3	intron	ENSMUSG00000028683.14	Intron (ENSMUST00000106448/ENSMUSG00000028683, intron 3 of 11)	4	117044476	117059325	14850	1	ENSMUST00000135121	-4059	ENSMUSG00000028683	ENSMUSG00000028683
chr5	36259560	36259745	5_36259560_36259745	28.9763704142261	0.686038556994313	0.00118468957689062	0.0399487599058265	ENSMUSG00000029093.14	Sorcs2	intron	ENSMUSG00000029093.14	Intron (ENSMUST00000037370/ENSMUSG00000029093, intron 1 of 26)	5	36065376	36268479	203104	2	ENSMUST00000135324	8734	ENSMUSG00000029093	ENSMUSG00000029093
chr5	35129841	35130102	5_35129841_35130102	39.8832505582779	0.962004270790907	8.0696081965545e-06	0.00152136567863224			Intergenic	Intergenic	Distal Intergenic	5	35091490	35105766	14277	2	ENSMUST00000030986	-24076	ENSMUSG00000029103	ENSMUSG00000029103
chr5	108065500	108065796	5_108065500_108065796	206.666101324772	0.630468554317253	4.25439970142029e-05	0.00503441217580841	ENSMUSG00000029267.17	Mtf2	promoter-TSS	ENSMUSG00000029267.17	Promoter (<=1kb)	5	108065674	108107163	41490	1	ENSMUST00000131291	0	ENSMUSG00000029267	ENSMUSG00000029267
chr5	93206403	93206579	5_93206403_93206579	140.375422863418	0.730466054442774	3.12901124596141e-05	0.00399326019830746	ENSMUSG00000029384.5	AC134827.3	promoter-TSS	ENSMUSG00000029384.5	Promoter (<=1kb)	5	93206518	93213475	6958	1	ENSMUST00000031330	0	ENSMUSG00000029384	ENSMUSG00000029384
chr5	93206403	93206579	5_93206403_93206579	140.375422863418	0.730466054442774	3.12901124596141e-05	0.00399326019830746	ENSMUSG00000063015.12	Ccni	promoter-TSS	ENSMUSG00000029384.5	Promoter (<=1kb)	5	93206518	93213475	6958	1	ENSMUST00000031330	0	ENSMUSG00000029384	ENSMUSG00000029384
chr6	21949273	21949686	6_21949273_21949686	581.875224335728	0.604736846716542	2.34553619723957e-09	3.07215862128969e-06	ENSMUSG00000029670.12	Ing3	promoter-TSS	ENSMUSG00000029670.12	Promoter (<=1kb)	6	21949571	21976038	26468	1	ENSMUST00000031680	0	ENSMUSG00000029670	ENSMUSG00000029670
chr5	131794360	131795005	5_131794360_131795005	134.562581359864	0.627516643863072	0.00046205505938639	0.0232297014300802	ENSMUSG00000029673.17	Auts2	intron	ENSMUSG00000029673.17	Intron (ENSMUST00000161226/ENSMUSG00000029673, intron 4 of 18)	5	131437788	131616605	178818	2	ENSMUST00000161804	-177756	ENSMUSG00000029673	ENSMUSG00000029673
chr6	31924794	31924919	6_31924794_31924919	27.5343999199454	0.688976203819324	0.000999402547941032	0.0362223372622935			Intergenic	Intergenic	Distal Intergenic	6	32050246	32058921	8676	1	ENSMUST00000031778	-125327	ENSMUSG00000029766	ENSMUSG00000029766
chr6	131293153	131293448	6_131293153_131293448	53.6446036254246	0.820708302893331	0.000109318050291422	0.00947905574756906	ENSMUSG00000030188.12	Magohb	promoter-TSS	ENSMUSG00000107658.1	Promoter (<=1kb)	6	131284388	131293244	8857	2	ENSMUST00000032307	0	ENSMUSG00000030188	ENSMUSG00000030188
chr6	131293153	131293448	6_131293153_131293448	53.6446036254246	0.820708302893331	0.000109318050291422	0.00947905574756906	ENSMUSG00000107658.1	RP24-377D18.5	promoter-TSS	ENSMUSG00000107658.1	Promoter (<=1kb)	6	131284388	131293244	8857	2	ENSMUST00000032307	0	ENSMUSG00000030188	ENSMUSG00000030188
chr6	128760737	128761080	6_128760737_128761080	250.686884726986	0.795968295034706	6.30541300093372e-08	3.92291269853091e-05			Intergenic	Intergenic	Distal Intergenic	6	128780043	128788486	8444	2	ENSMUST00000172601	27406	ENSMUSG00000030325	ENSMUSG00000030325
chr6	128799486	128799823	6_128799486_128799823	249.709043693963	0.645521375311233	7.04130389159291e-06	0.0013905758465782	ENSMUSG00000107872.2	RP24-127M20.8	intron	ENSMUSG00000107872.2	Distal Intergenic	6	128784764	128789215	4452	2	ENSMUST00000174865	-10272	ENSMUSG00000030325	ENSMUSG00000030325
chr7	19170282	19170504	7_19170282_19170504	85.2038092634737	0.804943095376701	5.58458284432592e-05	0.00599042795965064			Intergenic	Intergenic	Distal Intergenic	7	19157125	19166127	9003	2	ENSMUST00000094790	-4156	ENSMUSG00000030406	ENSMUSG00000030406
chr7	64742029	64742153	7_64742029_64742153	57.1058315800236	0.790606723652509	0.000178554110501579	0.0131000093185975	ENSMUSG00000030519.14	Apba2	intron	ENSMUSG00000030519.14	Promoter (1-2kb)	7	64743839	64753366	9528	1	ENSMUST00000096173	-1686	ENSMUSG00000030519	ENSMUSG00000030519
chr7	80691210	80691489	7_80691210_80691489	63.3801916366893	0.855423446324375	4.09482890138874e-05	0.00492289430144736			Intergenic	Intergenic	Promoter (2-3kb)	7	80673270	80688877	15608	2	ENSMUST00000152668	-2334	ENSMUSG00000030527	ENSMUSG00000030527
chr7	100520782	100520918	7_100520782_100520918	36.6634264711712	0.711267370400848	0.000924827134183843	0.0345574295214702			Intergenic	Intergenic	Distal Intergenic	7	100503018	100514960	11943	2	ENSMUST00000054923	-5823	ENSMUSG00000030708	ENSMUSG00000030708
chr7	127745318	127746208	7_127745318_127746208	328.962973445733	0.637108275425497	9.10199898604958e-07	0.000294171878917961	ENSMUSG00000030811.14	Fbxl19	promoter-TSS	ENSMUSG00000030811.14	Promoter (<=1kb)	7	127746775	127768927	22153	1	ENSMUST00000033081	-567	ENSMUSG00000030811	ENSMUSG00000030811
chr7	109493691	109493858	7_109493691_109493858	45.6885407776863	0.89540270581882	3.19873097695691e-05	0.00406140913737498	ENSMUSG00000031026.15	Trim66	promoter-TSS	ENSMUSG00000031026.15	Promoter (<=1kb)	7	109449006	109493738	44733	2	ENSMUST00000106739	0	ENSMUSG00000031026	ENSMUSG00000031026
chr8	53892902	53893113	8_53892902_53893113	27.2287627610285	0.784560844203397	0.000141853830252595	0.011136196907464			Intergenic	Intergenic	Distal Intergenic	8	54077532	54186454	108923	1	ENSMUST00000033919	-184419	ENSMUSG00000031520	ENSMUSG00000031520
chr8	94036975	94037279	8_94036975_94037279	229.082037710002	0.693136269078645	2.8380649393758e-06	0.000685709554187439	ENSMUSG00000033009.15	Ogfod1	promoter-TSS	ENSMUSG00000033009.15	Promoter (<=1kb)	8	94017770	94037021	19252	2	ENSMUST00000034204	0	ENSMUSG00000031754	ENSMUSG00000031754
chr8	94036975	94037279	8_94036975_94037279	229.082037710002	0.693136269078645	2.8380649393758e-06	0.000685709554187439	ENSMUSG00000031754.10	Nudt21	promoter-TSS	ENSMUSG00000033009.15	Promoter (<=1kb)	8	94017770	94037021	19252	2	ENSMUST00000034204	0	ENSMUSG00000031754	ENSMUSG00000031754
chr8	95243047	95243376	8_95243047_95243376	114.219600012696	0.62683382701381	0.000826943756661604	0.0324083816193397	ENSMUSG00000031789.17	Cngb1	intron	ENSMUSG00000031789.17	Intron (ENSMUST00000119870/ENSMUSG00000031789, intron 18 of 19)	8	95240981	95281590	40610	2	ENSMUST00000120044	38214	ENSMUSG00000031789	ENSMUSG00000031789
chr8	125702919	125703256	8_125702919_125703256	33.5783049592527	0.991671457130663	4.2697099694779e-06	0.00090817095983271			Intergenic	Intergenic	Distal Intergenic	8	125729963	125745299	15337	1	ENSMUST00000146055	-26707	ENSMUSG00000031851	ENSMUSG00000031851
chr9	43699897	43700154	9_43699897_43700154	42.5505461223721	0.727206658070151	0.000699457217927217	0.0292058596062697			Intergenic	Intergenic	Distal Intergenic	9	43744576	43807454	62879	1	ENSMUST00000034510	-44422	ENSMUSG00000032012	ENSMUSG00000032012
chr9	21592723	21592982	9_21592723_21592982	163.190069570595	0.632186235922111	0.000142896652886733	0.011182786489746	ENSMUSG00000032182.15	Yipf2	promoter-TSS	ENSMUSG00000032182.15	Promoter (<=1kb)	9	21588709	21592831	4123	2	ENSMUST00000034700	0	ENSMUSG00000032182	ENSMUSG00000032182
chr9	21592723	21592982	9_21592723_21592982	163.190069570595	0.632186235922111	0.000142896652886733	0.011182786489746	ENSMUSG00000048429.10	Timm29	promoter-TSS	ENSMUSG00000032182.15	Promoter (<=1kb)	9	21588709	21592831	4123	2	ENSMUST00000034700	0	ENSMUSG00000032182	ENSMUSG00000032182
chr9	21592723	21592982	9_21592723_21592982	163.190069570595	0.632186235922111	0.000142896652886733	0.011182786489746	ENSMUSG00000032185.15	Carm1	promoter-TSS	ENSMUSG00000032182.15	Promoter (<=1kb)	9	21588709	21592831	4123	2	ENSMUST00000034700	0	ENSMUSG00000032182	ENSMUSG00000032182
chr9	79583698	79583976	9_79583698_79583976	28.2394959853606	0.815883028866163	9.78592289451246e-05	0.00869758846974418			Intergenic	Intergenic	Distal Intergenic	9	79598991	79612970	13980	2	ENSMUST00000135009	28994	ENSMUSG00000032332	ENSMUSG00000032332
chr17	67668116	67668251	17_67668116_67668251	32.3323708323073	0.675576442556056	0.00144671919900311	0.0448356836692298			Intergenic	Intergenic	Distal Intergenic	17	67697265	67822645	125381	1	ENSMUST00000035471	-29014	ENSMUSG00000032796	ENSMUSG00000032796
chr1	25132470	25132717	1_25132470_25132717	30.5994214220471	0.860287091860714	5.06555497652858e-05	0.00567844149305812	ENSMUSG00000033569.17	Adgrb3	intron	ENSMUSG00000033569.17	Intron (ENSMUST00000126626/ENSMUSG00000033569, intron 4 of 15)	1	25131252	25204723	73472	2	ENSMUST00000154102	72006	ENSMUSG00000033569	ENSMUSG00000033569
chr8	117451183	117451353	8_117451183_117451353	46.4662373661229	0.787483426847698	0.00024122064572843	0.0159300535887585	ENSMUSG00000034390.16	Cmip	intron	ENSMUSG00000034390.16	Intron (ENSMUST00000166750/ENSMUSG00000034390, intron 14 of 20)	8	117498291	117635140	136850	1	ENSMUST00000081232	-46938	ENSMUSG00000034330	ENSMUSG00000034330
chr1	89968260	89968499	1_89968260_89968499	60.657804237895	0.681352641392188	0.00118178933662186	0.0399487599058265	ENSMUSG00000067081.12	Asb18	exon	ENSMUSG00000067081.12	Exon (ENSMUST00000097656/ENSMUSG00000067081, exon 3 of 6)	1	89927962	89933290	5329	2	ENSMUST00000036954	-34971	ENSMUSG00000034486	ENSMUSG00000034486
chr13	54758070	54758702	13_54758070_54758702	302.531117918684	0.845661686995535	5.33286805624917e-10	1.20648867679834e-06	ENSMUSG00000034891.13	Sncb	TTS	ENSMUSG00000034891.13	Downstream (<1kb)	13	54759428	54763067	3640	2	ENSMUST00000153829	4365	ENSMUSG00000034891	ENSMUSG00000034891
chr7	120835496	120835676	7_120835496_120835676	140.493519736102	0.673648601648661	0.000168310242261024	0.0125031901161429			Intergenic	Intergenic	Distal Intergenic	7	120842831	120907219	64389	1	ENSMUST00000047875	-7155	ENSMUSG00000035064	ENSMUSG00000035064
chr7	4922493	4922618	7_4922493_4922618	46.2525954803255	0.764141437006762	0.000351769038496663	0.0203584285861115	ENSMUSG00000035285.6	Nat14	promoter-TSS	ENSMUSG00000035285.6	Promoter (<=1kb)	7	4922251	4925006	2756	1	ENSMUST00000047309	243	ENSMUSG00000035285	ENSMUSG00000035285
chr7	4922493	4922618	7_4922493_4922618	46.2525954803255	0.764141437006762	0.000351769038496663	0.0203584285861115	ENSMUSG00000074406.5	Zfp628	promoter-TSS	ENSMUSG00000035285.6	Promoter (<=1kb)	7	4922251	4925006	2756	1	ENSMUST00000047309	243	ENSMUSG00000035285	ENSMUSG00000035285
chr7	4690515	4690709	7_4690515_4690709	90.5124370196975	0.778658355854399	6.93121160640841e-05	0.00692731453964175	ENSMUSG00000035390.16	Brsk1	promoter-TSS	ENSMUSG00000035390.16	Promoter (<=1kb)	7	4690604	4715981	25378	1	ENSMUST00000120836	0	ENSMUSG00000035390	ENSMUSG00000035390
chr17	52880151	52880329	17_52880151_52880329	24.6192183104433	0.676207681323803	0.00066225038764053	0.0283746437459326	ENSMUSG00000035580.10	Kcnh8	intron	ENSMUSG00000035580.10	Intron (ENSMUST00000039366/ENSMUSG00000035580, intron 8 of 15)	17	52602763	52979033	376271	1	ENSMUST00000039366	277389	ENSMUSG00000035580	ENSMUSG00000035580
chr7	3644665	3645303	7_3644665_3645303	1053.05925991006	0.624680614228247	1.61118961432812e-15	2.00480323710848e-11	ENSMUSG00000035632.16	Cnot3	promoter-TSS	ENSMUSG00000085039.2	Promoter (<=1kb)	7	3645290	3661108	15819	1	ENSMUST00000143085	0	ENSMUSG00000035632	ENSMUSG00000035632
chr7	3644665	3645303	7_3644665_3645303	1053.05925991006	0.624680614228247	1.61118961432812e-15	2.00480323710848e-11	ENSMUSG00000085039.2	AC130680.12	promoter-TSS	ENSMUSG00000085039.2	Promoter (<=1kb)	7	3645290	3661108	15819	1	ENSMUST00000143085	0	ENSMUSG00000035632	ENSMUSG00000035632
chr7	97387069	97387371	7_97387069_97387371	92.8092043251146	0.65197290541055	0.00077905438444524	0.0313714359406218	ENSMUSG00000035704.17	Alg8	promoter-TSS	ENSMUSG00000035704.17	Promoter (<=1kb)	7	97387222	97391649	4428	1	ENSMUST00000154107	0	ENSMUSG00000035704	ENSMUSG00000035704
chr17	36951635	36951935	17_36951635_36951935	239.390360698378	0.603283885171617	4.85561414769354e-05	0.0054677291257693	ENSMUSG00000036398.13	Ppp1r11	promoter-TSS	ENSMUSG00000036398.13	Promoter (<=1kb)	17	36948356	36951713	3358	2	ENSMUST00000040402	0	ENSMUSG00000036398	ENSMUSG00000036398
chr5	139682197	139682448	5_139682197_139682448	34.4223957816618	0.988125538882914	4.09079863111793e-06	0.00090091694454868			Intergenic	Intergenic	Distal Intergenic	5	139706886	139710227	3342	2	ENSMUST00000164584	27779	ENSMUSG00000036718	ENSMUSG00000036718
chr6	55920926	55921141	6_55920926_55921141	46.8829820998676	0.761888504270303	0.000362786370072913	0.0204723392418016	ENSMUSG00000037973.6	Ccdc129	intron	ENSMUSG00000037973.6	Intron (ENSMUST00000044729/ENSMUSG00000037973, intron 9 of 13)	6	55886825	55978735	91911	1	ENSMUST00000169699	34102	ENSMUSG00000037973	ENSMUSG00000037973
chr13	47244828	47245126	13_47244828_47245126	85.3626644930474	0.628794208227069	0.00141210849950387	0.0442591084617798	ENSMUSG00000038068.15	Rnf144b	exon	ENSMUSG00000038068.15	3' UTR	13	47194003	47247991	53989	1	ENSMUST00000110111	50826	ENSMUSG00000038068	ENSMUSG00000038068
chr11	98329623	98329771	11_98329623_98329771	54.0262105030201	0.770019045406193	0.000276838491882344	0.0175896477815789	ENSMUSG00000038255.6	Neurod2	promoter-TSS	ENSMUSG00000038255.6	Promoter (<=1kb)	11	98325415	98329648	4234	2	ENSMUST00000041685	0	ENSMUSG00000038255	ENSMUSG00000038255
chr7	44467823	44468401	7_44467823_44468401	325.066790044703	0.609037887703671	2.58320991224922e-06	0.00064285761876234	ENSMUSG00000038704.12	Aspdh	promoter-TSS	ENSMUSG00000038695.13	Promoter (<=1kb)	7	44467980	44471652	3673	1	ENSMUST00000035844	0	ENSMUSG00000038695	ENSMUSG00000038695
chr7	44467823	44468401	7_44467823_44468401	325.066790044703	0.609037887703671	2.58320991224922e-06	0.00064285761876234	ENSMUSG00000038695.13	Josd2	promoter-TSS	ENSMUSG00000038695.13	Promoter (<=1kb)	7	44467980	44471652	3673	1	ENSMUST00000035844	0	ENSMUSG00000038695	ENSMUSG00000038695
chr13	13889507	13889754	13_13889507_13889754	150.264546538543	0.625953253237537	0.000374300574546482	0.0208434617849455	ENSMUSG00000113811.1	RP24-423F5.4	intron	ENSMUSG00000113811.1	Distal Intergenic	13	13954674	13999068	44395	1	ENSMUST00000099747	-64920	ENSMUSG00000039242	ENSMUSG00000039242
chr13	13889507	13889754	13_13889507_13889754	150.264546538543	0.625953253237537	0.000374300574546482	0.0208434617849455	ENSMUSG00000113258.1	RP23-111H19.2	intron	ENSMUSG00000113811.1	Distal Intergenic	13	13954674	13999068	44395	1	ENSMUST00000099747	-64920	ENSMUSG00000039242	ENSMUSG00000039242
chr6	47306925	47307245	6_47306925_47307245	82.9158818853388	0.643070307467471	0.00139187161973488	0.043821049292267			Intergenic	Intergenic	Distal Intergenic	6	47244402	47299570	55169	1	ENSMUST00000060839	62524	ENSMUSG00000039419	ENSMUSG00000039419
chr10	34297311	34297538	10_34297311_34297538	89.7316210702141	0.797892764459895	5.56976550796268e-05	0.00599042795965064	ENSMUSG00000110791.1	RP23-255F14.4	promoter-TSS	ENSMUSG00000039485.8	Promoter (<=1kb)	10	34297421	34301308	3888	1	ENSMUST00000047935	0	ENSMUSG00000039485	ENSMUSG00000039485
chr10	34297311	34297538	10_34297311_34297538	89.7316210702141	0.797892764459895	5.56976550796268e-05	0.00599042795965064	ENSMUSG00000039480.14	Nt5dc1	promoter-TSS	ENSMUSG00000039485.8	Promoter (<=1kb)	10	34297421	34301308	3888	1	ENSMUST00000047935	0	ENSMUSG00000039485	ENSMUSG00000039485
chr10	34297311	34297538	10_34297311_34297538	89.7316210702141	0.797892764459895	5.56976550796268e-05	0.00599042795965064	ENSMUSG00000097274.2	RP23-255F14.5	promoter-TSS	ENSMUSG00000039485.8	Promoter (<=1kb)	10	34297421	34301308	3888	1	ENSMUST00000047935	0	ENSMUSG00000039485	ENSMUSG00000039485
chr10	34297311	34297538	10_34297311_34297538	89.7316210702141	0.797892764459895	5.56976550796268e-05	0.00599042795965064	ENSMUSG00000039485.8	Tspyl4	promoter-TSS	ENSMUSG00000039485.8	Promoter (<=1kb)	10	34297421	34301308	3888	1	ENSMUST00000047935	0	ENSMUSG00000039485	ENSMUSG00000039485
chr16	4667295	4667428	16_4667295_4667428	62.305642472752	0.735541595191882	0.000460196760486504	0.0232297014300802	ENSMUSG00000004069.17	Dnaja3	intron	ENSMUSG00000039637.15	Intron (ENSMUST00000144815/ENSMUSG00000004069, intron 1 of 3)	16	4634598	4661922	27325	2	ENSMUST00000130125	-5374	ENSMUSG00000039637	ENSMUSG00000039637
chr16	4667295	4667428	16_4667295_4667428	62.305642472752	0.735541595191882	0.000460196760486504	0.0232297014300802	ENSMUSG00000039637.15	Coro7	intron	ENSMUSG00000039637.15	Intron (ENSMUST00000144815/ENSMUSG00000004069, intron 1 of 3)	16	4634598	4661922	27325	2	ENSMUST00000130125	-5374	ENSMUSG00000039637	ENSMUSG00000039637
chr3	9594537	9594869	3_9594537_9594869	69.0199179384996	0.974388856794744	2.50633347504621e-06	0.000630026412727273	ENSMUSG00000040209.12	Zfp704	intron	ENSMUSG00000040209.12	Intron (ENSMUST00000041124/ENSMUSG00000040209, intron 1 of 8)	3	9427011	9610085	183075	2	ENSMUST00000041124	15216	ENSMUSG00000040209	ENSMUSG00000040209
chr17	68163631	68163822	17_68163631_68163822	42.0309618991814	0.712121168481599	0.000908050672853523	0.034135572574974			Intergenic	Intergenic	Distal Intergenic	17	68273797	68457858	184062	1	ENSMUST00000150573	-109975	ENSMUSG00000041565	ENSMUSG00000041565
chr1	133312016	133312310	1_133312016_133312310	57.6539738208442	0.832632471309416	8.82463693700702e-05	0.00799467723487844	ENSMUSG00000098306.9	RP23-240P23.3	intron	ENSMUSG00000103421.1	Promoter (2-3kb)	1	133309823	133323026	13204	1	ENSMUST00000094557	2194	ENSMUSG00000041717	ENSMUSG00000041717
chr1	133312016	133312310	1_133312016_133312310	57.6539738208442	0.832632471309416	8.82463693700702e-05	0.00799467723487844	ENSMUSG00000103421.1	Golt1a	intron	ENSMUSG00000103421.1	Promoter (2-3kb)	1	133309823	133323026	13204	1	ENSMUST00000094557	2194	ENSMUSG00000041717	ENSMUSG00000041717
chr1	133312016	133312310	1_133312016_133312310	57.6539738208442	0.832632471309416	8.82463693700702e-05	0.00799467723487844	ENSMUSG00000115958.1	Kiss1	intron	ENSMUSG00000103421.1	Promoter (2-3kb)	1	133309823	133323026	13204	1	ENSMUST00000094557	2194	ENSMUSG00000041717	ENSMUSG00000041717
chr14	32587125	32587268	14_32587125_32587268	34.7971642024485	0.674611600301646	0.00132201609325455	0.0423965109493978			Intergenic	Intergenic	Distal Intergenic	14	32599927	32649246	49320	1	ENSMUST00000068938	-12659	ENSMUSG00000041730	ENSMUSG00000041730
chr5	22093357	22093650	5_22093357_22093650	43.1906966634404	0.917356409418659	2.02173851589778e-05	0.00290826501194406	ENSMUSG00000042453.14	Reln	intron	ENSMUSG00000042453.14	Intron (ENSMUST00000161356/ENSMUSG00000042453, intron 10 of 64)	5	22060313	22134669	74357	2	ENSMUST00000162876	41019	ENSMUSG00000042453	ENSMUSG00000042453
chr7	68712515	68712748	7_68712515_68712748	69.8638142701642	0.717366243785832	0.00047261062571926	0.023522776063299			Intergenic	Intergenic	Distal Intergenic	7	68741511	68744906	3396	2	ENSMUST00000132396	32158	ENSMUSG00000042659	ENSMUSG00000042659
chr9	121929027	121929370	9_121929027_121929370	51.2568687556603	1.40084426637068	2.20652081570079e-10	5.49114770195299e-07			Intergenic	Intergenic	Distal Intergenic	9	121938135	121947014	8880	1	ENSMUST00000063103	-8765	ENSMUSG00000043773	ENSMUSG00000043773
chr5	78622570	78622892	5_78622570_78622892	49.3204865088636	0.70646173157169	0.000931889443377542	0.0347170668980442			Intergenic	Intergenic	Distal Intergenic	5	78474258	78474734	477	1	ENSMUST00000049599	148313	ENSMUSG00000044058	ENSMUSG00000044058
chr14	59660452	59660783	14_59660452_59660783	34.5720445076867	1.08495828751773	4.59764449194087e-07	0.000193927086146509	ENSMUSG00000021983.16	Atp8a2	intron	ENSMUSG00000021983.16	Intron (ENSMUST00000080368/ENSMUSG00000021983, intron 34 of 35)	14	59625281	59631658	6378	1	ENSMUST00000053949	35172	ENSMUSG00000044461	ENSMUSG00000044461
chr3	115603871	115603997	3_115603871_115603997	16.2769911366748	0.634028548220598	0.000276371443393129	0.0175896477815789			Intergenic	Intergenic	Distal Intergenic	3	115710433	115715055	4623	2	ENSMUST00000055676	111058	ENSMUSG00000045092	ENSMUSG00000045092
chr8	87811797	87812025	8_87811797_87812025	61.4346712573378	0.672729813881632	0.00127259841168555	0.04147431643269	ENSMUSG00000045333.15	Zfp423	intron	ENSMUSG00000045333.15	Intron (ENSMUST00000109655/ENSMUSG00000045333, intron 3 of 7)	8	87661810	87804439	142630	2	ENSMUST00000165770	-7359	ENSMUSG00000045333	ENSMUSG00000045333
chr10	19471621	19471951	10_19471621_19471951	80.17489761094	0.793404835330536	7.75765894322728e-05	0.00743168217285292			Intergenic	Intergenic	Distal Intergenic	10	19356560	19358606	2047	1	ENSMUST00000053225	115062	ENSMUSG00000045591	ENSMUSG00000045591
chr19	4989966	4990238	19_4989966_4990238	67.973985460228	0.984551533925454	2.4010707694144e-06	0.000616010795542749	ENSMUSG00000045903.8	Npas4	promoter-TSS	ENSMUSG00000045903.8	Promoter (<=1kb)	19	4984355	4989971	5617	2	ENSMUST00000056129	0	ENSMUSG00000045903	ENSMUSG00000045903
chr7	6127165	6127371	7_6127165_6127371	99.2703198206482	0.624648933246399	0.00104729982587421	0.0373690934345775			Intergenic	Intergenic	Distal Intergenic	7	6131489	6155971	24483	2	ENSMUST00000094870	28600	ENSMUSG00000046792	ENSMUSG00000046792
chr5	72191204	72191497	5_72191204_72191497	28.869228445601	0.725777917479542	0.000433812890666788	0.0224446311790721			Intergenic	Intergenic	Distal Intergenic	5	72203329	72230475	27147	1	ENSMUST00000169617	-11832	ENSMUSG00000046808	ENSMUSG00000046808
chr16	42269268	42269513	16_42269268_42269513	49.2729003174022	0.714010842797295	0.00084471788006852	0.0329492933595379	ENSMUSG00000047261.9	Gap43	intron	ENSMUSG00000047261.9	Intron (ENSMUST00000102817/ENSMUSG00000047261, intron 2 of 2)	16	42248458	42276072	27615	2	ENSMUST00000125187	6559	ENSMUSG00000047261	ENSMUSG00000047261
chr7	101296759	101296980	7_101296759_101296980	76.4529133554882	0.718145950150392	0.000423071311969276	0.022259096553208	ENSMUSG00000047767.17	Atg16l2	promoter-TSS	ENSMUSG00000047767.17	Promoter (<=1kb)	7	101292004	101296769	4766	2	ENSMUST00000151297	0	ENSMUSG00000047767	ENSMUSG00000047767
chr12	112435440	112435612	12_112435440_112435612	36.8532501706691	1.0063380446308	3.1621174681586e-06	0.000742381653892405	ENSMUSG00000113189.1	RP23-102G6.3	promoter-TSS	ENSMUSG00000113189.1	Distal Intergenic	12	112413915	112423212	9298	2	ENSMUST00000050754	-12229	ENSMUSG00000047828	ENSMUSG00000047828
chr11	16597163	16597312	11_16597163_16597312	35.1687159264489	0.670443423756156	0.00168293434762799	0.0489269908587268			Intergenic	Intergenic	Distal Intergenic	11	16635109	16636066	958	2	ENSMUST00000118481	38754	ENSMUSG00000048149	ENSMUSG00000048149
chr8	4677741	4678182	8_4677741_4678182	516.788567815907	0.627516826783027	5.42784915286511e-09	5.87293278340005e-06	ENSMUSG00000048484.4	RP24-137M22.5	promoter-TSS	ENSMUSG00000097308.1	Promoter (<=1kb)	8	4677539	4678365	827	2	ENSMUST00000058918	183	ENSMUSG00000048484	ENSMUSG00000048484
chr8	4677741	4678182	8_4677741_4678182	516.788567815907	0.627516826783027	5.42784915286511e-09	5.87293278340005e-06	ENSMUSG00000097308.1	RP24-137M22.4	promoter-TSS	ENSMUSG00000097308.1	Promoter (<=1kb)	8	4677539	4678365	827	2	ENSMUST00000058918	183	ENSMUSG00000048484	ENSMUSG00000048484
chr9	56762223	56762532	9_56762223_56762532	80.559973749687	0.718109966017094	0.000327613986451527	0.0196180295537369	ENSMUSG00000049556.5	Lingo1	intron	ENSMUSG00000049556.5	Distal Intergenic	9	56618475	56685253	66779	2	ENSMUST00000053568	-76971	ENSMUSG00000049556	ENSMUSG00000049556
chr1	126209148	126209283	1_126209148_126209283	26.2013173899088	0.727184620746168	0.00049000920246527	0.0240520098866878	ENSMUSG00000049690.15	Nckap5	intron	ENSMUSG00000049690.15	Intron (ENSMUST00000161954/ENSMUSG00000049690, intron 5 of 14)	1	126027877	126035125	7249	2	ENSMUST00000159934	-174024	ENSMUSG00000049690	ENSMUSG00000049690
chr16	3974528	3974812	16_3974528_3974812	62.0349683547074	1.16045818738775	4.64695038215206e-08	3.04326334763779e-05	ENSMUSG00000049871.14	Nlrc3	intron	ENSMUSG00000049871.14	Promoter (1-2kb)	16	3945007	3976545	31539	2	ENSMUST00000180200	1733	ENSMUSG00000049871	ENSMUSG00000049871
chr16	88747981	88748305	16_88747981_88748305	49.0255102921814	1.09584525963071	4.08457468014011e-07	0.000178331097350819			Intergenic	Intergenic	Downstream (2-3kb)	16	88750747	88751628	882	2	ENSMUST00000053149	3323	ENSMUSG00000050224	ENSMUSG00000050224
