Motif	# matches	% matches input	# matches background	%matches background	P-value	log10 P-value	ROC AUC	PR AUC	Enr. at 1% FPR	Recall at 10% FDR
GM.5.0.Myb_SANT.0005	1089	1.009	100	1.000	4.92e-01	0.308	0.465	0.908	1.01	1.0000
GM.5.0.RFX.0002	2376	2.202	100	1.000	7.82e-19	18.107	0.562	0.931	2.20	1.0000
GM.5.0.Homeodomain.0035	17910	16.595	222	2.220	0.00e+00	inf	0.569	0.935	7.48	1.0000
GM.5.0.bHLH.0030	1631	1.511	115	1.150	1.82e-03	2.740	0.506	0.918	1.31	1.0000
GM.5.0.Mixed.0015	640	0.593	106	1.060	1.00e+00	0.000	0.464	0.906	0.56	1.0000
GM.5.0.Homeodomain.0036	1053	0.976	107	1.070	8.34e-01	0.079	0.516	0.920	0.91	1.0000
GM.5.0.C2H2_ZF.0036	1667	1.545	100	1.000	3.78e-06	5.423	0.547	0.926	1.54	1.0000
GM.5.0.Homeodomain_POU.0006	1333	1.235	100	1.000	2.03e-02	1.693	0.533	0.924	1.24	1.0000
GM.5.0.Forkhead.0011	2632	2.439	100	1.000	1.73e-24	23.762	0.584	0.936	2.44	1.0000
GM.5.0.bZIP.0019	4836	4.481	212	2.120	1.86e-34	33.730	0.524	0.926	2.11	1.0000
GM.5.0.Forkhead.0012	2500	2.316	101	1.010	3.61e-21	20.442	0.628	0.943	2.29	1.0000
GM.5.0.C2H2_ZF.0037	3820	3.539	100	1.000	2.91e-55	54.537	0.560	0.933	3.54	1.0000
GM.5.0.Mixed.0016	2141	1.984	100	1.000	4.45e-14	13.351	0.553	0.929	1.98	1.0000
GM.5.0.Mixed.0017	1837	1.702	100	1.000	1.08e-08	7.967	0.539	0.925	1.70	1.0000
GM.5.0.bHLH.0031	2257	2.091	100	1.000	2.28e-16	15.641	0.617	0.941	2.09	1.0000
GM.5.0.Homeodomain_POU.0007	1218	1.129	100	1.000	1.31e-01	0.884	0.512	0.918	1.13	1.0000
GM.5.0.DM.0004	1302	1.206	100	1.000	3.56e-02	1.448	0.550	0.925	1.21	1.0000
GM.5.0.bHLH.0032	3014	2.793	116	1.160	2.55e-27	26.593	0.590	0.937	2.41	1.0000
GM.5.0.Homeodomain.0037	1033	0.957	100	1.000	6.86e-01	0.164	0.517	0.919	0.96	1.0000
GM.5.0.GATA.0006	813	0.753	100	1.000	9.96e-01	0.002	0.507	0.915	0.75	1.0000
GM.5.0.p53.0001	1292	1.197	100	1.000	4.23e-02	1.373	0.491	0.914	1.20	1.0000
GM.5.0.bHLH.0033	1604	1.486	115	1.150	3.29e-03	2.483	0.519	0.921	1.29	1.0000
GM.5.0.Sox.0012	520	0.482	100	1.000	1.00e+00	0.000	0.464	0.905	0.48	1.0000
GM.5.0.C2H2_ZF.0038	820	0.760	100	1.000	9.95e-01	0.002	0.464	0.906	0.76	1.0000
GM.5.0.Ets.0010	1834	1.699	100	1.000	1.20e-08	7.919	0.581	0.933	1.70	1.0000
GM.5.0.C2H2_ZF.0039	1590	1.473	100	1.000	3.97e-05	4.401	0.553	0.927	1.47	1.0000
GM.5.0.AP-2.0002	861	0.798	101	1.010	9.88e-01	0.005	0.461	0.906	0.79	1.0000
GM.5.0.Ets.0011	2016	1.868	100	1.000	9.52e-12	11.021	0.568	0.931	1.87	1.0000
GM.5.0.C2H2_ZF.0040	1123	1.041	100	1.000	3.75e-01	0.426	0.517	0.918	1.04	1.0000
GM.5.0.RFX.0003	2138	1.981	100	1.000	5.09e-14	13.294	0.518	0.922	1.98	1.0000
GM.5.0.Mixed.0018	1956	1.812	100	1.000	1.10e-10	9.959	0.552	0.926	1.81	1.0000
GM.5.0.C2H2_ZF.0041	1776	1.646	103	1.030	3.95e-07	6.404	0.536	0.925	1.60	1.0000
GM.5.0.Grainyhead.0001	1327	1.230	100	1.000	2.27e-02	1.644	0.501	0.916	1.23	1.0000
GM.5.0.Unknown.0004	1801	1.669	100	1.000	4.01e-08	7.397	0.541	0.927	1.67	1.0000
GM.5.0.Homeodomain.0038	2822	2.615	372	3.720	1.00e+00	-0.000	0.482	0.913	0.70	1.0000
GM.5.0.C2H2_ZF.0042	1270	1.177	105	1.050	1.39e-01	0.856	0.579	0.932	1.12	1.0000
GM.5.0.Nuclear_receptor.0021	549	0.509	100	1.000	1.00e+00	0.000	0.447	0.901	0.51	1.0000
GM.5.0.bZIP.0020	1480	1.371	102	1.020	1.46e-03	2.836	0.537	0.924	1.34	1.0000
GM.5.0.Homeodomain.0039	2277	2.110	105	1.050	2.85e-15	14.546	0.498	0.920	2.01	1.0000
GM.5.0.Homeodomain.0040	3554	3.293	171	1.710	4.28e-21	20.368	0.561	0.930	1.93	1.0000
GM.5.0.RFX.0004	2833	2.625	107	1.070	1.67e-26	25.777	0.542	0.928	2.45	1.0000
GM.5.0.Homeodomain.0041	1525	1.413	148	1.480	7.24e-01	0.140	0.491	0.913	0.95	1.0000
GM.5.0.bZIP.0021	1352	1.253	100	1.000	1.41e-02	1.852	0.564	0.928	1.25	1.0000
GM.5.0.bHLH.0034	1626	1.507	101	1.010	2.01e-05	4.696	0.534	0.924	1.49	1.0000
GM.5.0.Nuclear_receptor.0022	913	0.846	100	1.000	9.48e-01	0.023	0.489	0.913	0.85	1.0000
GM.5.0.Rel.0004	908	0.841	100	1.000	9.53e-01	0.021	0.460	0.906	0.84	1.0000
GM.5.0.bHLH.0035	1711	1.585	104	1.040	4.99e-06	5.302	0.553	0.929	1.52	1.0000
GM.5.0.Forkhead.0013	2093	1.939	100	1.000	3.64e-13	12.439	0.584	0.934	1.94	1.0000
GM.5.0.bHLH.0036	3308	3.065	183	1.830	6.83e-14	13.166	0.637	0.947	1.67	1.0000
GM.5.0.Homeodomain.0042	1339	1.241	100	1.000	1.81e-02	1.742	0.487	0.915	1.24	1.0000
GM.5.0.C2H2_ZF_Homeodomain.0001	764	0.708	100	1.000	9.99e-01	0.000	0.494	0.910	0.71	1.0000
GM.5.0.Nuclear_receptor.0023	421	0.390	103	1.030	1.00e+00	-0.000	0.421	0.894	0.38	1.0000
GM.5.0.AP-2.0003	1026	0.951	103	1.030	7.99e-01	0.097	0.476	0.910	0.92	1.0000
GM.5.0.C2H2_ZF.0043	1917	1.776	100	1.000	5.15e-10	9.288	0.514	0.921	1.78	1.0000
GM.5.0.Homeodomain.0043	2283	2.115	100	1.000	6.75e-17	16.170	0.498	0.920	2.12	1.0000
GM.5.0.Forkhead.0014	4909	4.548	100	1.000	1.04e-87	86.984	0.627	0.946	4.55	1.0000
GM.5.0.Rel.0005	1143	1.059	102	1.020	3.81e-01	0.419	0.469	0.909	1.04	1.0000
GM.5.0.Homeodomain.0044	803	0.744	112	1.120	1.00e+00	0.000	0.464	0.906	0.66	1.0000
GM.5.0.Mixed.0019	1472	1.364	100	1.000	9.67e-04	3.015	0.498	0.917	1.36	1.0000
GM.5.0.C2H2_ZF.0044	1474	1.366	104	1.040	2.98e-03	2.526	0.539	0.924	1.31	1.0000
GM.5.0.Homeodomain.0045	2523	2.338	101	1.010	1.13e-21	20.948	0.516	0.924	2.31	1.0000
GM.5.0.C2H2_ZF.0045	1427	1.322	100	1.000	2.83e-03	2.548	0.521	0.921	1.32	1.0000
GM.5.0.Sox.0013	762	0.706	117	1.170	1.00e+00	0.000	0.460	0.905	0.60	1.0000
GM.5.0.C2H2_ZF.0046	774	0.717	100	1.000	9.99e-01	0.000	0.461	0.907	0.72	1.0000
GM.5.0.T-box.0005	1005	0.931	112	1.120	9.70e-01	0.013	0.511	0.915	0.83	1.0000
GM.5.0.Nuclear_receptor.0024	2444	2.265	100	1.000	2.73e-20	19.564	0.589	0.935	2.26	1.0000
GM.5.0.Forkhead.0015	1924	1.783	100	1.000	3.91e-10	9.407	0.555	0.928	1.78	1.0000
GM.5.0.Homeodomain.0046	1328	1.230	100	1.000	2.23e-02	1.652	0.546	0.925	1.23	1.0000
GM.5.0.Unknown.0005	798	0.739	100	1.000	9.98e-01	0.001	0.469	0.908	0.74	1.0000
GM.5.0.SMAD.0005	2043	1.893	100	1.000	3.08e-12	11.512	0.585	0.934	1.89	1.0000
GM.5.0.RFX.0005	1972	1.827	100	1.000	5.78e-11	10.238	0.519	0.922	1.83	1.0000
GM.5.0.Homeodomain.0047	537	0.498	108	1.080	1.00e+00	-0.000	0.464	0.905	0.46	1.0000
GM.5.0.Ets.0012	4134	3.830	101	1.010	9.92e-64	63.003	0.617	0.943	3.79	1.0000
GM.5.0.Homeodomain.0048	2048	1.898	127	1.270	1.68e-06	5.775	0.521	0.925	1.49	1.0000
GM.5.0.CBF_NF-Y.0001	818	0.758	107	1.070	1.00e+00	0.000	0.442	0.902	0.71	1.0000
GM.5.0.Homeodomain.0049	2110	1.955	100	1.000	1.74e-13	12.760	0.512	0.921	1.96	1.0000
GM.5.0.Homeodomain.0050	1135	1.052	100	1.000	3.36e-01	0.473	0.469	0.910	1.05	1.0000
GM.5.0.Homeodomain.0051	2538	2.352	106	1.060	2.69e-20	19.570	0.497	0.914	2.22	1.0000
GM.5.0.Homeodomain.0052	1664	1.542	101	1.010	6.30e-06	5.201	0.531	0.924	1.53	1.0000
GM.5.0.T-box.0006	752	0.697	100	1.000	1.00e+00	0.000	0.499	0.913	0.70	1.0000
GM.5.0.Mixed.0020	789	0.731	129	1.290	1.00e+00	0.000	0.414	0.895	0.57	1.0000
GM.5.0.Homeodomain.0053	966	0.895	100	1.000	8.67e-01	0.062	0.493	0.913	0.90	1.0000
GM.5.0.Homeodomain.0054	713	0.661	100	1.000	1.00e+00	0.000	0.443	0.902	0.66	1.0000
GM.5.0.Homeodomain.0055	4213	3.904	205	2.050	3.54e-24	23.451	0.505	0.918	1.90	1.0000
GM.5.0.IRF.0002	2238	2.074	100	1.000	5.52e-16	15.258	0.602	0.939	2.07	1.0000
GM.5.0.C2H2_ZF.0047	1506	1.395	101	1.010	5.63e-04	3.249	0.532	0.923	1.38	1.0000
GM.5.0.T-box.0007	1167	1.081	100	1.000	2.43e-01	0.614	0.484	0.911	1.08	1.0000
GM.5.0.C2H2_ZF.0048	1149	1.065	100	1.000	2.94e-01	0.532	0.528	0.921	1.06	1.0000
GM.5.0.Homeodomain.0056	2507	2.323	100	1.000	1.14e-21	20.945	0.542	0.927	2.32	1.0000
GM.5.0.bZIP.0022	1077	0.998	100	1.000	5.35e-01	0.272	0.511	0.917	1.00	1.0000
GM.5.0.SMAD.0006	1405	1.302	100	1.000	4.65e-03	2.333	0.520	0.922	1.30	1.0000
GM.5.0.Homeodomain.0057	2122	1.966	118	1.180	2.80e-09	8.553	0.537	0.924	1.67	1.0000
GM.5.0.Nuclear_receptor.0025	1779	1.648	100	1.000	8.77e-08	7.057	0.567	0.931	1.65	1.0000
GM.5.0.Myb_SANT.0006	892	0.826	100	1.000	9.67e-01	0.015	0.473	0.909	0.83	1.0000
GM.5.0.Mixed.0021	1457	1.350	109	1.090	1.48e-02	1.829	0.498	0.916	1.24	1.0000
GM.5.0.Nuclear_receptor.0026	4985	4.619	575	5.750	1.00e+00	0.000	0.412	0.897	0.80	1.0000
GM.5.0.Sox.0014	1277	1.183	100	1.000	5.43e-02	1.265	0.490	0.914	1.18	1.0000
GM.5.0.bHLH.0037	2016	1.868	100	1.000	9.52e-12	11.021	0.546	0.929	1.87	1.0000
GM.5.0.C2H2_ZF_Homeodomain.0002	5651	5.236	145	1.450	1.91e-83	82.720	0.432	0.902	3.61	1.0000
GM.5.0.Homeodomain.0058	2645	2.451	169	1.690	3.57e-07	6.447	0.523	0.925	1.45	1.0000
GM.5.0.Nuclear_receptor.0027	856	0.793	100	1.000	9.86e-01	0.006	0.445	0.903	0.79	1.0000
GM.5.0.Nuclear_receptor.0028	556	0.515	100	1.000	1.00e+00	0.000	0.451	0.901	0.52	1.0000
GM.5.0.Homeodomain.0059	1643	1.522	273	2.730	1.00e+00	-0.000	0.430	0.898	0.56	1.0000
GM.5.0.C2H2_ZF.0049	1392	1.290	100	1.000	6.17e-03	2.210	0.550	0.926	1.29	1.0000
GM.5.0.bHLH.0038	925	0.857	103	1.030	9.64e-01	0.016	0.494	0.913	0.83	1.0000
GM.5.0.bHLH.0039	1835	1.700	108	1.080	5.15e-07	6.288	0.542	0.925	1.57	1.0000
GM.5.0.Mixed.0022	1409	1.306	100	1.000	4.25e-03	2.371	0.536	0.924	1.31	1.0000
GM.5.0.C2H2_ZF.0050	4920	4.559	100	1.000	4.71e-88	87.327	0.600	0.942	4.56	1.0000
GM.5.0.IRF.0003	1194	1.106	198	1.980	1.00e+00	-0.000	0.505	0.914	0.56	1.0000
GM.5.0.Homeodomain.0060	3042	2.819	172	1.720	4.26e-12	11.371	0.505	0.919	1.64	1.0000
GM.5.0.C2H2_ZF.0051	1245	1.154	100	1.000	8.92e-02	1.050	0.484	0.912	1.15	1.0000
GM.5.0.bHLH.0040	1711	1.585	131	1.310	1.69e-02	1.773	0.531	0.926	1.21	1.0000
GM.5.0.Sox.0015	784	0.726	100	1.000	9.99e-01	0.001	0.482	0.910	0.73	1.0000
GM.5.0.Homeodomain_Paired_box.0003	2312	2.142	100	1.000	1.71e-17	16.767	0.553	0.929	2.14	1.0000
GM.5.0.Sox.0016	1030	0.954	100	1.000	6.96e-01	0.157	0.506	0.916	0.95	1.0000
GM.5.0.Nuclear_receptor.0029	552	0.511	100	1.000	1.00e+00	0.000	0.456	0.902	0.51	1.0000
GM.5.0.Homeodomain.0061	3371	3.123	162	1.620	4.01e-20	19.397	0.518	0.922	1.93	1.0000
GM.5.0.bZIP.0023	4735	4.387	433	4.330	4.07e-01	0.391	0.501	0.916	1.01	1.0000
GM.5.0.AP-2.0004	1157	1.072	112	1.120	6.93e-01	0.159	0.494	0.911	0.96	1.0000
GM.5.0.C2H2_ZF.0052	1289	1.194	100	1.000	4.45e-02	1.351	0.546	0.925	1.19	1.0000
GM.5.0.C2H2_ZF.0053	678	0.628	100	1.000	1.00e+00	0.000	0.470	0.907	0.63	1.0000
GM.5.0.CxC.0001	5642	5.228	888	8.880	1.00e+00	-0.000	0.464	0.907	0.59	1.0000
GM.5.0.Homeodomain.0062	1062	0.984	101	1.010	6.25e-01	0.204	0.463	0.909	0.97	1.0000
GM.5.0.Forkhead.0016	2991	2.771	134	1.340	8.30e-21	20.081	0.605	0.939	2.07	1.0000
GM.5.0.C2H2_ZF.0054	3858	3.575	100	1.000	2.44e-56	55.613	0.639	0.947	3.57	1.0000
GM.5.0.Ets.0013	1215	1.126	103	1.030	2.07e-01	0.684	0.543	0.924	1.09	1.0000
GM.5.0.Grainyhead.0002	896	0.830	100	1.000	9.64e-01	0.016	0.482	0.910	0.83	1.0000
GM.5.0.T-box.0008	765	0.709	100	1.000	9.99e-01	0.000	0.481	0.909	0.71	1.0000
GM.5.0.CSL.0003	2112	1.957	125	1.250	9.99e-08	7.000	0.562	0.930	1.57	1.0000
GM.5.0.bHLH.0041	2294	2.126	151	1.510	9.72e-06	5.012	0.538	0.928	1.41	1.0000
GM.5.0.STAT.0003	2403	2.227	108	1.080	7.15e-17	16.146	0.555	0.929	2.06	1.0000
GM.5.0.Forkhead.0017	2606	2.415	100	1.000	6.79e-24	23.168	0.591	0.936	2.41	1.0000
GM.5.0.C2H2_ZF.0055	1589	1.472	100	1.000	4.09e-05	4.388	0.546	0.926	1.47	1.0000
GM.5.0.bHLH.0042	3317	3.073	100	1.000	1.75e-41	40.758	0.624	0.945	3.07	1.0000
GM.5.0.Sox.0017	920	0.852	100	1.000	9.41e-01	0.027	0.480	0.911	0.85	1.0000
GM.5.0.Nuclear_receptor.0030	9152	8.480	723	7.230	5.96e-06	5.224	0.560	0.930	1.17	1.0000
GM.5.0.Homeodomain.0063	1357	1.257	100	1.000	1.27e-02	1.895	0.459	0.910	1.26	1.0000
GM.5.0.C2H2_ZF.0056	1398	1.295	107	1.070	2.82e-02	1.550	0.512	0.920	1.21	1.0000
GM.5.0.Homeodomain.0064	2036	1.886	100	1.000	4.13e-12	11.384	0.511	0.922	1.89	1.0000
GM.5.0.Homeodomain_POU.0008	1563	1.448	100	1.000	8.63e-05	4.064	0.521	0.921	1.45	1.0000
GM.5.0.GATA.0007	1937	1.795	112	1.120	1.03e-07	6.988	0.580	0.934	1.60	1.0000
GM.5.0.Homeodomain.0065	1719	1.593	100	1.000	6.91e-07	6.160	0.549	0.927	1.59	1.0000
GM.5.0.Forkhead.0018	3152	2.921	100	1.000	3.51e-37	36.454	0.611	0.941	2.92	1.0000
GM.5.0.Nuclear_receptor.0031	567	0.525	102	1.020	1.00e+00	0.000	0.437	0.901	0.52	1.0000
GM.5.0.Unknown.0006	1504	1.394	100	1.000	4.29e-04	3.368	0.518	0.921	1.39	1.0000
GM.5.0.Homeodomain.0066	598	0.554	119	1.190	1.00e+00	-0.000	0.449	0.902	0.47	1.0000
GM.5.0.Mixed.0023	2091	1.937	100	1.000	3.97e-13	12.401	0.554	0.929	1.94	1.0000
GM.5.0.bHLH.0043	1861	1.724	101	1.010	7.41e-09	8.130	0.580	0.933	1.71	1.0000
GM.5.0.bHLH.0044	4540	4.207	507	5.070	1.00e+00	0.000	0.494	0.912	0.83	1.0000
GM.5.0.bHLH.0045	4147	3.842	100	1.000	1.13e-64	63.947	0.630	0.947	3.84	1.0000
GM.5.0.Nuclear_receptor.0032	897	0.831	100	1.000	9.63e-01	0.016	0.493	0.912	0.83	1.0000
GM.5.0.bZIP.0024	1713	1.587	101	1.010	1.31e-06	5.881	0.498	0.917	1.57	1.0000
GM.5.0.C2H2_ZF.0057	3292	3.050	100	1.000	7.97e-41	40.099	0.564	0.934	3.05	1.0000
GM.5.0.Unknown.0007	1746	1.618	104	1.040	1.65e-06	5.783	0.488	0.915	1.56	1.0000
GM.5.0.STAT.0004	1503	1.393	100	1.000	4.40e-04	3.357	0.515	0.919	1.39	1.0000
GM.5.0.GATA.0008	1523	1.411	197	1.970	1.00e+00	0.000	0.491	0.912	0.72	1.0000
GM.5.0.C2H2_ZF.0058	1122	1.040	139	1.390	9.99e-01	0.000	0.492	0.913	0.75	1.0000
GM.5.0.AT_hook.0001	4560	4.225	119	1.190	3.89e-66	65.410	0.594	0.940	3.55	1.0000
GM.5.0.bZIP.0025	1186	1.099	106	1.060	3.84e-01	0.416	0.494	0.916	1.04	1.0000
GM.5.0.Ets.0014	1486	1.377	103	1.030	1.70e-03	2.770	0.534	0.924	1.34	1.0000
GM.5.0.Unknown.0008	1931	1.789	100	1.000	2.97e-10	9.527	0.563	0.931	1.79	1.0000
GM.5.0.C2H2_ZF.0059	944	0.875	114	1.140	9.96e-01	0.002	0.473	0.910	0.77	1.0000
GM.5.0.C2H2_ZF.0060	581	0.538	100	1.000	1.00e+00	0.000	0.431	0.898	0.54	1.0000
GM.5.0.Forkhead.0019	1970	1.825	102	1.020	1.95e-10	9.710	0.609	0.939	1.79	1.0000
GM.5.0.GATA.0009	723	0.670	100	1.000	1.00e+00	0.000	0.488	0.913	0.67	1.0000
GM.5.0.TBP.0001	2377	2.202	208	2.080	2.24e-01	0.651	0.554	0.928	1.06	1.0000
GM.5.0.Homeodomain.0067	12469	11.553	741	7.410	3.68e-40	39.434	0.563	0.932	1.56	1.0000
GM.5.0.Homeodomain.0068	3370	3.123	537	5.370	1.00e+00	-0.000	0.449	0.903	0.58	1.0000
GM.5.0.bHLH.0046	2092	1.938	103	1.030	2.44e-12	11.612	0.581	0.934	1.88	1.0000
GM.5.0.Nuclear_receptor.0033	886	0.821	100	1.000	9.71e-01	0.013	0.467	0.907	0.82	1.0000
GM.5.0.Homeodomain_POU.0009	2748	2.546	100	1.000	3.43e-27	26.465	0.540	0.929	2.55	1.0000
GM.5.0.TEA.0001	1996	1.849	132	1.320	4.37e-05	4.359	0.494	0.914	1.40	1.0000
GM.5.0.Nuclear_receptor.0034	606	0.561	100	1.000	1.00e+00	0.000	0.438	0.900	0.56	1.0000
GM.5.0.HSF.0002	1245	1.154	103	1.030	1.43e-01	0.843	0.470	0.907	1.12	1.0000
GM.5.0.bZIP.0026	1283	1.189	100	1.000	4.92e-02	1.308	0.508	0.917	1.19	1.0000
GM.5.0.Mixed.0024	1488	1.379	100	1.000	6.47e-04	3.189	0.499	0.916	1.38	1.0000
GM.5.0.C2H2_ZF.0061	3506	3.249	100	1.000	1.49e-46	45.826	0.532	0.928	3.25	1.0000
GM.5.0.bHLH.0047	1512	1.401	101	1.010	4.83e-04	3.316	0.526	0.923	1.39	1.0000
GM.5.0.bHLH.0048	4215	3.905	104	1.040	2.09e-64	63.679	0.656	0.952	3.76	1.0000
GM.5.0.Mixed.0025	3249	3.010	100	1.000	1.07e-39	38.970	0.604	0.939	3.01	1.0000
GM.5.0.IRF.0004	1143	1.059	100	1.000	3.11e-01	0.507	0.524	0.921	1.06	1.0000
GM.5.0.Ets.0015	1425	1.320	100	1.000	2.97e-03	2.528	0.536	0.924	1.32	1.0000
GM.5.0.Sox.0018	1075	0.996	100	1.000	5.42e-01	0.266	0.532	0.922	1.00	1.0000
GM.5.0.Mixed.0026	6095	5.647	100	1.000	6.03e-126	125.220	0.648	0.950	5.65	1.0000
GM.5.0.Homeodomain_POU.0010	1617	1.498	100	1.000	1.78e-05	4.749	0.519	0.920	1.50	1.0000
GM.5.0.STAT.0005	1849	1.713	100	1.000	6.91e-09	8.161	0.529	0.925	1.71	1.0000
GM.5.0.Nuclear_receptor.0035	727	0.674	220	2.200	1.00e+00	-0.000	0.408	0.891	0.31	1.0000
GM.5.0.C2H2_ZF.0062	2336	2.164	100	1.000	5.42e-18	17.266	0.602	0.938	2.16	1.0000
GM.5.0.C2H2_ZF.0063	1546	1.432	100	1.000	1.39e-04	3.858	0.538	0.924	1.43	1.0000
GM.5.0.Nuclear_receptor.0036	980	0.908	100	1.000	8.36e-01	0.078	0.428	0.900	0.91	1.0000
GM.5.0.Homeodomain.0069	1402	1.299	103	1.030	1.07e-02	1.972	0.454	0.908	1.26	1.0000
GM.5.0.STAT.0006	2830	2.622	100	1.000	3.77e-29	28.423	0.606	0.940	2.62	1.0000
GM.5.0.Nuclear_receptor.0037	1832	1.697	118	1.180	2.98e-05	4.526	0.556	0.930	1.44	1.0000
GM.5.0.C2H2_ZF.0064	2201	2.039	101	1.010	5.93e-15	14.227	0.564	0.931	2.02	1.0000
GM.5.0.Forkhead.0020	6195	5.740	458	4.580	4.31e-07	6.365	0.592	0.934	1.25	1.0000
GM.5.0.Homeodomain.0070	1526	1.414	148	1.480	7.21e-01	0.142	0.464	0.910	0.96	1.0000
GM.5.0.CBF_NF-Y.0002	1047	0.970	101	1.010	6.75e-01	0.171	0.426	0.899	0.96	1.0000
GM.5.0.Mixed.0027	2126	1.970	100	1.000	8.63e-14	13.064	0.606	0.939	1.97	1.0000
GM.5.0.Homeodomain.0071	19391	17.967	1966	19.660	1.00e+00	0.000	0.553	0.928	0.91	1.0000
GM.5.0.Homeodomain.0072	2969	2.751	113	1.130	2.13e-27	26.671	0.492	0.914	2.43	1.0000
GM.5.0.bHLH.0049	1888	1.749	100	1.000	1.58e-09	8.801	0.550	0.928	1.75	1.0000
GM.5.0.Sox.0019	1264	1.171	121	1.210	6.57e-01	0.182	0.513	0.918	0.97	1.0000
GM.5.0.Unknown.0009	714	0.662	101	1.010	1.00e+00	0.000	0.483	0.908	0.66	1.0000
GM.5.0.C2H2_ZF.0065	6663	6.174	100	1.000	4.61e-145	144.336	0.647	0.951	6.17	1.0000
GM.5.0.Forkhead.0021	2489	2.306	126	1.260	1.59e-13	12.797	0.581	0.935	1.83	1.0000
GM.5.0.C2H2_ZF.0066	7373	6.832	100	1.000	1.46e-169	168.836	0.653	0.952	6.83	1.0000
GM.5.0.bZIP.0027	1692	1.568	100	1.000	1.69e-06	5.773	0.563	0.929	1.57	1.0000
GM.5.0.bZIP.0028	1005	0.931	100	1.000	7.72e-01	0.113	0.502	0.915	0.93	1.0000
GM.5.0.Nuclear_receptor.0038	605	0.561	100	1.000	1.00e+00	0.000	0.447	0.902	0.56	1.0000
GM.5.0.Homeodomain.0073	1605	1.487	100	1.000	2.55e-05	4.593	0.477	0.913	1.49	1.0000
GM.5.0.C2H2_ZF.0067	6990	6.477	100	1.000	2.87e-156	155.541	0.608	0.945	6.48	1.0000
GM.5.0.Unknown.0010	2254	2.088	100	1.000	2.63e-16	15.581	0.581	0.935	2.09	1.0000
GM.5.0.Forkhead.0022	5277	4.889	100	1.000	2.67e-99	98.574	0.609	0.943	4.89	1.0000
GM.5.0.C2H2_ZF.0068	1278	1.184	102	1.020	7.70e-02	1.114	0.492	0.915	1.16	1.0000
GM.5.0.MADS_box.0004	1340	1.242	100	1.000	1.78e-02	1.751	0.525	0.921	1.24	1.0000
GM.5.0.Nuclear_receptor.0039	714	0.662	100	1.000	1.00e+00	0.000	0.446	0.902	0.66	1.0000
GM.5.0.Grainyhead.0003	1395	1.293	100	1.000	5.78e-03	2.238	0.520	0.920	1.29	1.0000
GM.5.0.Forkhead.0023	1977	1.832	102	1.020	1.48e-10	9.830	0.605	0.939	1.80	1.0000
GM.5.0.C2H2_ZF.0069	1288	1.193	100	1.000	4.53e-02	1.344	0.519	0.920	1.19	1.0000
GM.5.0.Forkhead.0024	1014	0.940	100	1.000	7.46e-01	0.128	0.486	0.912	0.94	1.0000
GM.5.0.MADS_box.0005	2150	1.992	100	1.000	2.99e-14	13.525	0.627	0.942	1.99	1.0000
GM.5.0.C2H2_ZF.0070	1571	1.456	100	1.000	6.88e-05	4.163	0.552	0.927	1.46	1.0000
GM.5.0.p53.0002	1154	1.069	100	1.000	2.79e-01	0.554	0.496	0.915	1.07	1.0000
GM.5.0.Nuclear_receptor.0040	3961	3.670	552	5.520	1.00e+00	-0.000	0.421	0.897	0.66	1.0000
GM.5.0.T-box.0009	1499	1.389	100	1.000	4.88e-04	3.312	0.527	0.922	1.39	1.0000
GM.5.0.p53.0003	1155	1.070	100	1.000	2.76e-01	0.559	0.499	0.915	1.07	1.0000
GM.5.0.IRF.0005	1674	1.551	100	1.000	3.02e-06	5.520	0.525	0.922	1.55	1.0000
GM.5.0.Mixed.0028	1347	1.248	100	1.000	1.55e-02	1.809	0.512	0.918	1.25	1.0000
GM.5.0.C2H2_ZF.0071	6390	5.921	100	1.000	8.12e-136	135.091	0.644	0.950	5.92	1.0000
GM.5.0.C2H2_ZF.0072	1592	1.475	100	1.000	3.75e-05	4.426	0.500	0.918	1.48	1.0000
GM.5.0.TEA.0002	1076	0.997	104	1.040	6.83e-01	0.165	0.501	0.915	0.96	1.0000
GM.5.0.Unknown.0011	838	0.776	100	1.000	9.92e-01	0.004	0.484	0.911	0.78	1.0000
GM.5.0.Ets.0016	1384	1.282	100	1.000	7.31e-03	2.136	0.518	0.919	1.28	1.0000
GM.5.0.C2H2_ZF.0073	2658	2.463	100	1.000	4.35e-25	24.361	0.570	0.933	2.46	1.0000
GM.5.0.GATA.0010	6015	5.573	100	1.000	2.72e-123	122.565	0.609	0.944	5.57	1.0000
GM.5.0.HSF.0003	726	0.673	100	1.000	1.00e+00	0.000	0.466	0.906	0.67	1.0000
GM.5.0.Mixed.0029	1335	1.237	107	1.070	7.79e-02	1.108	0.513	0.918	1.16	1.0000
GM.5.0.Rel.0006	1135	1.052	100	1.000	3.36e-01	0.473	0.489	0.914	1.05	1.0000
GM.5.0.THAP_finger.0002	5456	5.055	119	1.190	1.12e-92	91.949	0.473	0.908	4.25	1.0000
GM.5.0.Nuclear_receptor.0041	868	0.804	100	1.000	9.81e-01	0.008	0.504	0.914	0.80	1.0000
GM.5.0.C2H2_ZF.0074	4133	3.829	100	1.000	2.90e-64	63.538	0.611	0.943	3.83	1.0000
GM.5.0.bZIP.0029	1431	1.326	100	1.000	2.58e-03	2.588	0.485	0.915	1.33	1.0000
